zip,cases,rate,tests,positive
53142,6,18.22102098,111,5.405405405
60002,65,270.0905842,443,14.67268623
60004,178,349.6022783,1723,10.33081834
60005,90,304.6819459,522,17.24137931
60007,125,374.0275284,643,19.44012442
60008,161,737.4158384,499,32.26452906
60010,54,117.1697008,524,10.30534351
60012,59,538.4194196,174,33.90804598
60013,53,205.2116003,295,17.96610169
60014,99,204.3638916,717,13.80753138
60015,117,426.1984555,660,17.72727273
60016,707,1185.505642,2086,33.89261745
60018,306,1007.042717,956,32.0083682
60020,22,223.873003,192,11.45833333
60021,10,180.2451334,78,12.82051282
60022,23,271.3224018,203,11.33004926
60025,227,553.469547,1180,19.23728814
60026,93,658.7335317,403,23.07692308
60030,97,263.465247,645,15.03875969
60031,189,508.4472183,878,21.5261959
60033,73,533.5867261,269,27.13754647
60035,167,561.6465999,901,18.53496115
60040,55,1024.972046,169,32.5443787
60041,25,280.9935933,153,16.33986928
60042,18,213.7767221,110,16.36363636
60043,14,557.3248408,93,15.05376344
60044,61,609.8170549,299,20.40133779
60045,97,459.0412191,520,18.65384615
60046,111,314.5723516,589,18.84550085
60047,105,246.2649811,526,19.96197719
60048,73,251.2216945,469,15.56503198
60050,114,348.2830258,568,20.07042254
60051,64,274.7016911,379,16.88654354
60053,180,773.993808,762,23.62204724
60056,352,637.1040724,1301,27.05611068
60060,244,655.7729521,776,31.44329897
60061,102,377.721819,461,22.12581345
60062,216,533.8737982,1304,16.56441718
60064,374,2381.407195,697,53.65853659
60067,92,240.9827907,611,15.05728314
60068,180,476.998092,845,21.30177515
60069,45,549.7190325,214,21.02803738
60070,117,729.0173843,400,29.25
60071,7,195.476124,52,13.46153846
60073,401,649.8557677,1316,30.47112462
60074,200,506.6112772,841,23.78121284
60076,317,994.759469,1422,22.29254571
60077,256,903.6676198,1180,21.69491525
60079,6,NA,19,31.57894737
60081,29,300.2070393,142,20.42253521
60083,59,590.5905906,203,29.06403941
60084,101,607.994221,254,39.76377953
60085,1437,2028.228652,2772,51.83982684
60087,371,1390.65897,915,40.54644809
60088,37,292.2129205,74,50
60089,138,333.397758,691,19.97105644
60090,349,907.0589458,1104,31.61231884
60091,111,405.597983,779,14.24903723
60093,105,540.0956741,614,17.1009772
60096,20,293.9879465,109,18.34862385
60097,24,221.6885276,186,12.90322581
60098,190,584.1480662,666,28.52852853
60099,301,973.0393742,839,35.87604291
60101,390,994.4920441,1157,33.70786517
60102,72,219.9211949,449,16.03563474
60103,133,315.1957532,747,17.80455154
60104,271,1426.390863,905,29.94475138
60106,297,1451.471019,994,29.87927565
60107,267,660.2863714,965,27.66839378
60108,135,592.9895458,1062,12.71186441
60109,11,1936.619718,259,4.247104247
60110,255,648.3105789,665,38.34586466
60112,15,344.3526171,78,19.23076923
60115,61,134.5835632,588,10.37414966
60118,34,214.700682,199,17.08542714
60119,17,165.9184072,161,10.55900621
60120,464,911.1975178,1103,42.06708976
60123,288,588.3314267,955,30.15706806
60124,40,179.0670606,285,14.03508772
60126,158,326.3788473,1055,14.97630332
60130,78,555.5159889,549,14.20765027
60131,203,1126.213592,728,27.88461538
60133,341,888.0208333,991,34.40968718
60134,81,275.5008333,388,20.87628866
60135,18,260.6429192,111,16.21621622
60136,26,335.8305347,120,21.66666667
60137,82,214.2166723,654,12.5382263
60139,294,855.5465022,1013,29.02270484
60140,44,249.4472476,288,15.27777778
60141,7,3240.740741,163,4.294478528
60142,47,167.1348814,479,9.812108559
60143,88,800.2910149,428,20.56074766
60148,158,298.3214697,1031,15.32492726
60152,36,291.6160389,182,19.78021978
60153,283,1188.576228,1125,25.15555556
60154,124,748.2049116,693,17.89321789
60155,115,1468.897688,364,31.59340659
60156,68,235.4081562,442,15.38461538
60157,6,239.8081535,41,14.63414634
60160,368,1448.134739,1138,32.33743409
60162,95,1163.502756,381,24.9343832
60163,54,1046.308855,201,26.86567164
60164,267,1236.111111,1256,21.25796178
60165,107,2173.47146,234,45.72649573
60169,207,614.8453976,719,28.78998609
60171,65,640.5202996,354,18.36158192
60172,133,541.7294611,526,25.2851711
60173,41,337.115606,187,21.92513369
60174,69,219.7102372,748,9.22459893
60175,38,147.6645683,394,9.644670051
60176,79,674.9829118,354,22.31638418
60177,150,649.0977541,415,36.14457831
60178,22,98.15731941,283,7.77385159
60181,136,472.2058262,651,20.89093702
60185,308,852.5007612,978,31.49284254
60187,68,228.8945739,585,11.62393162
60188,264,619.6892165,1054,25.04743833
60189,54,177.4739541,494,10.93117409
60190,22,197.4333662,306,7.189542484
60191,94,664.4518272,368,25.54347826
60192,27,172.5239617,235,11.4893617
60193,121,300.6360565,668,18.11377246
60194,69,364.1929695,382,18.06282723
60195,8,143.6781609,62,12.90322581
60201,221,522.5080386,1475,14.98305085
60202,224,681.6591096,1275,17.56862745
60203,21,501.4326648,136,15.44117647
60301,16,630.9148265,97,16.49484536
60302,139,433.7244134,1037,13.40405014
60304,52,294.7678703,497,10.46277666
60305,35,316.3412871,310,11.29032258
60401,32,411.3639285,218,14.67889908
60402,768,1208.421185,2789,27.53675152
60403,105,575.2163909,642,16.35514019
60404,76,404.3413492,530,14.33962264
60406,265,1049.255622,1045,25.35885167
60408,12,212.4269782,97,12.37113402
60409,365,987.6877283,1718,21.24563446
60410,24,187.6319287,267,8.988764045
60411,594,1027.681661,2708,21.93500739
60415,135,947.1025677,451,29.93348115
60417,104,683.0870279,560,18.57142857
60418,61,NA,265,23.01886792
60419,246,1086.380498,1193,20.620285
60421,6,156.128025,72,8.333333333
60422,64,655.2006552,422,15.16587678
60423,102,329.6916413,644,15.83850932
60425,92,1032.315978,575,16
60426,301,1040.658277,1462,20.58823529
60428,146,1189.797083,798,18.29573935
60429,167,1085.331774,1043,16.01150527
60430,204,1008.552924,930,21.93548387
60431,119,512.5113054,791,15.04424779
60432,161,796.1625952,627,25.67783094
60433,157,944.1337423,554,28.33935018
60434,133,NA,82,162.195122
60435,421,844.3134188,1989,21.16641528
60436,113,596.4634468,656,17.22560976
60438,238,821.8232044,1096,21.71532847
60439,58,247.6304329,479,12.1085595
60440,529,1012.517705,2037,25.96956308
60441,136,384.0180714,758,17.94195251
60442,29,275.377457,199,14.57286432
60443,265,1229.470168,1185,22.3628692
60445,96,649.7022198,594,16.16161616
60446,284,708.4944493,1342,21.16244411
60447,24,168.7763713,305,7.868852459
60448,92,344.4402845,450,20.44444444
60449,56,595.7446809,358,15.6424581
60450,22,107.5268817,268,8.208955224
60451,68,194.5915009,545,12.47706422
60452,129,455.4441463,740,17.43243243
60453,468,829.4930876,1718,27.24097788
60455,212,1286.48583,856,24.76635514
60456,33,766.0167131,153,21.56862745
60457,85,606.3632473,316,26.89873418
60458,75,490.5808477,452,16.59292035
60459,239,826.7607583,880,27.15909091
60461,46,935.5297946,276,16.66666667
60462,174,431.7082248,960,18.125
60463,145,971.4591987,454,31.93832599
60464,29,298.5074627,196,14.79591837
60465,118,675.3276484,457,25.82056893
60466,388,1764.518623,1468,26.43051771
60467,106,398.077212,542,19.55719557
60468,19,314.3613501,102,18.62745098
60469,36,622.8373702,206,17.47572816
60471,152,1081.465671,722,21.05263158
60472,47,965.0924025,285,16.49122807
60473,271,1220.665736,1307,20.7345065
60475,55,568.5342154,331,16.6163142
60476,14,561.5724027,93,15.05376344
60477,153,403.4916533,920,16.63043478
60478,240,1402.524544,1181,20.32176122
