zip,cases,rate,tests,positive
60431,89,383.3067746,590,15.08474576
60432,95,469.7853823,409,23.22738386
60433,98,589.3318901,366,26.77595628
60434,132,NA,66,200
60435,319,639.752923,1398,22.81831187
60436,69,364.2121932,472,14.61864407
60438,175,604.281768,759,23.05665349
60439,48,204.9355307,350,13.71428571
60440,287,549.3243502,1329,21.59518435
60441,106,299.3082027,552,19.20289855
60442,21,199.411262,148,14.18918919
60443,209,969.6576042,878,23.80410023
60445,72,487.2766649,364,19.78021978
60446,190,473.9927654,895,21.22905028
60447,17,119.5499297,231,7.359307359
60448,63,235.8667166,320,19.6875
60449,43,457.4468085,263,16.34980989
60450,16,78.20136852,185,8.648648649
60451,53,151.6669051,408,12.99019608
60452,87,307.1600056,475,18.31578947
60453,307,544.1332861,1119,27.43521001
60455,168,1019.479337,665,25.26315789
60456,19,441.0399257,84,22.61904762
60457,58,413.7537452,203,28.57142857
60458,47,307.4306646,291,16.15120275
60459,149,515.4282552,561,26.5597148
60461,38,772.8289607,193,19.68911917
60462,125,310.135219,651,19.20122888
60463,89,596.2749565,299,29.76588629
60464,22,226.4539372,137,16.05839416
60465,80,457.8492531,312,25.64102564
60466,328,1491.654918,1138,28.82249561
60467,90,337.9900856,401,22.44389027
60468,15,248.1800132,63,23.80952381
60469,29,501.7301038,127,22.83464567
60471,130,924.9377446,547,23.76599634
60472,40,821.3552361,206,19.41747573
60473,221,995.4506554,866,25.51963048
60475,46,475.5013438,222,20.72072072
60476,10,401.1231448,59,16.94915254
60477,109,287.4548379,631,17.27416799
60478,182,1063.581113,852,21.36150235
60480,16,297.9515829,109,14.67889908
60481,12,103.9861352,144,8.333333333
60482,32,293.1476731,198,16.16161616
60484,60,911.8541033,248,24.19354839
60487,67,251.9933805,401,16.70822943
60490,76,342.3115035,461,16.48590022
60491,77,335.3512478,346,22.25433526
60501,82,691.7496204,266,30.82706767
60502,32,141.4552206,219,14.61187215
60503,20,117.8342073,132,15.15151515
60504,90,236.761108,411,21.89781022
60505,363,470.2681695,736,49.32065217
60506,252,464.8074369,1007,25.02482622
60510,35,118.5114956,317,11.04100946
60513,66,349.5762712,471,14.01273885
60514,25,247.3043822,180,13.88888889
60515,38,133.0252748,288,13.19444444
60516,52,177.6684434,342,15.20467836
60517,98,303.1427864,495,19.7979798
60521,64,347.7882839,400,16
60523,43,424.2304657,234,18.37606838
60525,116,379.3825222,728,15.93406593
60526,34,250.9966042,301,11.29568106
60527,153,548.3281368,721,21.22052705
60532,57,202.2854709,314,18.15286624
60534,53,502.6555387,212,25
60538,74,260.0963059,294,25.17006803
60540,49,108.6185494,542,9.040590406
60542,32,176.5517241,234,13.67521368
60543,73,182.3768956,363,20.11019284
60544,72,271.7186203,541,13.30868762
60545,29,218.7193604,128,22.65625
60546,70,446.2862608,390,17.94871795
60548,13,105.0589947,93,13.97849462
60551,15,272.7272727,32,46.875
60552,6,136.3326517,38,15.78947368
60554,13,106.8551701,111,11.71171171
60555,41,304.8780488,173,23.69942197
60558,17,128.5249868,185,9.189189189
60559,129,525.9081088,422,30.56872038
60560,38,152.6962951,204,18.62745098
60561,67,289.2544144,391,17.13554987
60563,62,165.7355182,468,13.24786325
60564,70,164.6555171,471,14.86199575
60565,91,223.1869129,455,20
60585,41,168.2534471,285,14.38596491
60586,143,299.8406441,833,17.16686675
60601,46,313.4582624,322,14.28571429
60604,6,767.2634271,33,18.18181818
60605,120,436.0623569,691,17.36613603
60606,27,870.6868752,202,13.36633663
60607,226,763.7457335,973,23.22713258
60608,614,775.2035856,2078,29.54764196
60609,581,944.7922595,1590,36.5408805
60610,138,353.6738512,874,15.78947368
60611,88,271.3871585,833,10.56422569
60612,351,1022.995541,1724,20.35962877
60613,223,444.9943129,965,23.10880829
60614,261,366.0178381,1452,17.97520661
60615,232,558.1887737,1327,17.48304446
60616,235,431.4776733,1130,20.79646018
60617,480,581.578501,2232,21.50537634
60618,489,518.0359129,2021,24.1959426
60619,556,907.6365536,2170,25.62211982
60620,673,988.3106203,2423,27.77548494
60621,278,957.2343503,963,28.86812046
60622,282,534.161726,1361,20.72005878
60623,1031,1199.13002,2348,43.90971039
60624,405,1120.084075,1365,29.67032967
60625,526,663.781028,1670,31.49700599
60626,484,973.2555801,1579,30.65231159
60628,588,881.2421318,2107,27.90697674
60629,1007,900.3129191,2540,39.64566929
60630,313,545.828683,1449,21.60110421
60631,128,433.4721799,1065,12.01877934
60632,905,994.0794605,2149,42.11261052
60633,109,846.8650455,541,20.14787431
60634,569,748.7334693,2839,20.0422684
60636,344,1068.223457,932,36.90987124
60637,318,670.1226451,1768,17.98642534
60638,427,726.2275286,1786,23.90817469
60639,1089,1203.088923,2765,39.38517179
60640,425,609.6249014,1613,26.34841909
60641,500,703.9972967,1826,27.3822563
60642,65,321.7662492,465,13.97849462
60643,470,942.450371,1895,24.80211082
60644,572,1198.859826,1711,33.43074226
60645,600,1257.018352,1823,32.91278113
60646,117,418.0512381,829,14.11338963
60647,473,540.5158327,1988,23.79275654
60649,440,956.0229446,1723,25.53685432
60651,607,960.169572,1864,32.56437768
60652,344,783.4741613,1123,30.63223508
60653,287,897.6604529,1164,24.65635739
60654,90,470.3423047,433,20.7852194
60655,163,565.8936259,1004,16.23505976
60656,128,464.1212517,925,13.83783784
60657,197,281.2196654,1365,14.43223443
60659,353,859.5500146,1039,33.97497594
60660,214,494.8892281,815,26.25766871
60661,23,231.7146887,205,11.2195122
60706,145,622.2908888,751,19.30758988
60707,296,688.0680629,1420,20.84507042
60712,96,765.6112928,403,23.82133995
60714,292,981.7436035,811,36.00493218
60803,105,468.9593569,486,21.60493827
60804,992,1193.067699,2554,38.84103367
60805,124,630.5298485,414,29.95169082
60827,181,633.3764916,759,23.84716733
60901,194,546.3403644,849,22.85041225
60914,57,190.1965364,498,11.44578313
60915,18,177.8480387,211,8.530805687
60950,17,144.0311785,200,8.5
60954,11,188.1628464,91,12.08791209
60958,8,448.4304933,46,17.39130435
60964,9,177.5147929,70,12.85714286
61008,76,221.6260352,257,29.57198444
61016,12,241.8379686,75,16
61021,15,65.12960792,327,4.587155963
61032,24,80.2782981,171,14.03508772
61065,11,106.1776062,73,15.06849315
61068,90,629.8551333,660,13.63636364
61071,17,121.4545974,90,18.88888889
61073,8,41.74276024,103,7.766990291
61080,6,57.47126437,55,10.90909091
61081,42,198.7789294,142,29.57746479
61101,35,179.0647703,255,13.7254902
61102,45,253.3783784,197,22.84263959
61103,35,146.052412,258,13.56589147
61104,43,221.0342346,209,20.57416268
61107,26,84.12878175,249,10.44176707
61108,67,240.8425896,288,23.26388889
61109,50,183.6614752,285,17.54385965
61111,12,50.34190544,174,6.896551724
61114,22,141.1070489,113,19.46902655
61115,17,75.30787632,165,10.3030303
61201,92,239.6769571,304,30.26315789
61235,6,394.9967084,24,25
61241,13,190.4203896,83,15.6626506
61244,102,430.7614342,265,38.49056604
61252,6,112.3385134,42,14.28571429
61264,13,122.3990208,82,15.85365854
61265,115,263.1217682,420,27.38095238
61275,7,147.3684211,33,21.21212121
61282,24,306.9053708,88,27.27272727
61342,14,159.7626384,81,17.28395062
61356,6,56.17977528,66,9.090909091
61401,33,97.96645391,392,8.418367347
61455,11,53.14523142,104,10.57692308
61462,53,460.0295113,132,40.15151515
61554,10,23.77612402,260,3.846153846
61603,9,54.03782648,237,3.797468354
61604,16,52.3183572,330,4.848484848
61611,16,64.31643687,206,7.766990291
61614,27,96.3872626,257,10.50583658
61615,13,56.11187845,208,6.25
61701,34,95.01718693,679,5.00736377
61704,17,45.6940114,522,3.256704981
61705,8,61.67604657,203,3.9408867
61761,22,39.83919452,581,3.786574871
61764,8,57.03693141,151,5.298013245
61801,17,54.56237764,299,5.685618729
61802,20,103.364515,311,6.430868167
61820,10,26.20819792,284,3.521126761
61821,13,42.50866523,437,2.974828375
61822,28,108.4052809,360,7.777777778
61832,9,25.77467209,287,3.135888502
61853,9,64.37307775,195,4.615384615
61866,7,48.96474538,228,3.070175439
61874,6,73.6196319,118,5.084745763
61910,6,142.0118343,43,13.95348837
61920,10,41.66493063,126,7.936507937
61938,9,41.20879121,163,5.521472393
62002,46,148.1052191,175,26.28571429
62010,8,70.44113762,39,20.51282051
62024,7,70.59298104,26,26.92307692
62025,92,268.1199545,346,26.58959538
62034,30,219.5068413,66,45.45454545
62035,11,66.58595642,59,18.6440678
62040,50,117.7939548,251,19.92031873
62052,9,73.2183534,51,17.64705882
62056,9,104.9685094,109,8.256880734
62060,9,196.2494549,39,23.07692308
62069,7,226.6839378,50,14
62088,6,91.33810321,175,3.428571429
62090,7,541.3766435,13,53.84615385
62095,9,86.08321377,60,15
62201,10,132.1003963,34,29.41176471
62203,14,169.4094869,40,35
62204,16,201.1566507,39,41.02564103
62205,17,212.3142251,45,37.77777778
62206,41,271.1460882,207,19.80676329
62207,25,280.4891731,43,58.13953488
62208,32,193.7515137,102,31.37254902
62220,42,229.4831166,117,35.8974359
62221,35,116.8653377,133,26.31578947
