"","Report.Date","ZIP.Code","Number.of.Cases","Number.of.PCR.Testing.Encounters"
"360","5/19/2020","23150","44",272
"361","5/19/2020","23153","Suppressed*",23
"362","5/19/2020","23156","Suppressed*",23
"363","5/19/2020","23160","0",8
"364","5/19/2020","23161","0",1
"365","5/19/2020","23163","0",0
"366","5/19/2020","23168","8",188
"367","5/19/2020","23169","0",12
"368","5/19/2020","23173","0",1
"369","5/19/2020","23175","Suppressed*",20
"370","5/19/2020","23176","0",3
"371","5/19/2020","23177","0",12
"372","5/19/2020","23180","0",2
"373","5/19/2020","23181","Suppressed*",118
"374","5/19/2020","23185","133",1104
"375","5/19/2020","23187","0",13
"376","5/19/2020","23188","124",1084
"377","5/19/2020","23192","10",92
"378","5/19/2020","23219","14",101
"379","5/19/2020","23220","60",493
"380","5/19/2020","23221","19",222
"381","5/19/2020","23222","78",536
"382","5/19/2020","23223","218",1293
"383","5/19/2020","23224","323",1218
"384","5/19/2020","23225","184",1182
"385","5/19/2020","23226","89",384
"386","5/19/2020","23227","69",574
"387","5/19/2020","23228","110",835
"388","5/19/2020","23229","81",631
"389","5/19/2020","23230","12",143
"390","5/19/2020","23231","106",743
"391","5/19/2020","23233","105",662
"392","5/19/2020","23234","289",1226
"393","5/19/2020","23235","95",865
"394","5/19/2020","23236","56",649
"395","5/19/2020","23237","97",557
"396","5/19/2020","23238","224",762
"397","5/19/2020","23250","0",2
"398","5/19/2020","23294","53",349
"399","5/19/2020","23301","59",120
"400","5/19/2020","23302","Suppressed*",6
"401","5/19/2020","23303","14",40
"402","5/19/2020","23304","Suppressed*",5
"403","5/19/2020","23306","22",63
"404","5/19/2020","23307","12",40
"405","5/19/2020","23308","35",87
"406","5/19/2020","23310","18",95
"407","5/19/2020","23313","Suppressed*",4
"408","5/19/2020","23314","10",167
"409","5/19/2020","23315","Suppressed*",29
"410","5/19/2020","23316","11",39
"411","5/19/2020","23320","137",1501
"412","5/19/2020","23321","46",675
"413","5/19/2020","23322","76",890
"414","5/19/2020","23323","60",652
"415","5/19/2020","23324","38",447
"416","5/19/2020","23325","37",403
"417","5/19/2020","23336","9",54
"418","5/19/2020","23337","0",8
"419","5/19/2020","23347","14",33
"420","5/19/2020","23350","53",155
"421","5/19/2020","23354","9",18
"422","5/19/2020","23356","Suppressed*",29
"423","5/19/2020","23357","31",55
"424","5/19/2020","23359","11",21
"425","5/19/2020","23389","Suppressed*",4
"426","5/19/2020","23395","15",36
"427","5/19/2020","23398","Suppressed*",8
"428","5/19/2020","23401","Suppressed*",13
"429","5/19/2020","23405","10",32
"430","5/19/2020","23407","44",69
"431","5/19/2020","23408","Suppressed*",4
"432","5/19/2020","23409","Suppressed*",4
"433","5/19/2020","23410","48",120
"434","5/19/2020","23413","73",217
"435","5/19/2020","23414","22",40
"436","5/19/2020","23415","34",97
"437","5/19/2020","23416","11",38
"438","5/19/2020","23417","48",143
"439","5/19/2020","23418","41",94
"440","5/19/2020","23420","62",144
"441","5/19/2020","23421","116",386
"442","5/19/2020","23422","Suppressed*",14
"443","5/19/2020","23423","Suppressed*",9
"444","5/19/2020","23426","5",6
"445","5/19/2020","23427","5",10
"446","5/19/2020","23430","30",296
"447","5/19/2020","23432","6",25
"448","5/19/2020","23433","0",26
"449","5/19/2020","23434","154",1299
"450","5/19/2020","23435","100",626
"451","5/19/2020","23436","0",16
"452","5/19/2020","23437","6",85
"453","5/19/2020","23438","Suppressed*",50
"454","5/19/2020","23440","0",2
"455","5/19/2020","23441","18",42
"456","5/19/2020","23442","19",58
"457","5/19/2020","23451","44",900
"458","5/19/2020","23452","81",1368
"459","5/19/2020","23453","51",729
"460","5/19/2020","23454","85",1251
"461","5/19/2020","23455","38",990
"462","5/19/2020","23456","58",1117
"463","5/19/2020","23457","5",73
"464","5/19/2020","23459","Suppressed*",30
"465","5/19/2020","23460","0",11
"466","5/19/2020","23461","0",7
"467","5/19/2020","23462","116",1483
"468","5/19/2020","23464","80",1377
"469","5/19/2020","23480","Suppressed*",11
"470","5/19/2020","23486","0",5
"471","5/19/2020","23487","59",150
"472","5/19/2020","23488","8",18
"473","5/19/2020","23502","41",537
"474","5/19/2020","23503","38",570
"475","5/19/2020","23504","51",887
"476","5/19/2020","23505","34",507
"477","5/19/2020","23507","8",145
"478","5/19/2020","23508","24",261
"479","5/19/2020","23509","30",282
"480","5/19/2020","23510","48",430
"481","5/19/2020","23511","0",36
"482","5/19/2020","23513","36",628
"483","5/19/2020","23517","6",95
"484","5/19/2020","23518","39",656
"485","5/19/2020","23523","9",156
"486","5/19/2020","23551","0",1
"487","5/19/2020","23601","24",530
"488","5/19/2020","23602","43",664
"489","5/19/2020","23603","Suppressed*",47
"490","5/19/2020","23604","0",23
"491","5/19/2020","23605","13",242
"492","5/19/2020","23606","32",461
"493","5/19/2020","23607","24",332
"494","5/19/2020","23608","68",692
"495","5/19/2020","23651","Suppressed*",8
"496","5/19/2020","23661","15",219
"497","5/19/2020","23662","7",174
"498","5/19/2020","23663","11",208
"499","5/19/2020","23664","7",151
"500","5/19/2020","23665","Suppressed*",31
"501","5/19/2020","23666","69",876
"502","5/19/2020","23669","55",644
"503","5/19/2020","23690","0",53
"504","5/19/2020","23691","0",8
"505","5/19/2020","23692","12",284
"506","5/19/2020","23693","12",277
"507","5/19/2020","23696","0",52
"508","5/19/2020","23701","109",693
"509","5/19/2020","23702","15",208
"510","5/19/2020","23703","52",540
"511","5/19/2020","23704","34",484
"512","5/19/2020","23707","24",291
"513","5/19/2020","23708","Suppressed*",102
"514","5/19/2020","23709","0",99
"515","5/19/2020","23801","10",97
"516","5/19/2020","23803","92",797
"517","5/19/2020","23805","33",410
"518","5/19/2020","23806","0",2
"519","5/19/2020","23821","Suppressed*",29
"520","5/19/2020","23824","10",144
"521","5/19/2020","23827","Suppressed*",26
"522","5/19/2020","23828","0",9
"523","5/19/2020","23829","78",464
"524","5/19/2020","23830","Suppressed*",34
"525","5/19/2020","23831","78",630
"526","5/19/2020","23832","148",841
"527","5/19/2020","23833","Suppressed*",26
"528","5/19/2020","23834","101",572
"529","5/19/2020","23836","24",228
"530","5/19/2020","23837","48",79
"531","5/19/2020","23838","28",249
"532","5/19/2020","23839","0",21
"533","5/19/2020","23840","Suppressed*",44
"534","5/19/2020","23841","7",69
"535","5/19/2020","23842","8",107
"536","5/19/2020","23843","0",4
"537","5/19/2020","23844","Suppressed*",9
"538","5/19/2020","23845","0",4
"539","5/19/2020","23846","0",17
"540","5/19/2020","23847","86",362
"541","5/19/2020","23850","0",27
"542","5/19/2020","23851","33",396
"543","5/19/2020","23856","Suppressed*",7
"544","5/19/2020","23857","Suppressed*",5
"545","5/19/2020","23860","67",706
"546","5/19/2020","23866","Suppressed*",51
"547","5/19/2020","23867","20",77
"548","5/19/2020","23868","12",77
"549","5/19/2020","23872","Suppressed*",54
"550","5/19/2020","23874","0",20
"551","5/19/2020","23875","24",239
"552","5/19/2020","23876","0",2
"553","5/19/2020","23878","Suppressed*",23
"554","5/19/2020","23879","5",14
"555","5/19/2020","23881","Suppressed*",29
"556","5/19/2020","23882","5",56
"557","5/19/2020","23883","Suppressed*",46
"558","5/19/2020","23884","Suppressed*",0
"559","5/19/2020","23885","Suppressed*",56
"560","5/19/2020","23887","0",4
"561","5/19/2020","23888","Suppressed*",45
"562","5/19/2020","23889","Suppressed*",8
"563","5/19/2020","23890","26",94
"564","5/19/2020","23891","64",113
"565","5/19/2020","23893","Suppressed*",5
"566","5/19/2020","23894","0",8
"567","5/19/2020","23897","Suppressed*",9
"568","5/19/2020","23898","5",37
"569","5/19/2020","23899","Suppressed*",14
"570","5/19/2020","23901","74",494
"571","5/19/2020","23915","Suppressed*",14
"572","5/19/2020","23917","10",59
"573","5/19/2020","23919","5",32
"574","5/19/2020","23920","Suppressed*",37
"575","5/19/2020","23921","7",75
"576","5/19/2020","23922","7",129
"577","5/19/2020","23923","6",59
"578","5/19/2020","23924","61",160
"579","5/19/2020","23927","62",174
"580","5/19/2020","23930","Suppressed*",133
"581","5/19/2020","23934","Suppressed*",22
"582","5/19/2020","23936","382",247
"583","5/19/2020","23937","Suppressed*",58
"584","5/19/2020","23938","0",4
"585","5/19/2020","23942","Suppressed*",33
"586","5/19/2020","23944","Suppressed*",69
"587","5/19/2020","23947","Suppressed*",103
"588","5/19/2020","23950","8",55
"589","5/19/2020","23952","0",7
"590","5/19/2020","23954","Suppressed*",54
"591","5/19/2020","23958","10",105
"592","5/19/2020","23959","0",25
"593","5/19/2020","23960","5",66
"594","5/19/2020","23962","Suppressed*",22
"595","5/19/2020","23963","0",10
"596","5/19/2020","23964","0",26
"597","5/19/2020","23966","Suppressed*",63
"598","5/19/2020","23967","Suppressed*",20
"599","5/19/2020","23968","Suppressed*",15
"600","5/19/2020","23970","14",115
"601","5/19/2020","23974","Suppressed*",111
"602","5/19/2020","23976","0",9
"603","5/19/2020","24011","0",10
"604","5/19/2020","24012","51",197
"605","5/19/2020","24013","6",41
"606","5/19/2020","24014","54",117
"607","5/19/2020","24015","14",61
"608","5/19/2020","24016","Suppressed*",60
"609","5/19/2020","24017","14",179
"610","5/19/2020","24018","35",261
"611","5/19/2020","24019","10",164
"612","5/19/2020","24053","Suppressed*",30
"613","5/19/2020","24054","5",58
"614","5/19/2020","24055","6",131
"615","5/19/2020","24058","0",4
"616","5/19/2020","24059","0",5
"617","5/19/2020","24060","33",455
"618","5/19/2020","24064","0",24
"619","5/19/2020","24065","Suppressed*",30
"620","5/19/2020","24066","Suppressed*",14
"621","5/19/2020","24067","Suppressed*",10
"622","5/19/2020","24069","Suppressed*",25
"623","5/19/2020","24070","Suppressed*",9
"624","5/19/2020","24072","0",10
"625","5/19/2020","24073","19",388
"626","5/19/2020","24076","0",7
"627","5/19/2020","24077","Suppressed*",3
"628","5/19/2020","24078","11",84
"629","5/19/2020","24079","0",10
"630","5/19/2020","24082","0",4
"631","5/19/2020","24083","7",22
"632","5/19/2020","24084","7",170
"633","5/19/2020","24085","7",10
"634","5/19/2020","24087","6",58
"635","5/19/2020","24088","0",9
"636","5/19/2020","24089","Suppressed*",32
"637","5/19/2020","24090","9",21
"638","5/19/2020","24091","Suppressed*",61
"639","5/19/2020","24092","Suppressed*",9
"640","5/19/2020","24093","0",1
"641","5/19/2020","24095","Suppressed*",22
"642","5/19/2020","24101","Suppressed*",32
"643","5/19/2020","24102","0",2
"644","5/19/2020","24104","Suppressed*",57
"645","5/19/2020","24105","0",5
"646","5/19/2020","24112","30",324
"647","5/19/2020","24120","Suppressed*",12
"648","5/19/2020","24121","Suppressed*",80
"649","5/19/2020","24122","Suppressed*",16
"650","5/19/2020","24124","Suppressed*",37
"651","5/19/2020","24127","Suppressed*",40
"652","5/19/2020","24128","Suppressed*",16
"653","5/19/2020","24131","0",1
"654","5/19/2020","24132","0",5
"655","5/19/2020","24133","0",33
"656","5/19/2020","24134","0",37
"657","5/19/2020","24136","0",15
"658","5/19/2020","24137","Suppressed*",13
"659","5/19/2020","24138","0",21
"660","5/19/2020","24139","0",7
"661","5/19/2020","24141","Suppressed*",155
"662","5/19/2020","24142","0",1
"663","5/19/2020","24147","Suppressed*",10
"664","5/19/2020","24148","5",70
"665","5/19/2020","24149","0",27
"666","5/19/2020","24150","Suppressed*",4
"667","5/19/2020","24151","13",52
"668","5/19/2020","24153","56",510
"669","5/19/2020","24161","0",6
"670","5/19/2020","24162","6",41
"671","5/19/2020","24165","Suppressed*",26
"672","5/19/2020","24167","0",3
"673","5/19/2020","24168","Suppressed*",16
"674","5/19/2020","24171","7",72
"675","5/19/2020","24174","Suppressed*",26
"676","5/19/2020","24175","Suppressed*",36
"677","5/19/2020","24176","Suppressed*",13
"678","5/19/2020","24179","14",92
"679","5/19/2020","24184","6",13
"680","5/19/2020","24185","0",4
"681","5/19/2020","24201","Suppressed*",258
"682","5/19/2020","24202","8",157
"683","5/19/2020","24210","19",278
"684","5/19/2020","24211","9",147
"685","5/19/2020","24216","10",64
"686","5/19/2020","24217","0",1
"687","5/19/2020","24219","9",387
"688","5/19/2020","24220","0",8
"689","5/19/2020","24221","0",4
"690","5/19/2020","24224","5",70
"691","5/19/2020","24225","0",10
"692","5/19/2020","24226","0",14
"693","5/19/2020","24228","0",88
"694","5/19/2020","24230","0",102
"695","5/19/2020","24236","5",41
"696","5/19/2020","24237","0",7
"697","5/19/2020","24239","0",4
"698","5/19/2020","24243","0",44
"699","5/19/2020","24244","Suppressed*",107
"700","5/19/2020","24245","0",16
"701","5/19/2020","24246","0",6
"702","5/19/2020","24248","Suppressed*",38
"703","5/19/2020","24250","0",13
"704","5/19/2020","24251","Suppressed*",150
"705","5/19/2020","24256","0",38
"706","5/19/2020","24258","0",20
"707","5/19/2020","24260","0",61
"708","5/19/2020","24263","Suppressed*",104
"709","5/19/2020","24265","0",10
"710","5/19/2020","24266","Suppressed*",115
"711","5/19/2020","24269","0",4
"712","5/19/2020","24270","Suppressed*",6
"713","5/19/2020","24271","0",35
"714","5/19/2020","24272","0",7
"715","5/19/2020","24273","Suppressed*",72
"716","5/19/2020","24277","Suppressed*",97
"717","5/19/2020","24279","0",33
"718","5/19/2020","24280","0",6
"719","5/19/2020","24281","0",29
"720","5/19/2020","24282","0",14
"721","5/19/2020","24283","0",36
"722","5/19/2020","24290","0",31
"723","5/19/2020","24292","0",12
"724","5/19/2020","24293","Suppressed*",125
"725","5/19/2020","24301","Suppressed*",276
"726","5/19/2020","24311","0",27
"727","5/19/2020","24312","0",24
"728","5/19/2020","24313","Suppressed*",7
"729","5/19/2020","24314","0",26
"730","5/19/2020","24315","0",32
"731","5/19/2020","24316","0",2
"732","5/19/2020","24317","Suppressed*",36
"733","5/19/2020","24318","0",8
"734","5/19/2020","24319","5",88
"735","5/19/2020","24322","0",3
"736","5/19/2020","24323","Suppressed*",10
"737","5/19/2020","24324","0",38
"738","5/19/2020","24325","0",5
"739","5/19/2020","24326","0",6
"740","5/19/2020","24328","0",17
"741","5/19/2020","24330","11",54
"742","5/19/2020","24333","120",448
"743","5/19/2020","24340","Suppressed*",81
"744","5/19/2020","24343","11",135
"745","5/19/2020","24347","Suppressed*",23
"746","5/19/2020","24348","0",76
"747","5/19/2020","24350","0",12
"748","5/19/2020","24351","0",3
"749","5/19/2020","24352","Suppressed*",12
"750","5/19/2020","24354","6",216
"751","5/19/2020","24360","5",94
"752","5/19/2020","24361","Suppressed*",72
"753","5/19/2020","24363","0",7
"754","5/19/2020","24366","Suppressed*",15
"755","5/19/2020","24368","Suppressed*",63
"756","5/19/2020","24370","Suppressed*",77
"757","5/19/2020","24374","0",15
