"","Report.Date","ZIP.Code","Number.of.Cases","Number.of.PCR.Testing.Encounters"
"1","5/19/2020","20105","65",452
"2","5/19/2020","20106","28",92
"3","5/19/2020","20109","619",1550
"4","5/19/2020","20110","752",1754
"5","5/19/2020","20111","483",1210
"6","5/19/2020","20112","122",655
"7","5/19/2020","20115","23",119
"8","5/19/2020","20117","7",44
"9","5/19/2020","20118","Suppressed*",28
"10","5/19/2020","20119","15",88
"11","5/19/2020","20120","165",776
"12","5/19/2020","20121","117",524
"13","5/19/2020","20124","34",249
"14","5/19/2020","20129","7",24
"15","5/19/2020","20130","0",6
"16","5/19/2020","20132","27",243
"17","5/19/2020","20135","5",52
"18","5/19/2020","20136","94",531
"19","5/19/2020","20137","Suppressed*",25
"20","5/19/2020","20139","Suppressed*",6
"21","5/19/2020","20141","9",99
"22","5/19/2020","20143","0",17
"23","5/19/2020","20144","Suppressed*",11
"24","5/19/2020","20147","215",1349
"25","5/19/2020","20148","87",666
"26","5/19/2020","20151","126",461
"27","5/19/2020","20152","67",429
"28","5/19/2020","20155","142",716
"29","5/19/2020","20158","9",53
"30","5/19/2020","20164","466",1224
"31","5/19/2020","20165","138",663
"32","5/19/2020","20166","75",328
"33","5/19/2020","20169","57",384
"34","5/19/2020","20170","439",1172
"35","5/19/2020","20171","194",747
"36","5/19/2020","20175","76",513
"37","5/19/2020","20176","237",947
"38","5/19/2020","20180","9",119
"39","5/19/2020","20181","26",194
"40","5/19/2020","20184","Suppressed*",22
"41","5/19/2020","20186","42",352
"42","5/19/2020","20187","40",314
"43","5/19/2020","20190","132",571
"44","5/19/2020","20191","176",712
"45","5/19/2020","20194","22",198
"46","5/19/2020","20197","Suppressed*",45
"47","5/19/2020","20198","Suppressed*",33
"48","5/19/2020","22003","714",1923
"49","5/19/2020","22015","266",966
"50","5/19/2020","22025","71",407
"51","5/19/2020","22026","114",559
"52","5/19/2020","22027","41",73
"53","5/19/2020","22030","216",1108
"54","5/19/2020","22031","224",894
"55","5/19/2020","22032","88",527
"56","5/19/2020","22033","146",739
"57","5/19/2020","22035","0",4
"58","5/19/2020","22039","49",315
"59","5/19/2020","22041","487",1179
"60","5/19/2020","22042","431",1214
"61","5/19/2020","22043","152",535
"62","5/19/2020","22044","170",450
"63","5/19/2020","22046","103",422
"64","5/19/2020","22060","12",80
"65","5/19/2020","22066","38",333
"66","5/19/2020","22079","199",906
"67","5/19/2020","22101","92",686
"68","5/19/2020","22102","78",575
"69","5/19/2020","22124","37",302
"70","5/19/2020","22125","Suppressed*",22
"71","5/19/2020","22134","13",52
"72","5/19/2020","22150","517",1258
"73","5/19/2020","22151","183",554
"74","5/19/2020","22152","131",582
"75","5/19/2020","22153","110",604
"76","5/19/2020","22172","81",307
"77","5/19/2020","22180","118",562
"78","5/19/2020","22181","31",259
"79","5/19/2020","22182","71",489
"80","5/19/2020","22191","920",3003
"81","5/19/2020","22192","374",1750
"82","5/19/2020","22193","822",2797
"83","5/19/2020","22201","161",863
"84","5/19/2020","22202","133",591
"85","5/19/2020","22203","220",616
"86","5/19/2020","22204","670",1895
"87","5/19/2020","22205","96",494
"88","5/19/2020","22206","125",558
"89","5/19/2020","22207","202",899
"90","5/19/2020","22209","55",316
"91","5/19/2020","22211","Suppressed*",12
"92","5/19/2020","22213","11",68
"93","5/19/2020","22214","0",2
"94","5/19/2020","22301","54",355
"95","5/19/2020","22302","159",536
"96","5/19/2020","22303","116",490
"97","5/19/2020","22304","459",1599
"98","5/19/2020","22305","436",846
"99","5/19/2020","22306","504",1304
"100","5/19/2020","22307","46",268
"101","5/19/2020","22308","52",194
"102","5/19/2020","22309","394",1081
"103","5/19/2020","22310","195",739
"104","5/19/2020","22311","291",803
"105","5/19/2020","22312","316",989
"106","5/19/2020","22314","143",847
"107","5/19/2020","22315","68",511
"108","5/19/2020","22401","94",603
"109","5/19/2020","22405","66",611
"110","5/19/2020","22406","55",483
"111","5/19/2020","22407","204",1296
"112","5/19/2020","22408","68",571
"113","5/19/2020","22427","Suppressed*",59
"114","5/19/2020","22432","Suppressed*",14
"115","5/19/2020","22433","Suppressed*",6
"116","5/19/2020","22435","Suppressed*",55
"117","5/19/2020","22436","0",11
"118","5/19/2020","22437","Suppressed*",16
"119","5/19/2020","22438","Suppressed*",4
"120","5/19/2020","22443","11",132
"121","5/19/2020","22448","Suppressed*",15
"122","5/19/2020","22454","Suppressed*",28
"123","5/19/2020","22460","Suppressed*",23
"124","5/19/2020","22469","Suppressed*",34
"125","5/19/2020","22473","11",103
"126","5/19/2020","22476","Suppressed*",4
"127","5/19/2020","22480","0",22
"128","5/19/2020","22482","Suppressed*",73
"129","5/19/2020","22485","47",497
"130","5/19/2020","22488","Suppressed*",22
"131","5/19/2020","22503","Suppressed*",102
"132","5/19/2020","22504","0",4
"133","5/19/2020","22508","29",278
"134","5/19/2020","22511","Suppressed*",19
"135","5/19/2020","22514","Suppressed*",27
"136","5/19/2020","22520","28",121
"137","5/19/2020","22529","0",7
"138","5/19/2020","22530","0",1
"139","5/19/2020","22534","Suppressed*",40
"140","5/19/2020","22535","0",11
"141","5/19/2020","22538","0",6
"142","5/19/2020","22539","Suppressed*",49
"143","5/19/2020","22542","Suppressed*",36
"144","5/19/2020","22546","26",254
"145","5/19/2020","22548","0",3
"146","5/19/2020","22551","56",412
"147","5/19/2020","22553","15",277
"148","5/19/2020","22554","255",1253
"149","5/19/2020","22556","117",599
"150","5/19/2020","22560","28",160
"151","5/19/2020","22567","Suppressed*",77
"152","5/19/2020","22572","250",454
"153","5/19/2020","22576","0",32
"154","5/19/2020","22578","0",41
"155","5/19/2020","22579","Suppressed*",4
"156","5/19/2020","22580","7",91
"157","5/19/2020","22601","99",217
"158","5/19/2020","22602","90",184
"159","5/19/2020","22603","34",86
"160","5/19/2020","22610","7",12
"161","5/19/2020","22611","10",87
"162","5/19/2020","22620","Suppressed*",18
"163","5/19/2020","22623","Suppressed*",0
"164","5/19/2020","22624","Suppressed*",11
"165","5/19/2020","22625","5",12
"166","5/19/2020","22627","0",9
"167","5/19/2020","22630","80",167
"168","5/19/2020","22637","Suppressed*",5
"169","5/19/2020","22639","0",4
"170","5/19/2020","22640","Suppressed*",5
"171","5/19/2020","22641","0",1
"172","5/19/2020","22642","15",50
"173","5/19/2020","22643","0",5
"174","5/19/2020","22644","40",37
"175","5/19/2020","22645","15",26
"176","5/19/2020","22646","0",3
"177","5/19/2020","22650","Suppressed*",11
"178","5/19/2020","22652","Suppressed*",15
"179","5/19/2020","22654","Suppressed*",5
"180","5/19/2020","22655","58",111
"181","5/19/2020","22656","7",33
"182","5/19/2020","22657","29",87
"183","5/19/2020","22660","7",10
"184","5/19/2020","22663","Suppressed*",5
"185","5/19/2020","22664","108",122
"186","5/19/2020","22701","385",933
"187","5/19/2020","22709","0",16
"188","5/19/2020","22711","0",1
"189","5/19/2020","22712","68",263
"190","5/19/2020","22713","6",23
"191","5/19/2020","22714","9",28
"192","5/19/2020","22715","Suppressed*",15
"193","5/19/2020","22716","Suppressed*",9
"194","5/19/2020","22718","Suppressed*",12
"195","5/19/2020","22719","0",4
"196","5/19/2020","22720","0",10
"197","5/19/2020","22723","0",3
"198","5/19/2020","22724","6",35
"199","5/19/2020","22726","Suppressed*",16
"200","5/19/2020","22727","17",121
"201","5/19/2020","22728","Suppressed*",48
"202","5/19/2020","22729","Suppressed*",9
"203","5/19/2020","22730","0",1
"204","5/19/2020","22731","Suppressed*",4
"205","5/19/2020","22732","Suppressed*",7
"206","5/19/2020","22733","11",36
"207","5/19/2020","22734","19",88
"208","5/19/2020","22735","Suppressed*",31
"209","5/19/2020","22736","Suppressed*",10
"210","5/19/2020","22737","Suppressed*",45
"211","5/19/2020","22738","Suppressed*",24
"212","5/19/2020","22740","Suppressed*",21
"213","5/19/2020","22741","0",5
"214","5/19/2020","22742","12",42
"215","5/19/2020","22743","0",1
"216","5/19/2020","22747","0",14
"217","5/19/2020","22749","0",4
"218","5/19/2020","22801","460",992
"219","5/19/2020","22802","375",951
"220","5/19/2020","22807","Suppressed*",2
"221","5/19/2020","22810","Suppressed*",12
"222","5/19/2020","22811","Suppressed*",16
"223","5/19/2020","22812","13",160
"224","5/19/2020","22815","49",174
"225","5/19/2020","22820","0",2
"226","5/19/2020","22821","16",86
"227","5/19/2020","22824","47",62
"228","5/19/2020","22827","37",240
"229","5/19/2020","22830","14",37
"230","5/19/2020","22831","Suppressed*",13
"231","5/19/2020","22832","Suppressed*",17
"232","5/19/2020","22834","Suppressed*",18
"233","5/19/2020","22835","100",231
"234","5/19/2020","22840","Suppressed*",68
"235","5/19/2020","22841","8",50
"236","5/19/2020","22842","49",90
"237","5/19/2020","22843","Suppressed*",28
"238","5/19/2020","22844","29",96
"239","5/19/2020","22845","0",1
"240","5/19/2020","22846","6",47
"241","5/19/2020","22847","Suppressed*",12
"242","5/19/2020","22849","11",88
"243","5/19/2020","22850","5",24
"244","5/19/2020","22851","49",108
"245","5/19/2020","22853","38",116
"246","5/19/2020","22901","92",1009
"247","5/19/2020","22902","29",604
"248","5/19/2020","22903","42",721
"249","5/19/2020","22904","0",6
"250","5/19/2020","22911","16",437
"251","5/19/2020","22920","Suppressed*",43
"252","5/19/2020","22922","Suppressed*",42
"253","5/19/2020","22923","7",101
"254","5/19/2020","22931","0",9
"255","5/19/2020","22932","13",180
"256","5/19/2020","22935","Suppressed*",23
"257","5/19/2020","22936","Suppressed*",94
"258","5/19/2020","22937","Suppressed*",38
"259","5/19/2020","22938","Suppressed*",21
"260","5/19/2020","22939","5",65
"261","5/19/2020","22940","Suppressed*",22
"262","5/19/2020","22942","7",260
"263","5/19/2020","22943","0",10
"264","5/19/2020","22946","Suppressed*",4
"265","5/19/2020","22947","Suppressed*",85
"266","5/19/2020","22948","0",2
"267","5/19/2020","22949","0",35
"268","5/19/2020","22952","0",29
"269","5/19/2020","22958","Suppressed*",32
"270","5/19/2020","22959","Suppressed*",55
"271","5/19/2020","22960","23",307
"272","5/19/2020","22963","24",399
"273","5/19/2020","22964","0",4
"274","5/19/2020","22967","Suppressed*",27
"275","5/19/2020","22968","9",207
"276","5/19/2020","22969","Suppressed*",32
"277","5/19/2020","22971","0",41
"278","5/19/2020","22972","Suppressed*",15
"279","5/19/2020","22973","5",157
"280","5/19/2020","22974","5",122
"281","5/19/2020","22976","0",7
"282","5/19/2020","22980","34",480
"283","5/19/2020","22989","0",4
"284","5/19/2020","23002","18",264
"285","5/19/2020","23004","10",42
"286","5/19/2020","23005","34",268
"287","5/19/2020","23009","11",121
"288","5/19/2020","23011","Suppressed*",23
"289","5/19/2020","23015","9",91
"290","5/19/2020","23021","0",4
"291","5/19/2020","23022","5",34
"292","5/19/2020","23023","Suppressed*",5
"293","5/19/2020","23024","20",144
"294","5/19/2020","23025","0",7
"295","5/19/2020","23027","Suppressed*",37
"296","5/19/2020","23030","16",123
"297","5/19/2020","23032","0",1
"298","5/19/2020","23035","Suppressed*",18
"299","5/19/2020","23038","7",41
"300","5/19/2020","23039","Suppressed*",23
"301","5/19/2020","23040","8",111
"302","5/19/2020","23043","Suppressed*",14
"303","5/19/2020","23045","0",1
"304","5/19/2020","23047","0",25
"305","5/19/2020","23050","Suppressed*",6
"306","5/19/2020","23055","38",61
"307","5/19/2020","23056","0",0
"308","5/19/2020","23059","40",532
"309","5/19/2020","23060","90",714
"310","5/19/2020","23061","16",279
"311","5/19/2020","23062","Suppressed*",52
"312","5/19/2020","23063","53",182
"313","5/19/2020","23064","0",2
"314","5/19/2020","23065","Suppressed*",28
"315","5/19/2020","23066","0",4
"316","5/19/2020","23068","0",6
"317","5/19/2020","23069","5",54
"318","5/19/2020","23070","0",6
"319","5/19/2020","23071","Suppressed*",17
"320","5/19/2020","23072","7",172
"321","5/19/2020","23075","107",311
"322","5/19/2020","23076","0",11
"323","5/19/2020","23079","0",2
"324","5/19/2020","23083","Suppressed*",43
"325","5/19/2020","23084","6",66
"326","5/19/2020","23085","Suppressed*",7
"327","5/19/2020","23086","Suppressed*",41
"328","5/19/2020","23089","8",115
"329","5/19/2020","23091","0",9
"330","5/19/2020","23092","0",6
"331","5/19/2020","23093","26",378
"332","5/19/2020","23102","7",46
"333","5/19/2020","23103","15",106
"334","5/19/2020","23106","Suppressed*",24
"335","5/19/2020","23108","0",1
"336","5/19/2020","23109","Suppressed*",35
"337","5/19/2020","23110","0",13
"338","5/19/2020","23111","71",705
"339","5/19/2020","23112","95",936
"340","5/19/2020","23113","65",551
"341","5/19/2020","23114","34",361
"342","5/19/2020","23115","0",5
"343","5/19/2020","23116","94",730
"344","5/19/2020","23117","9",223
"345","5/19/2020","23119","Suppressed*",2
"346","5/19/2020","23120","26",228
"347","5/19/2020","23123","16",96
"348","5/19/2020","23124","6",80
"349","5/19/2020","23126","0",5
"350","5/19/2020","23128","Suppressed*",20
"351","5/19/2020","23129","0",3
"352","5/19/2020","23130","Suppressed*",6
"353","5/19/2020","23138","0",4
"354","5/19/2020","23139","25",401
"355","5/19/2020","23140","14",138
"356","5/19/2020","23141","9",138
"357","5/19/2020","23146","6",36
"358","5/19/2020","23148","Suppressed*",26
"359","5/19/2020","23149","5",52
