"","Town_No","Town","LastUpdateDate","ConfirmedCases","Deaths","CaseRate","PeopleTested","RateTested100k"
"1",1,"Andover","2020-05-21",10,0,310,66,2043
"2",2,"Ansonia","2020-05-21",248,5,1325,955,5101
"3",3,"Ashford","2020-05-21",15,0,352,95,2230
"4",4,"Avon","2020-05-21",106,17,579,467,2552
"5",5,"Barkhamsted","2020-05-21",24,0,662,91,2511
"6",6,"Beacon Falls","2020-05-21",45,0,728,217,3510
"7",7,"Berlin","2020-05-21",137,16,671,633,3098
"8",8,"Bethany","2020-05-21",30,0,548,213,3888
"9",9,"Bethel","2020-05-21",242,23,1228,1098,5570
"10",10,"Bethlehem","2020-05-21",10,1,292,91,2659
"11",11,"Bloomfield","2020-05-21",439,76,2061,1100,5164
"12",12,"Bolton","2020-05-21",19,3,389,96,1963
"13",13,"Bozrah","2020-05-21",8,0,315,81,3193
"14",14,"Branford","2020-05-21",314,39,1121,1501,5360
"15",15,"Bridgeport","2020-05-21",3099,141,2139,8909,6148
"16",16,"Bridgewater","2020-05-21",6,0,366,62,3778
"17",17,"Bristol","2020-05-21",516,66,860,2216,3691
"18",18,"Brookfield","2020-05-21",151,7,888,841,4946
"19",19,"Brooklyn","2020-05-21",19,0,229,225,2717
"20",20,"Burlington","2020-05-21",21,1,217,209,2162
"21",21,"Canaan","2020-05-21",0,0,0,20,1896
"22",22,"Canterbury","2020-05-21",11,0,216,139,2725
"23",23,"Canton","2020-05-21",78,24,759,252,2454
"24",24,"Chaplin","2020-05-21",3,0,133,58,2571
"25",25,"Cheshire","2020-05-21",172,22,589,952,3263
"26",26,"Chester","2020-05-21",46,12,1088,132,3121
"27",27,"Clinton","2020-05-21",50,2,386,414,3197
"28",28,"Colchester","2020-05-21",32,1,201,534,3351
"29",29,"Colebrook","2020-05-21",2,0,142,25,1779
"30",30,"Columbia","2020-05-21",19,0,353,127,2358
"31",31,"Cornwall","2020-05-21",4,0,292,52,3801
"32",32,"Coventry","2020-05-21",37,1,298,261,2102
"33",33,"Cromwell","2020-05-21",99,21,712,451,3243
"34",34,"Danbury","2020-05-21",1660,110,1959,4930,5818
"35",35,"Darien","2020-05-21",202,6,929,1018,4680
"36",36,"Deep River","2020-05-21",8,0,179,115,2577
"37",37,"Derby","2020-05-21",136,2,1087,664,5306
"38",38,"Durham","2020-05-21",29,2,403,228,3169
"39",40,"East Granby","2020-05-21",8,0,155,89,1729
"40",41,"East Haddam","2020-05-21",12,1,134,179,1992
"41",42,"East Hampton","2020-05-21",40,3,311,325,2528
"42",43,"East Hartford","2020-05-21",714,81,1428,1996,3992
"43",44,"East Haven","2020-05-21",375,34,1307,1710,5958
"44",45,"East Lyme","2020-05-21",126,22,676,820,4398
"45",47,"East Windsor","2020-05-21",140,25,1231,437,3842
"46",39,"Eastford","2020-05-21",8,0,447,38,2123
"47",46,"Easton","2020-05-21",31,1,412,241,3206
"48",48,"Ellington","2020-05-21",55,4,337,345,2117
"49",49,"Enfield","2020-05-21",409,23,920,1368,3077
"50",50,"Essex","2020-05-21",20,1,300,176,2637
"51",51,"Fairfield","2020-05-21",548,103,885,2071,3343
"52",52,"Farmington","2020-05-21",188,31,737,729,2858
"53",53,"Franklin","2020-05-21",3,0,155,51,2638
"54",54,"Glastonbury","2020-05-21",258,68,748,1049,3041
"55",55,"Goshen","2020-05-21",8,0,278,90,3126
"56",56,"Granby","2020-05-21",21,1,185,217,1908
"57",57,"Greenwich","2020-05-21",767,46,1223,2644,4215
"58",58,"Griswold","2020-05-21",20,2,173,375,3235
"59",59,"Groton","2020-05-21",106,19,274,1495,3864
"60",60,"Guilford","2020-05-21",94,10,423,718,3232
"61",61,"Haddam","2020-05-21",26,1,316,193,2347
"62",62,"Hamden","2020-05-21",900,99,1477,3356,5507
"63",63,"Hampton","2020-05-21",2,0,108,50,2698
"64",64,"Hartford","2020-05-21",2073,146,1691,5240,4275
"65",65,"Hartland","2020-05-21",6,0,283,30,1415
"66",66,"Harwinton","2020-05-21",27,2,497,152,2799
"67",67,"Hebron","2020-05-21",21,2,221,204,2151
"68",68,"Kent","2020-05-21",7,0,251,85,3052
"69",69,"Killingly","2020-05-21",26,0,150,537,3106
"70",70,"Killingworth","2020-05-21",13,3,204,182,2857
"71",71,"Lebanon","2020-05-21",24,1,333,177,2456
"72",72,"Ledyard","2020-05-21",19,1,129,711,4825
"73",73,"Lisbon","2020-05-21",5,0,118,113,2660
"74",74,"Litchfield","2020-05-21",35,3,431,261,3212
"75",75,"Lyme","2020-05-21",4,0,171,51,2181
"76",76,"Madison","2020-05-21",131,22,724,659,3640
"77",77,"Manchester","2020-05-21",589,74,1021,2064,3577
"78",78,"Mansfield","2020-05-21",27,2,105,223,864
"79",79,"Marlborough","2020-05-21",52,3,818,193,3036
"80",80,"Meriden","2020-05-21",698,56,1172,2824,4743
"81",81,"Middlebury","2020-05-21",44,3,569,245,3169
"82",82,"Middlefield","2020-05-21",15,0,342,122,2785
"83",83,"Middletown","2020-05-21",521,73,1129,1985,4302
"84",84,"Milford","2020-05-21",593,70,1085,2502,4577
"85",85,"Monroe","2020-05-21",103,6,529,607,3118
"86",86,"Montville","2020-05-21",110,0,588,743,3970
"87",87,"Morris","2020-05-21",15,0,663,60,2653
"88",88,"Naugatuck","2020-05-21",342,25,1093,1336,4270
"89",89,"New Britain","2020-05-21",871,71,1202,2857,3943
"90",90,"New Canaan","2020-05-21",166,29,821,882,4364
"91",91,"New Fairfield","2020-05-21",106,2,764,575,4144
"92",92,"New Hartford","2020-05-21",24,2,359,139,2079
"93",93,"New Haven","2020-05-21",2303,94,1766,8651,6633
"94",95,"New London","2020-05-21",136,2,505,1115,4139
"95",96,"New Milford","2020-05-21",262,21,971,1347,4994
"96",94,"Newington","2020-05-21",333,46,1106,1250,4151
"97",97,"Newtown","2020-05-21",207,22,745,1216,4378
"98",98,"Norfolk","2020-05-21",9,0,549,30,1829
"99",99,"North Branford","2020-05-21",80,4,565,512,3616
"100",100,"North Canaan","2020-05-21",5,1,154,71,2182
"101",101,"North Haven","2020-05-21",218,19,920,1106,4668
"102",102,"North Stonington","2020-05-21",10,1,191,176,3357
"103",103,"Norwalk","2020-05-21",1942,119,2181,5512,6190
"104",104,"Norwich","2020-05-21",85,3,217,1216,3107
"105",105,"Old Lyme","2020-05-21",17,1,231,252,3421
"106",106,"Old Saybrook","2020-05-21",33,0,327,316,3133
"107",107,"Orange","2020-05-21",113,8,810,586,4201
"108",108,"Oxford","2020-05-21",78,6,590,451,3410
"109",109,"Plainfield","2020-05-21",30,1,198,482,3177
"110",110,"Plainville","2020-05-21",132,17,749,645,3660
"111",111,"Plymouth","2020-05-21",64,1,550,359,3083
"112",112,"Pomfret","2020-05-21",13,0,309,117,2783
"113",113,"Portland","2020-05-21",56,15,602,254,2730
"114",114,"Preston","2020-05-21",10,0,216,199,4291
"115",115,"Prospect","2020-05-21",52,0,531,268,2737
"116",116,"Putnam","2020-05-21",25,1,266,309,3289
"117",117,"Redding","2020-05-21",68,8,745,335,3671
"118",118,"Ridgefield","2020-05-21",199,41,796,1310,5238
"119",119,"Rocky Hill","2020-05-21",368,76,1827,981,4870
"120",120,"Roxbury","2020-05-21",6,1,278,69,3194
"121",121,"Salem","2020-05-21",4,0,97,162,3929
"122",122,"Salisbury","2020-05-21",10,0,278,64,1779
"123",123,"Scotland","2020-05-21",0,0,0,16,950
"124",124,"Seymour","2020-05-21",211,38,1278,806,4882
"125",125,"Sharon","2020-05-21",16,0,592,156,5771
"126",126,"Shelton","2020-05-21",533,127,1297,1794,4365
"127",127,"Sherman","2020-05-21",14,2,387,123,3403
"128",128,"Simsbury","2020-05-21",108,12,432,568,2274
"129",129,"Somers","2020-05-21",279,4,2575,868,8012
"130",132,"South Windsor","2020-05-21",134,28,514,627,2407
"131",130,"Southbury","2020-05-21",162,33,824,1274,6481
"132",131,"Southington","2020-05-21",288,25,657,1405,3207
"133",133,"Sprague","2020-05-21",3,0,104,124,4292
"134",134,"Stafford","2020-05-21",95,17,799,321,2701
"135",135,"Stamford","2020-05-21",3066,181,2363,7734,5960
"136",136,"Sterling","2020-05-21",2,0,53,79,2090
"137",137,"Stonington","2020-05-21",30,2,163,705,3821
"138",138,"Stratford","2020-05-21",743,67,1430,2750,5292
"139",139,"Suffield","2020-05-21",113,18,718,333,2115
"140",140,"Thomaston","2020-05-21",53,0,701,238,3148
"141",141,"Thompson","2020-05-21",29,2,309,203,2161
"142",142,"Tolland","2020-05-21",47,4,321,292,1992
"143",143,"Torrington","2020-05-21",461,76,1347,1472,4301
"144",144,"Trumbull","2020-05-21",500,95,1397,1600,4469
"145",145,"Union","2020-05-21",4,0,476,14,1667
"146",146,"Vernon","2020-05-21",171,18,584,810,2764
"147",147,"Voluntown","2020-05-21",9,1,355,81,3195
"148",148,"Wallingford","2020-05-21",411,55,923,1911,4291
"149",149,"Warren","2020-05-21",4,0,286,16,1144
"150",150,"Washington","2020-05-21",20,2,582,225,6552
"151",151,"Waterbury","2020-05-21",1798,148,1663,4945,4575
"152",152,"Waterford","2020-05-21",149,16,789,970,5136
"153",153,"Watertown","2020-05-21",135,6,624,729,3369
"154",155,"West Hartford","2020-05-21",527,91,837,2007,3189
"155",156,"West Haven","2020-05-21",989,60,1802,3458,6301
"156",154,"Westbrook","2020-05-21",24,1,347,208,3008
"157",157,"Weston","2020-05-21",61,1,595,418,4079
"158",158,"Westport","2020-05-21",279,21,992,1380,4908
