"","Town_No","Town","LastUpdateDate","ConfirmedCases","Deaths","CaseRate","PeopleTested","RateTested100k"
"159",159,"Wethersfield","2020-05-21",229,9,878,864,3313
"160",160,"Willington","2020-05-21",12,0,204,103,1750
"161",161,"Wilton","2020-05-21",202,37,1098,763,4147
"162",162,"Winchester","2020-05-21",51,3,479,315,2956
"163",163,"Windham","2020-05-21",152,10,615,632,2558
"164",164,"Windsor","2020-05-21",507,94,1763,1131,3933
"165",165,"Windsor Locks","2020-05-21",98,16,761,369,2866
"166",166,"Wolcott","2020-05-21",94,8,565,465,2793
"167",167,"Woodbridge","2020-05-21",125,28,1420,424,4815
"168",168,"Woodbury","2020-05-21",40,2,419,312,3271
"169",169,"Woodstock","2020-05-21",13,0,165,186,2366
