"","OBJECTID","POSTCODE","NAME","Positive","Death","Recovered","Active","Rate","Rate_Draft","Positive_Draft","Death_Draft","ZIPType","Shape__Area","Shape__Length"
"20",20,"29385","Wellford",25,NA,NA,NA,NA,NA,31,NA,"Standard",52388805.7779541,55550.3753290448
"21",21,"29384","Waterloo",1,NA,NA,NA,NA,NA,1,NA,"Standard",130843479.751221,85594.8209633725
"22",22,"29401","Charleston",13,NA,NA,NA,NA,NA,13,NA,"Standard",5915797.43664551,17797.1732404435
"23",23,"29403","Charleston",31,NA,NA,NA,NA,NA,31,NA,"Standard",13845332.4730225,18544.5816982274
"24",24,"29425","Charleston",13,NA,NA,NA,NA,NA,13,NA,"Standard",172599.811157227,1843.34860148435
"25",25,"29424","Charleston",0,NA,NA,NA,NA,NA,0,NA,"Standard",92495.0665283203,1643.9388641429
"26",26,"29404","Charleston AFB",2,NA,NA,NA,NA,NA,2,NA,"Standard",11913944.1967773,24288.6902885494
"27",27,"29405","North Charleston",41,NA,NA,NA,NA,NA,41,NA,"Standard",49890511.2523193,48438.7398761433
"28",28,"29406","Charleston",30,NA,NA,NA,NA,NA,30,NA,"Standard",36723178.5084229,52880.4336972743
"29",29,"29407","Charleston",43,NA,NA,NA,NA,NA,43,NA,"Standard",47047902.885498,36133.0078990052
"30",30,"29412","Charleston",44,NA,NA,NA,NA,NA,44,NA,"Standard",133961166.28186,68034.8466581456
"31",31,"29429","Awendaw",6,NA,NA,NA,NA,NA,6,NA,"Standard",262910400.408447,112219.961419223
"32",32,"29431","Bonneau",0,NA,NA,NA,NA,NA,0,NA,"Standard",188344113.395264,132625.227158645
"33",33,"29435","Cottageville",3,NA,NA,NA,NA,NA,3,NA,"Standard",191189700.164551,95901.8714225308
"34",34,"29437","Dorchester",1,NA,NA,NA,NA,NA,1,NA,"Standard",215232747.573853,115068.958906366
"35",35,"29446","Green Pond",1,NA,NA,NA,NA,NA,1,NA,"Standard",655077374.368774,183392.559070577
"36",36,"29448","Harleyville",2,NA,NA,NA,NA,NA,2,NA,"Standard",137043629.612183,93661.3738716449
"37",37,"29449","Hollywood",11,NA,NA,NA,NA,NA,11,NA,"Standard",217798994.645264,112674.505762793
"38",38,"29451","Isle of Palms",8,NA,NA,NA,NA,NA,7,NA,"Standard",24292937.5871582,66349.273997432
"39",39,"29453","Jamestown",1,NA,NA,NA,NA,NA,1,NA,"Standard",382087748.758545,120808.656009235
"40",40,"29455","Johns Island",15,NA,NA,NA,NA,NA,15,NA,"Standard",313477004.133667,146139.585128998
"41",41,"29458","Mc Clellanville",3,NA,NA,NA,NA,NA,3,NA,"Standard",451398295.862793,355992.142428431
"42",42,"29461","Moncks Corner",72,NA,NA,NA,NA,NA,71,NA,"Standard",410269519.619019,146850.27908062
"43",43,"29464","Mount Pleasant",67,NA,NA,NA,NA,NA,67,NA,"Standard",86688698.1159668,69017.8903020541
"44",44,"29468","Pineville",2,NA,NA,NA,NA,NA,2,NA,"Standard",122984647.650879,132830.210922303
"45",45,"29469","Pinopolis",0,NA,NA,NA,NA,NA,0,NA,"Standard",78055452.5809326,92964.3310687085
"46",46,"29474","Round O",0,NA,NA,NA,NA,NA,0,NA,"Standard",248800936.916992,130296.681317493
"47",47,"29475","Ruffin",3,NA,NA,NA,NA,NA,3,NA,"Standard",266994287.113892,120326.696686848
"48",48,"29479","Saint Stephen",11,NA,NA,NA,NA,NA,11,NA,"Standard",330852133.844604,167466.190763485
"49",49,"29482","Sullivans Island",7,NA,NA,NA,NA,NA,7,NA,"Standard",7077171.14794922,19247.2712525712
"50",50,"29486","Summerville",12,NA,NA,NA,NA,NA,12,NA,"Standard",149818621.998657,81250.8806968012
"51",51,"29487","Wadmalaw Island",5,NA,NA,NA,NA,NA,5,NA,"Standard",130826189.990356,57854.115964431
"52",52,"29488","Walterboro",37,NA,NA,NA,NA,NA,38,NA,"Standard",654641514.702759,191511.03860185
"53",53,"29492","Charleston",11,NA,NA,NA,NA,NA,11,NA,"Standard",151793813.798584,89109.575244774
"54",54,"29505","Florence",81,NA,NA,NA,NA,NA,81,NA,"Standard",126361009.508057,97211.3612384696
"55",55,"29511","Aynor",7,NA,NA,NA,NA,NA,7,NA,"Standard",150955779.400146,81886.75974677
"56",56,"29512","Bennettsville",57,NA,NA,NA,NA,NA,57,NA,"Standard",533262071.971436,171922.503360678
"57",57,"29516","Blenheim",6,NA,NA,NA,NA,NA,6,NA,"Standard",256121704.020508,104354.155727894
"58",58,"29520","Cheraw",48,NA,NA,NA,NA,NA,49,NA,"Standard",369074662.126953,115822.139613549
"59",59,"29526","Conway",30,NA,NA,NA,NA,NA,30,NA,"Standard",429485702.519775,153017.016868074
"60",60,"29527","Conway",32,NA,NA,NA,NA,NA,33,NA,"Standard",413244939.958496,129569.295614903
"61",61,"29530","Coward",11,NA,NA,NA,NA,NA,11,NA,"Standard",95354177.8493652,76645.4292679511
"62",62,"29532","Darlington",92,NA,NA,NA,NA,NA,96,NA,"Standard",290776325.145752,148574.534211262
"63",63,"29536","Dillon",73,NA,NA,NA,NA,NA,77,NA,"Standard",321688509.612549,175987.497050275
"64",64,"29540","Darlington",18,NA,NA,NA,NA,NA,18,NA,"Standard",222217113.556152,98868.340730527
"65",65,"29541","Effingham",32,NA,NA,NA,NA,NA,32,NA,"Standard",189198927.532715,146038.916855212
"66",66,"29544","Galivants Ferry",4,NA,NA,NA,NA,NA,5,NA,"Standard",301256615.659668,145124.026929128
"67",67,"29545","Green Sea",3,NA,NA,NA,NA,NA,3,NA,"Standard",91415530.1965332,55221.4896853341
"68",68,"29546","Gresham",4,NA,NA,NA,NA,NA,4,NA,"Standard",363104195.099121,155651.260332476
"69",69,"29547","Hamer",7,NA,NA,NA,NA,NA,7,NA,"Standard",110291426.1604,83104.6714325757
"70",70,"29580","Nesmith",9,NA,NA,NA,NA,NA,9,NA,"Standard",209515498.053467,98369.3687835482
"71",71,"29556","Kingstree",113,NA,NA,NA,NA,NA,114,NA,"Standard",556926042.220459,204244.930781179
"72",72,"29563","Lake View",13,NA,NA,NA,NA,NA,14,NA,"Standard",96131297.1821289,58339.7640577485
"73",73,"29564","Lane",3,NA,NA,NA,NA,NA,3,NA,"Standard",224804536.665527,112261.729892301
"74",74,"29566","Little River",14,NA,NA,NA,NA,NA,15,NA,"Standard",82297607.3115234,53977.6056652617
"75",75,"29567","Little Rock",4,NA,NA,NA,NA,NA,4,NA,"Standard",50061763.9726563,49536.7839641936
"76",76,"29568","Longs",24,NA,NA,NA,NA,NA,24,NA,"Standard",278198254.748535,126915.842033219
"77",77,"29569","Loris",34,NA,NA,NA,NA,NA,35,NA,"Standard",441595496.526367,118876.482448735
"78",78,"29570","Mc Coll",3,NA,NA,NA,NA,NA,3,NA,"Standard",130109440.135254,76213.9638738519
"79",79,"29572","Myrtle Beach",6,NA,NA,NA,NA,NA,6,NA,"Standard",23471524.7290039,29374.3926927679
"80",80,"29575","Myrtle Beach",13,NA,NA,NA,NA,NA,14,NA,"Standard",25409480.2209473,28441.6841019412
"81",81,"29577","Myrtle Beach",30,NA,NA,NA,NA,NA,30,NA,"Standard",58874419.690918,41028.5100666639
"82",82,"29579","Myrtle Beach",23,NA,NA,NA,NA,NA,23,NA,"Standard",109931353.154297,71749.4824627136
"83",83,"29582","North Myrtle Beach",8,NA,NA,NA,NA,NA,9,NA,"Standard",61906924.6589355,56173.0425598628
"84",84,"29583","Pamplico",19,NA,NA,NA,NA,NA,19,NA,"Standard",299655586.792236,107470.680156712
"85",85,"29584","Patrick",2,NA,NA,NA,NA,NA,2,NA,"Standard",240322198.056763,131333.049520795
"86",86,"29585","Pawleys Island",14,NA,NA,NA,NA,NA,14,NA,"Standard",82316762.0959473,85245.5851682451
"87",87,"29588","Myrtle Beach",36,NA,NA,NA,NA,NA,36,NA,"Standard",140068665.408447,102586.491509319
"88",88,"29590","Salters",10,NA,NA,NA,NA,NA,10,NA,"Standard",205318763.171631,105535.371292386
"89",89,"29591","Scranton",26,NA,NA,NA,NA,NA,26,NA,"Standard",174084411.466797,150000.689798874
"90",90,"29596","Wallace",2,NA,NA,NA,NA,NA,2,NA,"Standard",189197615.307861,97011.4633872393
"91",91,"29601","Greenville",34,NA,NA,NA,NA,NA,34,NA,"Standard",11485871.0211182,23792.1781617392
"92",92,"29605","Greenville",89,NA,NA,NA,NA,NA,92,NA,"Standard",65212637.9920654,57604.2406535068
"93",93,"29607","Greenville",54,NA,NA,NA,NA,NA,55,NA,"Standard",72209637.2722168,82740.5795884934
"94",94,"29709","Chesterfield",10,NA,NA,NA,NA,NA,10,NA,"Standard",258500527.985107,93866.9288012542
"95",95,"29609","Greenville",97,NA,NA,NA,NA,NA,99,NA,"Standard",62677123.9960938,59881.5481945521
"96",96,"29615","Greenville",54,NA,NA,NA,NA,NA,55,NA,"Standard",50432221.3151855,47608.3117700651
"97",97,"29621","Anderson",49,NA,NA,NA,NA,NA,49,NA,"Standard",228372160.694702,151943.952091147
"98",98,"29624","Anderson",22,NA,NA,NA,NA,NA,22,NA,"Standard",73256739.12146,58740.49483727
"99",99,"29625","Anderson",26,NA,NA,NA,NA,NA,26,NA,"Standard",143151367.71521,72754.0365287611
"100",100,"29626","Anderson",8,NA,NA,NA,NA,NA,8,NA,"Standard",174331519.433716,84969.0597982484
"101",101,"29639","Due West",1,NA,NA,NA,NA,NA,1,NA,"Standard",55380685.4075928,56690.3092690297
"102",102,"29645","Gray Court",16,NA,NA,NA,NA,NA,16,NA,"Standard",279227808.980469,111226.791749222
"103",103,"29150","Sumter",101,NA,NA,NA,NA,NA,101,NA,"Standard",111141709.66626,91833.6331491105
"104",104,"29152","Shaw AFB",3,NA,NA,NA,NA,NA,3,NA,"Standard",12807191.5457764,19464.205614901
"105",105,"29154","Sumter",93,NA,NA,NA,NA,NA,100,NA,"Standard",200138169.182251,135388.501691939
"106",106,"29163","Vance",9,NA,NA,NA,NA,NA,9,NA,"Standard",72685435.2401123,76363.4612321984
"107",107,"29164","Wagener",6,NA,NA,NA,NA,NA,7,NA,"Standard",271584835.652588,120592.218623704
