"","Report.Date","ZIP.Code","Number.of.Cases","Number.of.PCR.Testing.Encounters"
"175","5/18/2020","22645","15",27
"176","5/18/2020","22646","0",3
"177","5/18/2020","22650","Suppressed*",12
"178","5/18/2020","22652","Suppressed*",14
"179","5/18/2020","22654","Suppressed*",5
"180","5/18/2020","22655","56",109
"181","5/18/2020","22656","7",33
"182","5/18/2020","22657","28",86
"183","5/18/2020","22660","7",10
"184","5/18/2020","22663","Suppressed*",4
"185","5/18/2020","22664","102",119
"186","5/18/2020","22701","333",827
"187","5/18/2020","22709","0",16
"188","5/18/2020","22711","0",1
"189","5/18/2020","22712","59",247
"190","5/18/2020","22713","5",21
"191","5/18/2020","22714","6",25
"192","5/18/2020","22715","Suppressed*",15
"193","5/18/2020","22716","Suppressed*",9
"194","5/18/2020","22718","Suppressed*",11
"195","5/18/2020","22719","0",4
"196","5/18/2020","22720","0",9
"197","5/18/2020","22723","0",3
"198","5/18/2020","22724","6",34
"199","5/18/2020","22726","Suppressed*",14
"200","5/18/2020","22727","15",114
"201","5/18/2020","22728","Suppressed*",46
"202","5/18/2020","22729","0",7
"203","5/18/2020","22730","0",1
"204","5/18/2020","22731","0",3
"205","5/18/2020","22732","Suppressed*",7
"206","5/18/2020","22733","6",31
"207","5/18/2020","22734","16",81
"208","5/18/2020","22735","Suppressed*",27
"209","5/18/2020","22736","Suppressed*",9
"210","5/18/2020","22737","Suppressed*",37
"211","5/18/2020","22738","Suppressed*",24
"212","5/18/2020","22740","Suppressed*",20
"213","5/18/2020","22741","0",5
"214","5/18/2020","22742","9",39
"215","5/18/2020","22743","0",1
"216","5/18/2020","22747","0",13
"217","5/18/2020","22749","0",4
"218","5/18/2020","22801","447",957
"219","5/18/2020","22802","370",906
"220","5/18/2020","22807","Suppressed*",2
"221","5/18/2020","22810","Suppressed*",11
"222","5/18/2020","22811","Suppressed*",15
"223","5/18/2020","22812","13",156
"224","5/18/2020","22815","49",170
"225","5/18/2020","22820","0",1
"226","5/18/2020","22821","16",83
"227","5/18/2020","22824","47",59
"228","5/18/2020","22827","37",230
"229","5/18/2020","22830","14",36
"230","5/18/2020","22831","Suppressed*",11
"231","5/18/2020","22832","Suppressed*",17
"232","5/18/2020","22834","Suppressed*",18
"233","5/18/2020","22835","100",230
"234","5/18/2020","22840","Suppressed*",65
"235","5/18/2020","22841","8",46
"236","5/18/2020","22842","49",89
"237","5/18/2020","22843","Suppressed*",28
"238","5/18/2020","22844","28",91
"239","5/18/2020","22845","0",1
"240","5/18/2020","22846","6",45
"241","5/18/2020","22847","Suppressed*",11
"242","5/18/2020","22849","11",88
"243","5/18/2020","22850","5",24
"244","5/18/2020","22851","44",105
"245","5/18/2020","22853","38",114
"246","5/18/2020","22901","91",993
"247","5/18/2020","22902","29",593
"248","5/18/2020","22903","42",712
"249","5/18/2020","22904","0",6
"250","5/18/2020","22911","16",427
"251","5/18/2020","22920","Suppressed*",43
"252","5/18/2020","22922","Suppressed*",40
"253","5/18/2020","22923","6",98
"254","5/18/2020","22931","0",9
"255","5/18/2020","22932","13",177
"256","5/18/2020","22935","Suppressed*",23
"257","5/18/2020","22936","Suppressed*",92
"258","5/18/2020","22937","Suppressed*",38
"259","5/18/2020","22938","Suppressed*",21
"260","5/18/2020","22939","Suppressed*",64
