zip,cases,rate,tests,positive
46324,7,31.76187667,97,7.216494845
53142,8,24.29469465,117,6.837606838
60002,66,274.245824,474,13.92405063
60004,192,377.0990867,2086,9.2042186
60005,98,331.7647855,596,16.44295302
60007,144,430.8797127,710,20.28169014
60008,169,774.0576192,762,22.17847769
60010,59,128.0187472,588,10.03401361
60012,63,574.9224311,193,32.64248705
60013,55,212.9554342,327,16.81957187
60014,108,222.9424272,790,13.67088608
60015,127,462.6256739,704,18.03977273
60016,739,1239.163606,2297,32.17239878
60018,321,1056.407556,1026,31.28654971
60020,22,223.873003,215,10.23255814
60021,10,180.2451334,81,12.34567901
60022,23,271.3224018,214,10.74766355
60025,238,580.2896572,1256,18.94904459
60026,96,679.9830004,434,22.11981567
60030,103,279.7620664,712,14.46629213
60031,195,524.5883999,972,20.0617284
60033,82,599.371391,311,26.36655949
60035,171,575.099213,955,17.90575916
60040,62,1155.423034,183,33.87978142
60041,26,292.2333371,170,15.29411765
60042,19,225.6532067,118,16.10169492
60043,14,557.3248408,96,14.58333333
60044,64,639.8080576,324,19.75308642
60045,97,459.0412191,564,17.19858156
60046,119,337.2442328,639,18.6228482
60047,114,267.3734081,574,19.86062718
60048,78,268.4286599,513,15.20467836
60050,121,369.6688256,627,19.29824561
60051,64,274.7016911,432,14.81481481
60053,190,816.9934641,810,23.45679012
60056,382,691.4027149,1415,26.99646643
60060,257,690.7116749,849,30.27090695
60061,107,396.2375944,497,21.52917505
60062,225,556.1185398,1369,16.43535427
60064,405,2578.796562,765,52.94117647
60067,96,251.4603033,668,14.37125749
60068,196,519.3979224,918,21.35076253
60069,46,561.935011,223,20.62780269
60070,124,772.633809,432,28.7037037
60071,7,195.476124,61,11.47540984
60073,457,740.6086928,1474,31.00407056
60074,215,544.607123,913,23.54874042
60076,328,1029.277936,1513,21.67878387
60077,273,963.6767976,1257,21.71837709
60079,9,NA,23,39.13043478
60081,31,320.9109731,157,19.74522293
60083,65,650.6506507,237,27.42616034
60084,108,650.1324344,277,38.98916968
60085,1522,2148.200423,3087,49.30353094
60087,399,1495.614364,1052,37.92775665
60088,38,300.1105671,77,49.35064935
60089,146,352.7251643,752,19.41489362
60090,377,979.8315833,1207,31.23446562
60091,112,409.2520189,816,13.7254902
60093,107,550.3832107,648,16.51234568
60096,21,308.6873438,124,16.93548387
60097,26,240.1625716,208,12.5
60098,204,627.1905552,733,27.8308322
60099,320,1034.460464,952,33.61344538
60101,421,1073.541412,1298,32.43451464
60102,75,229.084578,495,15.15151515
60103,140,331.7850033,820,17.07317073
60104,288,1515.869256,992,29.03225806
60106,323,1578.535823,1070,30.18691589
60107,299,739.4218167,1092,27.38095238
60108,148,650.0922428,1147,12.90322581
60109,11,1936.619718,270,4.074074074
60110,295,750.006356,774,38.11369509
60112,15,344.3526171,87,17.24137931
60115,66,145.6150028,678,9.734513274
60118,40,252.5890376,228,17.54385965
60119,17,165.9184072,177,9.604519774
60120,567,1113.467656,1346,42.12481426
60123,344,702.7292041,1115,30.85201794
60124,45,201.4504432,310,14.51612903
60126,166,342.9043586,1152,14.40972222
60130,81,576.8819885,593,13.65935919
60131,214,1187.239945,790,27.08860759
60133,383,997.3958333,1228,31.18892508
60134,84,285.7045679,441,19.04761905
60135,19,275.1230814,128,14.84375
60136,28,361.6636528,129,21.70542636
60137,86,224.6662661,705,12.19858156
60139,316,919.5669887,1110,28.46846847
60140,46,260.7857588,318,14.46540881
60141,7,3240.740741,194,3.608247423
60142,49,174.247004,529,9.262759924
60143,100,909.4216079,454,22.02643172
60146,6,225.9887006,27,22.22222222
60148,170,320.9787965,1139,14.92537313
60152,38,307.8169299,201,18.90547264
60153,299,1255.774885,1233,24.24979724
60154,132,796.4761962,751,17.57656458
60155,120,1532.762805,391,30.69053708
60156,73,252.7175795,475,15.36842105
60157,6,239.8081535,44,13.63636364
60160,410,1613.410987,1282,31.98127925
60162,99,1212.492345,409,24.20537897
60163,56,1085.061035,217,25.80645161
60164,300,1388.888889,1388,21.61383285
60165,117,2376.599634,259,45.17374517
60169,223,662.3696795,796,28.01507538
60171,65,640.5202996,379,17.15039578
60172,138,562.0952303,579,23.83419689
60173,45,370.0049334,205,21.95121951
60174,81,257.9207133,902,8.980044346
60175,41,159.3222973,431,9.512761021
60176,87,743.3356118,385,22.5974026
60177,157,679.3889826,478,32.84518828
60178,22,98.15731941,308,7.142857143
60181,151,524.2873511,727,20.77028886
60185,351,971.5187246,1120,31.33928571
60187,73,245.7250572,624,11.69871795
60188,278,652.5515234,1155,24.06926407
60189,55,180.7605088,539,10.20408163
60190,23,206.4076102,334,6.886227545
60191,104,735.1381918,412,25.24271845
60192,31,198.0830671,250,12.4
60193,133,330.4512025,743,17.90040377
60194,74,390.5837644,418,17.70334928
60195,9,161.637931,70,12.85714286
60201,234,553.2438056,1578,14.82889734
60202,242,736.435288,1373,17.62563729
60203,21,501.4326648,149,14.09395973
60301,17,670.3470032,101,16.83168317
60302,145,452.4463305,1092,13.27838828
60304,57,323.1109348,528,10.79545455
60305,35,316.3412871,327,10.70336391
60401,32,411.3639285,249,12.85140562
60402,822,1293.3883,3132,26.24521073
60403,118,646.4336584,703,16.78520626
60404,76,404.3413492,581,13.08089501
60406,281,1112.606905,1154,24.35008666
60408,12,212.4269782,107,11.21495327
60409,386,1044.513598,1881,20.52099947
60410,27,211.0859198,296,9.121621622
60411,631,1091.695502,2998,21.04736491
60415,138,968.1492914,474,29.11392405
60417,107,702.7914614,615,17.39837398
60418,68,NA,288,23.61111111
60419,253,1117.293764,1317,19.2103265
60421,6,156.128025,75,8
60422,66,675.6756757,456,14.47368421
60423,103,332.9239123,687,14.99272198
60425,95,1065.978456,600,15.83333333
60426,316,1092.518324,1597,19.78710081
60428,149,1214.244968,846,17.61229314
60429,174,1130.824722,1128,15.42553191
60430,210,1038.216246,1003,20.93718843
60431,120,516.8181231,859,13.96973225
60432,175,865.3941252,704,24.85795455
60433,167,1004.269649,617,27.06645057
60434,134,NA,88,152.2727273
60435,438,878.4068347,2157,20.30598053
60436,121,638.6909475,732,16.53005464
60438,241,832.1823204,1206,19.98341625
60439,61,260.4389036,513,11.89083821
60440,555,1062.28228,2176,25.50551471
60441,137,386.8417337,806,16.99751861
60442,30,284.8732314,211,14.21800948
60443,271,1257.307228,1257,21.5592681
