"","Num_WkEnd_May2","OBJECTID","ZipCode","Cases","created_user","created_date","last_edited_user","last_edited_date","Num_Males","Num_Females","Num_CommunityExp","Num_ContactExp","Num_TravelExp","Num_UnknownExp","Num_Hospitalized","Num_NotHospitalized","Num_0_to_4","Num_5_to_24","Num_25_to_49","Num_50_to_64","Num_65_plus","Num_Fatalities","Num_HospitalizedUnk","Num_WkEnd_Mar7","Num_WkEnd_Mar14","Num_WkEnd_Mar21","Num_WkEnd_Mar28","Num_WkEnd_Apr4","Num_WkEnd_Apr11","Num_WkEnd_Apr18","Num_WkEnd_Apr25","Num_WkEnd_May9","Num_WkEnd_May16","Num_WkEnd_May23","Num_WkEnd_May30","Num_WkEnd_Jun6","Num_WkEnd_Jun13","Num_WkEnd_Jun20","Num_WkEnd_Jun27","Num_WkEnd_Jul4","Num_WkEnd_Jul11","Num_WkEnd_Jul18","Num_WkEnd_Jul25","Num_WkEnd_Aug1","Num_WkTot_Mar7","Num_WkTot_Mar14","Num_WkTot_Mar21","Num_WkTot_Mar28","Num_WkTot_Apr4","Num_WkTot_Apr11","Num_WkTot_Apr18","Num_WkTot_Apr25","Num_WkTot_May2","Num_WkTot_May9","Num_WkTot_May16","Num_WkTot_May23","Num_WkTot_May30","Num_WkTot_Jun6","Num_WkTot_Jun13","Num_WkTot_Jun20","Num_WkTot_Jun27","Num_WkTot_Jul4","Num_WkTot_Jul11","Num_WkTot_Jul18","Num_WkTot_Jul25","Num_WkTot_Aug1","NNum_0_to_4","Num_Black","Num_White","Num_Hispanic","Num_Asian","Num_Other","Num_Recovered","Num_Native","pop_2019","Num_GenderUnk","Num_AgeUnk","Num_RaceUnk","Shape__Area","Shape__Length"
"1",0,1,"68106",36,"CJCarsley",1585169181502,"CJCARSLEY",1589714032265,15,20,12,16,0,8,2,32,0,5,18,9,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",1,11,20,3,0,8,0,21849,1,1,1,138437622.662598,62324.2745590938
"2",0,2,"68112",41,"CJCarsley",1585169181502,"CJCARSLEY",1589714032265,16,24,11,20,0,10,7,28,0,9,10,11,10,0,6,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",11,9,10,6,0,6,0,11921,1,1,5,391026400.146851,131345.693641033
"3",0,3,"68102",14,"CJCarsley",1585169181502,"CJCARSLEY",1589714032265,4,9,4,7,2,1,1,13,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",1,10,2,0,1,6,1,8077,1,0,0,53902738.80896,48074.446862707
"4",0,4,"68122",78,"CJCarsley",1585169181502,"CJCARSLEY",1589714032265,39,37,26,32,2,16,4,72,1,9,44,22,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",12,5,8,46,0,11,0,11400,2,2,7,536133838.207031,130542.811171164
"5",0,5,"68182",0,"CJCarsley",1585169181502,"CJCARSLEY",1589714032265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",0,0,0,0,0,0,0,965,0,0,0,11269516.8033447,19217.36814021
"6",0,6,"68117",54,"CJCarsley",1585169181502,"CJCARSLEY",1589714032265,32,22,16,26,0,11,5,48,1,8,29,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",0,3,47,0,0,7,0,8599,0,4,4,129063490.253784,47326.9521603266
"7",0,7,"68007",10,"CJCarsley",1585169181502,"CJCARSLEY",1589714032265,5,5,3,6,0,0,0,10,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",1,7,0,2,0,4,0,11606,0,0,0,1155393976.28955,215703.086944591
"8",0,8,"68110",77,"CJCarsley",1585169181502,"CJCARSLEY",1589714032265,42,31,29,34,0,12,5,69,1,7,36,27,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",22,9,19,23,0,11,0,9001,4,1,4,260113513.602173,102615.9434477
"9",0,9,"68134",84,"CJCarsley",1585169181502,"CJCARSLEY",1589714032265,41,39,28,40,4,11,10,70,0,15,48,14,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",19,16,20,23,0,23,0,29404,4,1,6,225447921.515869,79735.861037646
"10",0,10,"68064",2,"CJCarsley",1585169181502,"CJCARSLEY",1589714032265,0,2,0,2,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",0,2,0,0,0,0,0,3834,0,0,0,1499218203.85571,211833.045151153
"11",0,11,"68127",66,"CJCarsley",1585169181502,"CJCARSLEY",1589714032266,38,24,21,30,1,10,5,60,0,12,30,17,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",0,24,33,4,1,14,0,22712,4,0,4,177325024.749023,54117.768108244
"12",0,12,"68111",153,"CJCarsley",1585169181502,"CJCARSLEY",1589714032266,75,74,58,62,1,23,19,123,3,27,91,25,6,1,11,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",39,6,42,54,2,32,0,25746,4,1,10,150132882.539673,58098.3815657644
"13",0,13,"68132",50,"CJCarsley",1585169181502,"CJCARSLEY",1589714032266,31,18,15,23,3,8,5,42,1,8,25,7,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",13,14,10,8,0,19,0,13393,1,0,5,70058657.3757324,40749.9925784842
"14",0,14,"68114",40,"CJCarsley",1585169181502,"CJCARSLEY",1589714032266,24,16,18,12,2,7,2,35,2,5,23,7,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",6,8,24,1,0,6,0,18181,0,1,1,161143634.399902,57599.8671037492
"15",0,15,"68131",46,"CJCarsley",1585169181502,"CJCARSLEY",1589714032266,21,23,12,18,4,9,2,43,1,3,27,12,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",8,13,12,9,0,14,0,12980,2,1,4,54520988.4638672,37341.8836446383
"16",0,16,"68010",0,"CJCarsley",1585169181502,"CJCARSLEY",1589714032266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",0,0,0,0,0,0,0,759,0,0,0,28614433.8431396,23612.2782857318
"17",0,17,"68130",19,"CJCarsley",1585169181502,"CJCARSLEY",1589714032266,12,7,8,9,2,0,1,18,1,3,8,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",1,13,2,1,0,10,0,21088,0,0,2,223562973.974121,72745.3939257641
