"","Town_No","Town","LastUpdateDate","ConfirmedCases","Deaths","CaseRate","PeopleTested"
"1",1,"Andover","2020-05-20",10,0,310,61
"2",2,"Ansonia","2020-05-20",243,5,1298,923
"3",3,"Ashford","2020-05-20",14,0,329,93
"4",4,"Avon","2020-05-20",104,16,568,448
"5",5,"Barkhamsted","2020-05-20",24,0,662,86
"6",6,"Beacon Falls","2020-05-20",45,0,728,212
"7",7,"Berlin","2020-05-20",135,16,661,593
"8",8,"Bethany","2020-05-20",30,0,548,211
"9",9,"Bethel","2020-05-20",224,23,1136,1034
"10",10,"Bethlehem","2020-05-20",9,1,263,88
"11",11,"Bloomfield","2020-05-20",431,73,2023,1010
"12",12,"Bolton","2020-05-20",19,3,389,94
"13",13,"Bozrah","2020-05-20",8,0,315,76
"14",14,"Branford","2020-05-20",312,38,1114,1448
"15",15,"Bridgeport","2020-05-20",3042,136,2099,8619
"16",16,"Bridgewater","2020-05-20",6,0,366,61
"17",17,"Bristol","2020-05-20",512,63,853,2153
"18",18,"Brookfield","2020-05-20",150,7,882,829
"19",19,"Brooklyn","2020-05-20",18,0,217,206
"20",20,"Burlington","2020-05-20",21,1,217,203
"21",21,"Canaan","2020-05-20",0,0,0,19
"22",22,"Canterbury","2020-05-20",11,0,216,126
"23",23,"Canton","2020-05-20",77,23,750,240
"24",24,"Chaplin","2020-05-20",3,0,133,57
"25",25,"Cheshire","2020-05-20",169,21,579,914
"26",26,"Chester","2020-05-20",45,12,1064,129
"27",27,"Clinton","2020-05-20",49,2,378,399
"28",28,"Colchester","2020-05-20",32,1,201,519
"29",29,"Colebrook","2020-05-20",2,0,142,23
"30",30,"Columbia","2020-05-20",17,0,316,117
"31",31,"Cornwall","2020-05-20",4,0,292,51
"32",32,"Coventry","2020-05-20",35,1,282,255
"33",33,"Cromwell","2020-05-20",97,19,698,433
"34",34,"Danbury","2020-05-20",1634,105,1928,4847
"35",35,"Darien","2020-05-20",199,6,915,927
"36",36,"Deep River","2020-05-20",8,0,179,110
"37",37,"Derby","2020-05-20",136,2,1087,642
"38",38,"Durham","2020-05-20",29,2,403,214
"39",40,"East Granby","2020-05-20",8,0,155,81
"40",41,"East Haddam","2020-05-20",12,1,134,173
"41",42,"East Hampton","2020-05-20",41,4,319,315
"42",43,"East Hartford","2020-05-20",704,81,1408,1944
"43",44,"East Haven","2020-05-20",373,33,1300,1672
"44",45,"East Lyme","2020-05-20",124,18,665,801
"45",47,"East Windsor","2020-05-20",138,22,1213,425
"46",39,"Eastford","2020-05-20",8,0,447,36
"47",46,"Easton","2020-05-20",31,2,412,237
"48",48,"Ellington","2020-05-20",53,4,325,334
"49",49,"Enfield","2020-05-20",403,24,906,1342
"50",50,"Essex","2020-05-20",20,1,300,170
"51",51,"Fairfield","2020-05-20",542,100,875,1985
"52",52,"Farmington","2020-05-20",188,31,737,701
"53",53,"Franklin","2020-05-20",3,0,155,50
"54",54,"Glastonbury","2020-05-20",252,69,731,1008
"55",55,"Goshen","2020-05-20",8,0,278,86
"56",56,"Granby","2020-05-20",19,1,167,206
"57",57,"Greenwich","2020-05-20",760,45,1212,2591
"58",58,"Griswold","2020-05-20",20,2,173,362
"59",59,"Groton","2020-05-20",105,19,271,1465
"60",60,"Guilford","2020-05-20",93,10,419,685
"61",61,"Haddam","2020-05-20",26,1,316,189
"62",62,"Hamden","2020-05-20",886,94,1454,3263
"63",63,"Hampton","2020-05-20",1,0,54,48
"64",64,"Hartford","2020-05-20",2028,141,1654,5025
"65",65,"Hartland","2020-05-20",6,0,283,26
"66",66,"Harwinton","2020-05-20",27,2,497,144
"67",67,"Hebron","2020-05-20",20,2,211,193
"68",68,"Kent","2020-05-20",7,0,251,84
"69",69,"Killingly","2020-05-20",25,0,145,512
"70",70,"Killingworth","2020-05-20",12,3,188,173
"71",71,"Lebanon","2020-05-20",23,1,319,169
"72",72,"Ledyard","2020-05-20",19,1,129,699
"73",73,"Lisbon","2020-05-20",5,0,118,109
"74",74,"Litchfield","2020-05-20",35,3,431,253
"75",75,"Lyme","2020-05-20",3,0,128,49
"76",76,"Madison","2020-05-20",129,19,712,630
"77",77,"Manchester","2020-05-20",566,64,981,2010
"78",78,"Mansfield","2020-05-20",27,2,105,219
"79",79,"Marlborough","2020-05-20",50,2,786,182
"80",80,"Meriden","2020-05-20",681,56,1144,2719
"81",81,"Middlebury","2020-05-20",43,3,556,230
"82",82,"Middlefield","2020-05-20",15,0,342,116
"83",83,"Middletown","2020-05-20",501,71,1086,1893
"84",84,"Milford","2020-05-20",587,68,1074,2453
"85",85,"Monroe","2020-05-20",105,6,539,584
"86",86,"Montville","2020-05-20",107,0,572,716
"87",87,"Morris","2020-05-20",15,0,663,58
"88",88,"Naugatuck","2020-05-20",340,23,1087,1285
"89",89,"New Britain","2020-05-20",815,69,1125,2712
"90",90,"New Canaan","2020-05-20",164,29,811,874
"91",91,"New Fairfield","2020-05-20",106,2,764,562
"92",92,"New Hartford","2020-05-20",23,2,344,134
"93",93,"New Haven","2020-05-20",2260,90,1733,8457
"94",95,"New London","2020-05-20",136,3,505,1089
"95",96,"New Milford","2020-05-20",254,20,942,1299
"96",94,"Newington","2020-05-20",327,46,1086,1204
"97",97,"Newtown","2020-05-20",201,21,724,1199
"98",98,"Norfolk","2020-05-20",9,0,549,29
"99",99,"North Branford","2020-05-20",79,4,558,492
"100",100,"North Canaan","2020-05-20",5,1,154,69
