zip,cases,rate,tests,positive
53142,7,21.25785782,58,12.06896552
60002,48,199.4515084,310,15.48387097
60004,81,159.0886772,945,8.571428571
60005,55,186.1945225,342,16.08187135
60007,86,257.3309396,394,21.82741117
60008,79,361.8375853,270,29.25925926
60010,39,84.62256168,296,13.17567568
60012,38,346.7786092,109,34.86238532
60013,39,151.0047625,176,22.15909091
60014,66,136.2425944,398,16.58291457
60015,91,331.4876876,492,18.49593496
60016,478,801.5158375,1374,34.78893741
60018,189,621.9969723,602,31.39534884
60020,15,152.6406838,114,13.15789474
60021,6,108.14708,53,11.32075472
60022,17,200.5426448,151,11.25827815
60025,176,429.1217633,860,20.46511628
60026,78,552.4861878,300,26
60030,56,152.1036478,421,13.30166271
60031,118,317.4432368,566,20.84805654
60033,39,285.0668811,151,25.82781457
60035,138,464.1151544,651,21.19815668
60040,36,670.8907939,99,36.36363636
60041,16,179.8358997,90,17.77777778
60042,7,83.13539192,62,11.29032258
60043,14,557.3248408,69,20.28985507
60044,42,419.8740378,211,19.90521327
60045,83,392.7878472,365,22.73972603
60046,66,187.0430199,417,15.82733813
60047,60,140.7228464,299,20.06688963
60048,53,182.393833,308,17.20779221
60050,80,244.4091409,317,25.23659306
60051,31,133.0586316,231,13.41991342
60053,123,528.8957688,548,22.44525547
60056,209,378.280543,844,24.76303318
60060,120,322.5112879,435,27.5862069
60061,61,225.8924604,297,20.53872054
60062,123,304.0114684,734,16.75749319
60064,241,1534.543139,456,52.85087719
60067,49,128.3495298,372,13.17204301
60068,140,370.998516,632,22.15189873
60069,26,317.615441,148,17.56756757
60070,66,411.2405757,241,27.38589212
60073,201,325.7381778,726,27.68595041
60074,108,273.5700897,433,24.94226328
60076,231,724.887815,1058,21.83364839
60077,187,660.1009566,823,22.7217497
60081,23,238.0952381,91,25.27472527
60083,36,360.3603604,136,26.47058824
60084,76,457.500602,144,52.77777778
60085,822,1160.197601,1552,52.96391753
60087,217,813.4043032,495,43.83838384
60088,21,165.8505765,52,40.38461538
60089,91,219.8492462,473,19.23890063
60090,191,496.4133486,671,28.46497765
60091,87,317.9011218,541,16.08133087
60093,94,483.5142225,434,21.65898618
60096,14,205.7915625,81,17.28395062
60097,18,166.2663957,115,15.65217391
60098,103,316.6697411,376,27.39361702
60099,213,688.5627465,523,40.72657744
60101,233,594.1452468,691,33.71924747
60102,41,125.2329027,243,16.87242798
60103,73,173.0021803,404,18.06930693
60104,201,1057.950418,599,33.55592654
60106,179,874.7922979,486,36.83127572
60107,163,403.0961743,502,32.47011952
60108,71,311.8685759,458,15.50218341
60110,109,277.1209926,297,36.7003367
60112,9,206.6115702,36,25
60115,34,75.0137893,313,10.86261981
60118,22,138.9239707,109,20.18348624
60119,11,107.3589694,94,11.70212766
60120,174,341.6990692,439,39.63553531
60123,121,247.1809119,434,27.88018433
60124,18,80.58017728,151,11.9205298
60126,121,249.9483578,648,18.67283951
60130,58,413.0759917,362,16.02209945
60131,106,588.0721221,434,24.42396313
60133,188,489.5833333,505,37.22772277
60134,42,142.8522839,244,17.21311475
60135,6,86.88097307,55,10.90909091
60136,16,206.6649445,70,22.85714286
60137,49,128.0075237,379,12.92875989
60139,168,488.8837155,560,30
60140,23,130.3928794,159,14.46540881
60141,6,2777.777778,120,5
60142,30,106.6818392,225,13.33333333
60143,35,318.2975628,151,23.17880795
60148,121,228.4613787,607,19.93410214
60152,13,105.3057918,105,12.38095238
60153,182,764.3847123,668,27.24550898
60154,91,549.0858625,468,19.44444444
60155,74,945.2037297,234,31.62393162
60156,39,135.0135014,231,16.88311688
60160,192,755.5485597,624,30.76923077
60162,72,881.8126148,235,30.63829787
60163,31,600.6587871,116,26.72413793
60164,155,717.5925926,732,21.17486339
60165,50,1015.640869,120,41.66666667
60169,96,285.1456916,367,26.15803815
60171,44,433.582972,230,19.13043478
60172,47,191.4382306,221,21.26696833
60173,19,156.2243052,116,16.37931034
60174,36,114.6314281,332,10.84337349
60175,27,104.9195617,242,11.15702479
60176,39,333.2194122,196,19.89795918
60177,40,173.0927344,207,19.3236715
60178,12,53.54035604,159,7.547169811
60181,90,312.4891497,393,22.90076336
60185,140,387.500346,498,28.1124498
60187,39,131.2777703,325,12
60188,169,396.6949908,584,28.93835616
60189,41,134.7487429,289,14.18685121
60190,11,98.71668312,129,8.527131783
60191,48,339.2945501,217,22.11981567
60192,20,127.7955272,149,13.42281879
60193,77,191.3138541,398,19.34673367
60194,42,221.6826771,206,20.38834951
60195,6,107.7586207,36,16.66666667
60201,165,390.1078116,1086,15.19337017
60202,149,453.4250327,916,16.26637555
60203,17,405.921681,108,15.74074074
60301,12,473.1861199,67,17.91044776
60302,102,318.2725911,679,15.02209131
60304,44,249.4189672,331,13.29305136
60305,24,216.9197397,190,12.63157895
60401,26,334.2331919,149,17.44966443
60402,435,684.4573119,1593,27.30696798
60403,67,367.0428399,447,14.98881432
60404,45,239.412641,331,13.59516616
60406,144,570.1615458,576,25
60408,6,106.2134891,70,8.571428571
60409,260,703.5583818,1036,25.0965251
60410,15,117.2699554,162,9.259259259
60411,419,724.9134948,1711,24.48860316
60415,95,666.4795847,306,31.04575163
60417,74,486.0426929,344,21.51162791
60418,42,NA,178,23.59550562
60419,179,790.4963787,741,24.15654521
60422,54,552.8255528,283,19.08127208
60423,76,245.6525955,429,17.71561772
60425,59,662.0287253,318,18.55345912
60426,215,743.3273406,860,25
60428,111,904.5717545,497,22.33400402
60429,124,805.8750894,674,18.39762611
60430,139,687.2002769,550,25.27272727
60431,83,357.4658685,556,14.92805755
60432,84,415.3891801,375,22.4
60433,95,571.2911179,339,28.02359882
60434,132,NA,63,209.5238095
60435,287,575.5770812,1278,22.45696401
60436,64,337.8200053,443,14.4469526
60438,159,549.0331492,683,23.27964861
60439,47,200.6660405,314,14.96815287
60440,249,476.5915094,1229,20.26037429
60441,98,276.7189044,504,19.44444444
60442,20,189.9154876,138,14.49275362
60443,198,918.6229934,812,24.38423645
60445,64,433.1348132,318,20.12578616
60446,168,419.1093925,828,20.28985507
60447,13,91.42053446,210,6.19047619
60448,59,220.891052,290,20.34482759
60449,43,457.4468085,245,17.55102041
60450,15,73.31378299,169,8.875739645
60451,52,148.8052654,375,13.86666667
60452,78,275.3848327,426,18.30985915
60453,273,483.8709677,1001,27.27272727
60455,161,977.0010316,609,26.43678161
60456,17,394.6146704,74,22.97297297
60457,52,370.9516336,193,26.94300518
60458,36,235.4788069,255,14.11764706
60459,131,453.1617545,482,27.17842324
60461,36,732.1537523,179,20.11173184
60462,117,290.2865649,576,20.3125
60463,66,442.1814284,259,25.48262548
60464,18,185.2804941,126,14.28571429
60465,70,400.6180965,282,24.82269504
60466,317,1441.629906,1084,29.24354244
60467,86,322.968304,366,23.49726776
60468,14,231.634679,53,26.41509434
60469,27,467.1280277,110,24.54545455
60471,118,839.5588758,503,23.45924453
60472,40,821.3552361,181,22.09944751
60473,220,990.9463538,792,27.77777778
60475,44,454.8273723,200,22
60476,9,361.0108303,48,18.75
60477,96,253.1712334,565,16.99115044
60478,154,899.9532492,771,19.97405966
60480,14,260.707635,101,13.86138614
60481,12,103.9861352,132,9.090909091
60482,27,247.3433492,179,15.08379888
60484,59,896.656535,231,25.54112554
60487,62,233.1879043,353,17.56373938
60490,74,333.303306,428,17.28971963
60491,75,326.6408257,312,24.03846154
60501,75,632.6978235,239,31.38075314
60502,31,137.0347449,198,15.65656566
60503,18,106.0507865,121,14.87603306
60504,75,197.3009234,372,20.16129032
60505,290,375.6963337,654,44.34250765
60506,211,389.1840047,725,29.10344828
60510,33,111.7394102,283,11.66077739
60513,65,344.279661,433,15.01154734
60514,25,247.3043822,174,14.36781609
60515,33,115.5219492,263,12.54752852
60516,48,164.00164,317,15.14195584
60517,86,266.0232616,455,18.9010989
60521,46,249.972829,343,13.41107872
60523,40,394.6329913,211,18.95734597
60525,108,353.2182104,673,16.04754829
60526,30,221.4675919,280,10.71428571
60527,147,526.8250726,664,22.13855422
60532,55,195.1877351,290,18.96551724
60534,47,445.7511381,193,24.35233161
60538,57,200.3444519,256,22.265625
60540,48,106.4018443,509,9.430255403
60542,28,154.4827586,211,13.27014218
60543,67,167.3870138,331,20.24169184
60544,63,237.7537927,495,12.72727273
60545,19,143.2988913,102,18.62745098
60546,67,427.1597067,355,18.87323944
60548,9,72.73315015,77,11.68831169
60551,15,272.7272727,29,51.72413793
60554,11,90.4159132,101,10.89108911
60555,39,290.0059488,153,25.49019608
60558,17,128.5249868,168,10.11904762
60559,121,493.2936524,379,31.92612137
60560,29,116.5313831,177,16.38418079
60561,61,263.351034,349,17.47851003
60563,56,149.6965971,435,12.87356322
60564,63,148.1899654,433,14.54965358
60565,90,220.7343095,424,21.22641509
60585,39,160.0459619,269,14.49814126
60586,127,266.2920406,771,16.47211414
60601,43,293.0153322,256,16.796875
60604,6,767.2634271,28,21.42857143
60605,104,377.9207093,592,17.56756757
60606,28,902.9345372,187,14.97326203
60607,195,658.9841506,825,23.63636364
60608,558,704.5009785,1866,29.90353698
60609,512,832.5880153,1442,35.50624133
60610,130,333.1710192,752,17.28723404
60611,85,262.1353235,740,11.48648649
60612,358,1043.397161,1611,22.22222222
60613,204,407.0799992,862,23.66589327
60614,251,351.9941662,1287,19.5027195
60615,222,534.1289127,1216,18.25657895
60616,220,403.9365452,1029,21.37998056
60617,440,533.1136259,2012,21.86878728
60618,451,477.7795434,1820,24.78021978
60619,528,861.9282379,1999,26.4132066
60620,656,963.3458647,2302,28.49695917
60621,267,919.3581709,897,29.76588629
60622,272,515.2198208,1204,22.59136213
60623,880,1023.50574,2067,42.57377842
60624,388,1073.068201,1284,30.21806854
60625,468,590.5884431,1498,31.24165554
60626,432,868.690931,1431,30.18867925
60628,517,774.8336431,1877,27.54395312
60629,899,803.7550291,2285,39.34354486
60630,276,481.3058036,1333,20.70517629
60631,120,406.3801686,998,12.0240481
60632,771,846.8897945,1862,41.40708915
60633,97,753.6321964,456,21.27192982
60634,511,672.4126587,2606,19.60859555
60636,319,990.5909387,861,37.04994193
60637,304,640.6203903,1672,18.18181818
60638,400,680.3068184,1623,24.64571781
60639,933,1030.745606,2460,37.92682927
60640,396,568.0269669,1486,26.6487214
60641,437,615.2936373,1625,26.89230769
60642,59,292.0647493,406,14.5320197
60643,446,894.3252456,1706,26.14302462
60644,536,1123.407109,1609,33.31261653
60645,580,1215.117741,1730,33.52601156
60646,107,382.320363,759,14.09749671
60647,435,497.0917277,1786,24.35610302
60649,421,914.7401356,1609,26.16532007
60651,555,877.914518,1680,33.03571429
60652,305,694.6500558,995,30.65326633
60653,279,872.6385587,1097,25.43299909
60654,90,470.3423047,373,24.12868633
60655,156,541.5914456,930,16.77419355
60656,122,442.365568,861,14.16957027
60657,188,268.3720665,1221,15.3972154
60659,337,820.5902406,977,34.49334698
60660,196,453.2630313,738,26.55826558
60661,23,231.7146887,155,14.83870968
60706,134,575.0826145,691,19.39218524
60707,269,625.3050977,1297,20.74016962
60712,94,749.6610575,377,24.933687
60714,262,880.8795347,741,35.35762483
60803,92,410.8977222,441,20.861678
60804,859,1033.110034,2186,39.29551693
60805,112,569.5108309,374,29.94652406
60827,170,594.8839976,684,24.85380117
60901,182,512.5461151,795,22.89308176
60914,55,183.5229737,452,12.16814159
60915,18,177.8480387,190,9.473684211
60950,16,135.5587562,185,8.648648649
60954,10,171.0571331,78,12.82051282
60958,8,448.4304933,43,18.60465116
60964,9,177.5147929,68,13.23529412
61008,66,192.4647148,236,27.96610169
61016,12,241.8379686,65,18.46153846
61021,14,60.78763406,321,4.361370717
61032,12,40.13914905,141,8.510638298
61065,11,106.1776062,67,16.41791045
61068,85,594.8631815,588,14.45578231
61071,16,114.3102093,81,19.75308642
61073,8,41.74276024,96,8.333333333
61080,6,57.47126437,49,12.24489796
61081,34,160.9162762,117,29.05982906
61101,27,138.1356799,198,13.63636364
61102,38,213.963964,153,24.83660131
61103,30,125.1877817,228,13.15789474
61104,39,200.4729105,179,21.7877095
61107,23,74.42161463,230,10
