"","Report.Date","ZIP.Code","Number.of.Cases","Number.of.Testing.Encounters"
"164","5/17/2020","22624","Suppressed*","14"
"165","5/17/2020","22625","5","17"
"166","5/17/2020","22627","0","10"
"167","5/17/2020","22630","75","204"
"168","5/17/2020","22637","Suppressed*","8"
"169","5/17/2020","22639","0","4"
"170","5/17/2020","22640","Suppressed*","7"
"171","5/17/2020","22641","0","1"
"172","5/17/2020","22642","15","59"
"173","5/17/2020","22643","0","6"
"174","5/17/2020","22644","40","36"
"175","5/17/2020","22645","14","33"
"176","5/17/2020","22646","0","5"
"177","5/17/2020","22650","Suppressed*","13"
"178","5/17/2020","22652","Suppressed*","13"
"179","5/17/2020","22654","Suppressed*","8"
"180","5/17/2020","22655","55","217"
"181","5/17/2020","22656","6","44"
"182","5/17/2020","22657","27","98"
"183","5/17/2020","22660","7","11"
"184","5/17/2020","22663","Suppressed*","5"
"185","5/17/2020","22664","90","118"
"186","5/17/2020","22701","321","870"
"187","5/17/2020","22709","0","17"
"188","5/17/2020","22711","0","2"
"189","5/17/2020","22712","54","252"
"190","5/17/2020","22713","5","28"
"191","5/17/2020","22714","5","25"
"192","5/17/2020","22715","Suppressed*","15"
"193","5/17/2020","22716","Suppressed*","9"
"194","5/17/2020","22718","Suppressed*","14"
"195","5/17/2020","22719","0","4"
"196","5/17/2020","22720","0","7"
"197","5/17/2020","22723","0","3"
"198","5/17/2020","22724","6","40"
"199","5/17/2020","22726","Suppressed*","14"
"200","5/17/2020","22727","15","116"
"201","5/17/2020","22728","Suppressed*","45"
"202","5/17/2020","22729","0","7"
"203","5/17/2020","22730","0","1"
"204","5/17/2020","22731","0","4"
"205","5/17/2020","22732","Suppressed*","8"
"206","5/17/2020","22733","6","33"
"207","5/17/2020","22734","16","85"
"208","5/17/2020","22735","Suppressed*","30"
"209","5/17/2020","22736","Suppressed*","10"
"210","5/17/2020","22737","Suppressed*","41"
"211","5/17/2020","22738","Suppressed*","25"
"212","5/17/2020","22740","Suppressed*","24"
"213","5/17/2020","22741","0","5"
"214","5/17/2020","22742","8","40"
"215","5/17/2020","22743","0","1"
"216","5/17/2020","22747","0","14"
"217","5/17/2020","22749","0","4"
"218","5/17/2020","22801","442","1,000"
"219","5/17/2020","22802","370","924"
"220","5/17/2020","22807","Suppressed*","2"
"221","5/17/2020","22810","Suppressed*","12"
"222","5/17/2020","22811","Suppressed*","15"
"223","5/17/2020","22812","13","162"
"224","5/17/2020","22815","48","174"
"225","5/17/2020","22820","0","1"
"226","5/17/2020","22821","16","83"
"227","5/17/2020","22824","45","61"
"228","5/17/2020","22827","36","231"
"229","5/17/2020","22830","13","36"
"230","5/17/2020","22831","Suppressed*","11"
"231","5/17/2020","22832","Suppressed*","17"
"232","5/17/2020","22834","0","19"
"233","5/17/2020","22835","100","236"
"234","5/17/2020","22840","Suppressed*","72"
"235","5/17/2020","22841","8","46"
"236","5/17/2020","22842","49","92"
"237","5/17/2020","22843","Suppressed*","28"
"238","5/17/2020","22844","28","93"
"239","5/17/2020","22845","0","1"
"240","5/17/2020","22846","6","53"
"241","5/17/2020","22847","Suppressed*","11"
"242","5/17/2020","22849","11","87"
"243","5/17/2020","22850","5","26"
"244","5/17/2020","22851","44","105"
"245","5/17/2020","22853","37","120"
"246","5/17/2020","22901","90","1,104"
"247","5/17/2020","22902","28","654"
"248","5/17/2020","22903","42","781"
"249","5/17/2020","22904","0","6"
"250","5/17/2020","22911","16","471"
"251","5/17/2020","22920","Suppressed*","44"
"252","5/17/2020","22922","Suppressed*","40"
"253","5/17/2020","22923","6","108"
"254","5/17/2020","22931","0","9"
"255","5/17/2020","22932","13","207"
"256","5/17/2020","22935","Suppressed*","25"
"257","5/17/2020","22936","Suppressed*","110"
"258","5/17/2020","22937","Suppressed*","43"
"259","5/17/2020","22938","Suppressed*","20"
"260","5/17/2020","22939","Suppressed*","67"
"261","5/17/2020","22940","Suppressed*","28"
"262","5/17/2020","22942","7","261"
"263","5/17/2020","22943","0","11"
"264","5/17/2020","22946","Suppressed*","4"
"265","5/17/2020","22947","Suppressed*","99"
"266","5/17/2020","22948","0","2"
"267","5/17/2020","22949","0","33"
"268","5/17/2020","22952","0","29"
"269","5/17/2020","22958","Suppressed*","32"
"270","5/17/2020","22959","Suppressed*","54"
"271","5/17/2020","22960","18","309"
"272","5/17/2020","22963","24","419"
"273","5/17/2020","22964","0","4"
"274","5/17/2020","22967","Suppressed*","26"
"275","5/17/2020","22968","9","200"
"276","5/17/2020","22969","Suppressed*","28"
"277","5/17/2020","22971","0","41"
"278","5/17/2020","22972","Suppressed*","21"
"279","5/17/2020","22973","5","167"
"280","5/17/2020","22974","5","129"
"281","5/17/2020","22976","0","7"
"282","5/17/2020","22980","29","477"
"283","5/17/2020","22989","0","4"
"284","5/17/2020","23002","17","269"
"285","5/17/2020","23004","9","39"
"286","5/17/2020","23005","28","262"
"287","5/17/2020","23009","11","118"
"288","5/17/2020","23011","Suppressed*","25"
"289","5/17/2020","23015","9","91"
"290","5/17/2020","23021","0","4"
"291","5/17/2020","23022","5","31"
