"","Report.Date","ZIP.Code","Number.of.Cases","Number.of.Testing.Encounters"
"709","5/17/2020","24266","Suppressed*","116"
"710","5/17/2020","24269","0","4"
"711","5/17/2020","24270","Suppressed*","7"
"712","5/17/2020","24271","0","35"
"713","5/17/2020","24272","0","7"
"714","5/17/2020","24273","Suppressed*","75"
"715","5/17/2020","24277","Suppressed*","100"
"716","5/17/2020","24279","0","38"
"717","5/17/2020","24280","0","6"
"718","5/17/2020","24281","0","32"
"719","5/17/2020","24282","0","14"
"720","5/17/2020","24283","0","36"
"721","5/17/2020","24290","0","29"
"722","5/17/2020","24292","0","11"
"723","5/17/2020","24293","Suppressed*","133"
"724","5/17/2020","24301","Suppressed*","264"
"725","5/17/2020","24311","0","26"
"726","5/17/2020","24312","0","24"
"727","5/17/2020","24313","Suppressed*","7"
"728","5/17/2020","24314","0","37"
"729","5/17/2020","24315","0","42"
"730","5/17/2020","24316","0","2"
"731","5/17/2020","24317","Suppressed*","34"
"732","5/17/2020","24318","0","9"
"733","5/17/2020","24319","5","90"
"734","5/17/2020","24322","0","3"
"735","5/17/2020","24323","Suppressed*","10"
"736","5/17/2020","24324","0","38"
"737","5/17/2020","24325","0","5"
"738","5/17/2020","24326","0","5"
"739","5/17/2020","24328","0","17"
"740","5/17/2020","24330","10","52"
"741","5/17/2020","24333","118","427"
"742","5/17/2020","24340","Suppressed*","84"
"743","5/17/2020","24343","10","116"
"744","5/17/2020","24347","Suppressed*","22"
"745","5/17/2020","24348","0","74"
"746","5/17/2020","24350","0","11"
"747","5/17/2020","24351","0","4"
"748","5/17/2020","24352","Suppressed*","12"
"749","5/17/2020","24354","6","225"
"750","5/17/2020","24360","5","92"
"751","5/17/2020","24361","Suppressed*","84"
"752","5/17/2020","24363","0","7"
"753","5/17/2020","24366","Suppressed*","17"
"754","5/17/2020","24368","Suppressed*","63"
"755","5/17/2020","24370","Suppressed*","77"
"756","5/17/2020","24374","0","14"
"757","5/17/2020","24375","0","10"
"758","5/17/2020","24377","0","3"
"759","5/17/2020","24378","Suppressed*","11"
"760","5/17/2020","24380","Suppressed*","9"
"761","5/17/2020","24381","Suppressed*","39"
"762","5/17/2020","24382","6","194"
"763","5/17/2020","24401","42","394"
"764","5/17/2020","24412","0","1"
"765","5/17/2020","24413","0","4"
"766","5/17/2020","24415","0","2"
"767","5/17/2020","24416","9","34"
"768","5/17/2020","24421","Suppressed*","17"
"769","5/17/2020","24422","6","106"
"770","5/17/2020","24426","Suppressed*","183"
"771","5/17/2020","24430","Suppressed*","25"
"772","5/17/2020","24431","5","37"
"773","5/17/2020","24432","Suppressed*","1"
"774","5/17/2020","24433","0","1"
"775","5/17/2020","24435","Suppressed*","8"
"776","5/17/2020","24437","0","9"
"777","5/17/2020","24439","0","8"
"778","5/17/2020","24440","8","35"
"779","5/17/2020","24441","15","102"
"780","5/17/2020","24442","0","2"
"781","5/17/2020","24445","0","27"
"782","5/17/2020","24448","0","4"
"783","5/17/2020","24450","8","71"
"784","5/17/2020","24457","0","13"
"785","5/17/2020","24458","0","4"
"786","5/17/2020","24459","6","2"
"787","5/17/2020","24460","0","14"
"788","5/17/2020","24465","Suppressed*","12"
"789","5/17/2020","24467","Suppressed*","17"
"790","5/17/2020","24471","Suppressed*","28"
"791","5/17/2020","24472","0","14"
"792","5/17/2020","24473","0","6"
"793","5/17/2020","24474","0","7"
"794","5/17/2020","24476","Suppressed*","4"
"795","5/17/2020","24477","13","137"
"796","5/17/2020","24479","0","17"
"797","5/17/2020","24482","5","48"
"798","5/17/2020","24483","Suppressed*","4"
"799","5/17/2020","24484","0","5"
"800","5/17/2020","24485","0","2"
"801","5/17/2020","24486","15","59"
"802","5/17/2020","24487","0","3"
"803","5/17/2020","24501","24","439"
"804","5/17/2020","24502","32","605"
"805","5/17/2020","24503","12","316"
"806","5/17/2020","24504","7","141"
"807","5/17/2020","24517","0","94"
"808","5/17/2020","24520","Suppressed*","32"
"809","5/17/2020","24521","7","196"
"810","5/17/2020","24522","15","194"
"811","5/17/2020","24523","7","298"
"812","5/17/2020","24526","Suppressed*","24"
"813","5/17/2020","24527","Suppressed*","43"
"814","5/17/2020","24528","Suppressed*","57"
"815","5/17/2020","24529","Suppressed*","50"
"816","5/17/2020","24530","0","16"
"817","5/17/2020","24531","Suppressed*","79"
"818","5/17/2020","24534","Suppressed*","31"
"819","5/17/2020","24536","0","3"
"820","5/17/2020","24538","Suppressed*","84"
"821","5/17/2020","24539","0","7"
"822","5/17/2020","24540","23","375"
"823","5/17/2020","24541","24","366"
"824","5/17/2020","24549","Suppressed*","48"
"825","5/17/2020","24550","5","102"
"826","5/17/2020","24551","19","390"
"827","5/17/2020","24553","Suppressed*","38"
"828","5/17/2020","24554","Suppressed*","61"
"829","5/17/2020","24555","Suppressed*","10"
"830","5/17/2020","24556","0","54"
"831","5/17/2020","24557","Suppressed*","88"
"832","5/17/2020","24558","5","115"
"833","5/17/2020","24562","0","12"
"834","5/17/2020","24563","Suppressed*","84"
"835","5/17/2020","24565","0","8"
"836","5/17/2020","24566","Suppressed*","14"
"837","5/17/2020","24569","0","14"
"838","5/17/2020","24571","Suppressed*","24"
"839","5/17/2020","24572","12","298"
"840","5/17/2020","24574","Suppressed*","48"
"841","5/17/2020","24577","Suppressed*","61"
"842","5/17/2020","24578","Suppressed*","5"
"843","5/17/2020","24579","0","6"
"844","5/17/2020","24580","Suppressed*","15"
"845","5/17/2020","24586","Suppressed*","68"
"846","5/17/2020","24588","Suppressed*","152"
"847","5/17/2020","24589","0","31"
"848","5/17/2020","24590","11","205"
"849","5/17/2020","24592","11","282"
"850","5/17/2020","24593","Suppressed*","25"
"851","5/17/2020","24594","Suppressed*","33"
"852","5/17/2020","24595","0","4"
"853","5/17/2020","24597","Suppressed*","18"
"854","5/17/2020","24598","Suppressed*","37"
"855","5/17/2020","24599","Suppressed*","16"
"856","5/17/2020","24602","0","11"
"857","5/17/2020","24603","Suppressed*","11"
"858","5/17/2020","24605","Suppressed*","144"
"859","5/17/2020","24606","0","3"
"860","5/17/2020","24607","0","2"
"861","5/17/2020","24609","Suppressed*","89"
"862","5/17/2020","24612","0","3"
"863","5/17/2020","24613","0","21"
"864","5/17/2020","24614","15","136"
"865","5/17/2020","24620","0","18"
"866","5/17/2020","24622","0","16"
"867","5/17/2020","24628","0","5"
"868","5/17/2020","24630","0","71"
"869","5/17/2020","24631","0","21"
"870","5/17/2020","24634","0","7"
"871","5/17/2020","24635","0","11"
"872","5/17/2020","24637","0","29"
"873","5/17/2020","24639","Suppressed*","52"
"874","5/17/2020","24641","0","97"
"875","5/17/2020","24646","0","6"
"876","5/17/2020","24649","0","24"
"877","5/17/2020","24651","0","73"
"878","5/17/2020","24656","0","37"
"879","5/17/2020","24657","0","2"
"880","5/17/2020","Not Reported","610","24,782"
"881","5/17/2020","Out-of-State","0","3,019"
