"","Report.Date","ZIP.Code","Number.of.Cases","Number.of.PCR.Testing.Encounters"
"1","5/22/2020","20105","66",526
"2","5/22/2020","20106","28",93
"3","5/22/2020","20109","666",1735
"4","5/22/2020","20110","840",2019
"5","5/22/2020","20111","537",1410
"6","5/22/2020","20112","124",747
"7","5/22/2020","20115","25",125
"8","5/22/2020","20117","7",46
"9","5/22/2020","20118","Suppressed*",33
"10","5/22/2020","20119","17",101
"11","5/22/2020","20120","182",865
"12","5/22/2020","20121","128",599
"13","5/22/2020","20124","37",277
"14","5/22/2020","20129","7",24
"15","5/22/2020","20130","0",7
"16","5/22/2020","20132","34",297
"17","5/22/2020","20135","5",59
"18","5/22/2020","20136","109",602
"19","5/22/2020","20137","5",32
"20","5/22/2020","20139","Suppressed*",6
"21","5/22/2020","20141","10",112
"22","5/22/2020","20143","Suppressed*",19
"23","5/22/2020","20144","Suppressed*",14
"24","5/22/2020","20147","237",1448
"25","5/22/2020","20148","91",740
"26","5/22/2020","20151","154",529
"27","5/22/2020","20152","151",493
"28","5/22/2020","20155","152",796
"29","5/22/2020","20158","10",62
"30","5/22/2020","20164","528",1420
"31","5/22/2020","20165","152",741
"32","5/22/2020","20166","83",372
"33","5/22/2020","20169","66",454
"34","5/22/2020","20170","515",1362
"35","5/22/2020","20171","203",828
"36","5/22/2020","20175","92",590
"37","5/22/2020","20176","280",1103
"38","5/22/2020","20180","9",138
"39","5/22/2020","20181","27",229
"40","5/22/2020","20184","Suppressed*",25
"41","5/22/2020","20186","47",384
"42","5/22/2020","20187","44",358
"43","5/22/2020","20190","146",639
"44","5/22/2020","20191","197",789
"45","5/22/2020","20194","24",230
"46","5/22/2020","20197","Suppressed*",49
"47","5/22/2020","20198","Suppressed*",41
"48","5/22/2020","22003","785",2159
"49","5/22/2020","22015","280",1041
"50","5/22/2020","22025","79",461
"51","5/22/2020","22026","130",631
"52","5/22/2020","22027","41",76
"53","5/22/2020","22030","243",1264
"54","5/22/2020","22031","244",999
"55","5/22/2020","22032","94",590
"56","5/22/2020","22033","154",817
"57","5/22/2020","22035","0",5
"58","5/22/2020","22039","49",352
"59","5/22/2020","22041","516",1319
"60","5/22/2020","22042","476",1368
"61","5/22/2020","22043","163",591
"62","5/22/2020","22044","183",493
"63","5/22/2020","22046","115",473
"64","5/22/2020","22060","12",89
"65","5/22/2020","22066","43",369
"66","5/22/2020","22079","209",973
"67","5/22/2020","22101","92",761
"68","5/22/2020","22102","80",626
"69","5/22/2020","22124","38",330
"70","5/22/2020","22125","Suppressed*",25
"71","5/22/2020","22134","14",55
"72","5/22/2020","22150","548",1458
"73","5/22/2020","22151","195",617
"74","5/22/2020","22152","144",640
"75","5/22/2020","22153","115",666
"76","5/22/2020","22172","93",353
"77","5/22/2020","22180","125",615
"78","5/22/2020","22181","35",280
"79","5/22/2020","22182","82",551
"80","5/22/2020","22191","988",3387
"81","5/22/2020","22192","414",2031
"82","5/22/2020","22193","930",3243
"83","5/22/2020","22201","170",928
"84","5/22/2020","22202","136",630
"85","5/22/2020","22203","241",674
"86","5/22/2020","22204","716",2060
"87","5/22/2020","22205","104",527
"88","5/22/2020","22206","133",609
"89","5/22/2020","22207","211",954
"90","5/22/2020","22209","60",348
"91","5/22/2020","22211","Suppressed*",12
"92","5/22/2020","22213","12",74
"93","5/22/2020","22214","0",2
"94","5/22/2020","22301","58",380
"95","5/22/2020","22302","168",576
"96","5/22/2020","22303","128",530
"97","5/22/2020","22304","489",1730
"98","5/22/2020","22305","463",1111
"99","5/22/2020","22306","569",1482
"100","5/22/2020","22307","47",298
"101","5/22/2020","22308","53",227
"102","5/22/2020","22309","416",1181
"103","5/22/2020","22310","207",785
"104","5/22/2020","22311","310",885
"105","5/22/2020","22312","344",1083
"106","5/22/2020","22314","153",915
"107","5/22/2020","22315","73",552
"108","5/22/2020","22401","102",646
"109","5/22/2020","22405","77",682
"110","5/22/2020","22406","59",534
"111","5/22/2020","22407","224",1418
"112","5/22/2020","22408","73",623
"113","5/22/2020","22427","Suppressed*",61
"114","5/22/2020","22432","Suppressed*",16
"115","5/22/2020","22433","Suppressed*",6
"116","5/22/2020","22435","Suppressed*",57
"117","5/22/2020","22436","0",11
"118","5/22/2020","22437","Suppressed*",16
"119","5/22/2020","22438","Suppressed*",7
"120","5/22/2020","22443","12",147
"121","5/22/2020","22448","Suppressed*",16
"122","5/22/2020","22454","Suppressed*",31
"123","5/22/2020","22460","Suppressed*",26
"124","5/22/2020","22469","Suppressed*",40
"125","5/22/2020","22473","13",113
"126","5/22/2020","22476","Suppressed*",4
"127","5/22/2020","22480","0",23
"128","5/22/2020","22482","Suppressed*",84
"129","5/22/2020","22485","49",533
"130","5/22/2020","22488","Suppressed*",22
"131","5/22/2020","22503","5",119
"132","5/22/2020","22504","0",6
"133","5/22/2020","22508","32",307
"134","5/22/2020","22511","Suppressed*",26
"135","5/22/2020","22514","Suppressed*",29
"136","5/22/2020","22520","27",124
"137","5/22/2020","22529","0",7
"138","5/22/2020","22530","0",1
"139","5/22/2020","22534","Suppressed*",43
"140","5/22/2020","22535","0",12
"141","5/22/2020","22538","0",7
"142","5/22/2020","22539","Suppressed*",54
"143","5/22/2020","22542","Suppressed*",42
"144","5/22/2020","22546","26",279
"145","5/22/2020","22548","0",3
"146","5/22/2020","22551","57",450
"147","5/22/2020","22553","19",304
"148","5/22/2020","22554","280",1390
"149","5/22/2020","22556","127",664
"150","5/22/2020","22560","29",165
"151","5/22/2020","22567","Suppressed*",89
"152","5/22/2020","22572","256",484
"153","5/22/2020","22576","0",32
"154","5/22/2020","22578","Suppressed*",48
"155","5/22/2020","22579","Suppressed*",4
"156","5/22/2020","22580","7",96
"157","5/22/2020","22601","124",260
"158","5/22/2020","22602","102",202
"159","5/22/2020","22603","40",98
"160","5/22/2020","22610","7",14
"161","5/22/2020","22611","12",90
"162","5/22/2020","22620","Suppressed*",19
"163","5/22/2020","22623","Suppressed*",0
"164","5/22/2020","22624","Suppressed*",11
"165","5/22/2020","22625","5",14
"166","5/22/2020","22627","0",11
"167","5/22/2020","22630","87",180
"168","5/22/2020","22637","Suppressed*",5
"169","5/22/2020","22639","0",6
"170","5/22/2020","22640","Suppressed*",5
"171","5/22/2020","22641","0",1
"172","5/22/2020","22642","15",54
"173","5/22/2020","22643","0",5
"174","5/22/2020","22644","44",39
"175","5/22/2020","22645","15",30
"176","5/22/2020","22646","0",4
"177","5/22/2020","22650","Suppressed*",11
"178","5/22/2020","22652","Suppressed*",16
"179","5/22/2020","22654","Suppressed*",5
"180","5/22/2020","22655","62",125
"181","5/22/2020","22656","11",36
"182","5/22/2020","22657","34",88
"183","5/22/2020","22660","7",10
"184","5/22/2020","22663","5",8
"185","5/22/2020","22664","117",129
"186","5/22/2020","22701","474",1086
"187","5/22/2020","22709","0",17
"188","5/22/2020","22711","0",1
"189","5/22/2020","22712","72",287
"190","5/22/2020","22713","6",24
"191","5/22/2020","22714","12",31
"192","5/22/2020","22715","Suppressed*",17
"193","5/22/2020","22716","Suppressed*",9
"194","5/22/2020","22718","Suppressed*",12
"195","5/22/2020","22719","0",5
"196","5/22/2020","22720","0",12
"197","5/22/2020","22722","0",1
"198","5/22/2020","22723","0",3
"199","5/22/2020","22724","9",41
"200","5/22/2020","22726","11",23
"201","5/22/2020","22727","17",127
"202","5/22/2020","22728","5",54
"203","5/22/2020","22729","Suppressed*",10
"204","5/22/2020","22730","0",1
"205","5/22/2020","22731","Suppressed*",5
"206","5/22/2020","22732","Suppressed*",7
"207","5/22/2020","22733","11",38
"208","5/22/2020","22734","19",94
"209","5/22/2020","22735","Suppressed*",37
"210","5/22/2020","22736","Suppressed*",13
"211","5/22/2020","22737","5",50
"212","5/22/2020","22738","Suppressed*",26
"213","5/22/2020","22740","Suppressed*",24
"214","5/22/2020","22741","0",5
"215","5/22/2020","22742","15",48
"216","5/22/2020","22743","0",1
"217","5/22/2020","22747","0",17
"218","5/22/2020","22749","0",4
"219","5/22/2020","22801","504",1214
"220","5/22/2020","22802","405",1079
"221","5/22/2020","22807","Suppressed*",3
"222","5/22/2020","22810","Suppressed*",15
