"","OBJECTID","PO_NAME","ZIP_CODE","Negative","Positive","Probable","Additional_Tracking","Positive_Redacted","Negative_Redacted"
"265",593,"Calvin","16622",0,-1,0,NA,NA,NA
"266",594,"Cassville","16623",8,0,0,NA,NA,NA
"267",595,"Claysburg","16625",16,0,0,NA,NA,NA
"268",596,"Coalport","16627",11,-1,0,NA,NA,NA
"269",597,"Cresson","16630",30,-1,0,NA,NA,NA
"270",598,"Dudley","16634",-1,0,0,NA,NA,NA
"271",599,"Duncansville","16635",68,-1,0,NA,NA,NA
"272",600,"Dysart","16636",-1,-1,0,NA,NA,NA
"273",601,"East Freedom","16637",13,-1,0,NA,NA,NA
"274",602,"Fallentimber","16639",-1,0,0,NA,NA,NA
"275",603,"Flinton","16640",5,-1,0,NA,NA,NA
"276",604,"Gallitzin","16641",18,0,0,NA,NA,NA
"277",605,"Glen Hope","16645",0,0,0,NA,NA,NA
"278",606,"Hastings","16646",33,-1,0,NA,NA,NA
"279",607,"Hesston","16647",-1,0,0,NA,NA,NA
"280",608,"Hollidaysburg","16648",102,-1,0,NA,NA,NA
"281",609,"Hopewell","16650",19,0,0,NA,NA,NA
"282",610,"Houtzdale","16651",15,-1,0,NA,NA,NA
"283",611,"Huntingdon","16652",159,23,0,NA,NA,NA
"284",612,"Imler","16655",7,-1,0,NA,NA,NA
"285",613,"Irvona","16656",5,0,0,NA,NA,NA
"286",614,"James Creek","16657",14,-1,-1,NA,NA,NA
"287",615,"Loysburg","16659",-1,0,0,NA,NA,NA
"288",616,"Madera","16661",-1,0,0,NA,NA,NA
"289",617,"Martinsburg","16662",24,0,0,NA,NA,NA
"290",618,"New Enterprise","16664",10,-1,0,NA,NA,NA
"291",619,"Osceola Mills","16666",24,-1,0,NA,NA,NA
"292",620,"Osterburg","16667",11,6,0,NA,NA,NA
"293",621,"Patton","16668",28,-1,0,NA,NA,NA
"294",622,"Petersburg","16669",14,-1,-1,NA,NA,NA
"295",623,"Queen","16670",-1,0,0,NA,NA,NA
"296",624,"Ramey","16671",0,0,0,NA,NA,NA
"297",625,"Roaring Spring","16673",23,0,0,NA,NA,NA
"298",626,"Robertsdale","16674",-1,0,0,NA,NA,NA
"299",627,"Saxton","16678",16,-1,0,NA,NA,NA
"300",628,"Six Mile Run","16679",-1,0,0,NA,NA,NA
"301",629,"Smithmill","16680",-1,0,0,NA,NA,NA
"302",630,"Sproul","16682",-1,0,0,NA,NA,NA
