"","Zip","Cases","Deaths","Recovered","ReportDate"
"1","73942",679,4,327,"2020-05-21"
"2","74006",193,23,165,"2020-05-21"
"3","73501",128,1,60,"2020-05-21"
"4","73160",121,9,103,"2020-05-21"
"5","73072",118,12,101,"2020-05-21"
"6","73945",87,0,62,"2020-05-21"
"7","73170",80,8,72,"2020-05-21"
"8","73013",76,6,68,"2020-05-21"
"9","74344",74,15,57,"2020-05-21"
"10","73080",68,1,56,"2020-05-21"
"11","74012",68,8,54,"2020-05-21"
"12","73099",67,1,60,"2020-05-21"
"13","73554",66,7,57,"2020-05-21"
"14","73112",65,5,53,"2020-05-21"
"15","74136",65,1,32,"2020-05-21"
"16","73119",65,7,51,"2020-05-21"
"17","73047",64,0,45,"2020-05-21"
"18","73107",63,2,43,"2020-05-21"
"19","73120",62,5,46,"2020-05-21"
"20","74429",60,12,46,"2020-05-21"
"21","74003",59,8,49,"2020-05-21"
"22","74070",58,7,43,"2020-05-21"
"23","Other***",56,5,43,"2020-05-21"
"24","73071",55,3,49,"2020-05-21"
"25","74110",54,2,50,"2020-05-21"
"26","74133",54,3,45,"2020-05-21"
"27","73505",53,1,40,"2020-05-21"
"28","74135",51,1,39,"2020-05-21"
"29","74146",49,0,38,"2020-05-21"
"30","74960",47,3,37,"2020-05-21"
"31","73142",45,3,33,"2020-05-21"
"32","73012",42,0,40,"2020-05-21"
"33","73069",40,4,34,"2020-05-21"
"34","73018",40,2,21,"2020-05-21"
"35","74014",40,1,33,"2020-05-21"
"36","73132",38,0,31,"2020-05-21"
"37","74467",38,4,27,"2020-05-21"
"38","74066",37,3,33,"2020-05-21"
"39","73009",37,8,29,"2020-05-21"
"40","74063",36,2,34,"2020-05-21"
"41","73169",36,1,32,"2020-05-21"
"42","73110",35,1,30,"2020-05-21"
"43","73122",33,1,16,"2020-05-21"
"44","74011",33,2,30,"2020-05-21"
"45","74604",33,4,28,"2020-05-21"
"46","74115",32,0,25,"2020-05-21"
"47","73034",32,1,31,"2020-05-21"
"48","73162",31,2,29,"2020-05-21"
"49","74019",30,3,25,"2020-05-21"
"50","74501",30,3,27,"2020-05-21"
"51","74105",30,2,26,"2020-05-21"
"52","74129",28,1,23,"2020-05-21"
"53","74029",28,1,27,"2020-05-21"
"54","73127",28,0,23,"2020-05-21"
"55","73115",28,2,20,"2020-05-21"
"56","73139",27,4,19,"2020-05-21"
"57","74055",27,1,26,"2020-05-21"
"58","73507",26,1,21,"2020-05-21"
"59","73533",25,0,14,"2020-05-21"
"60","73159",25,1,19,"2020-05-21"
"61","73116",25,0,24,"2020-05-21"
"62","74106",25,2,20,"2020-05-21"
"63","74017",25,3,21,"2020-05-21"
"64","74039",24,2,20,"2020-05-21"
"65","73949",23,0,11,"2020-05-21"
"66","74137",23,2,19,"2020-05-21"
"67","73008",23,1,18,"2020-05-21"
"68","74464",22,1,21,"2020-05-21"
"69","73542",22,1,17,"2020-05-21"
"70","73068",22,1,21,"2020-05-21"
"71","73129",22,0,20,"2020-05-21"
"72","74008",22,0,18,"2020-05-21"
"73","74145",22,0,22,"2020-05-21"
"74","73010",22,0,20,"2020-05-21"
"75","74801",21,0,18,"2020-05-21"
"76","73521",21,1,18,"2020-05-21"
"77","74033",21,0,19,"2020-05-21"
"78","73114",21,0,18,"2020-05-21"
"79","74965",21,0,17,"2020-05-21"
"80","74020",21,2,17,"2020-05-21"
"81","73135",20,2,15,"2020-05-21"
"82","74134",20,0,19,"2020-05-21"
"83","74023",20,1,18,"2020-05-21"
"84","73064",20,1,17,"2020-05-21"
"85","73111",19,2,15,"2020-05-21"
"86","74021",19,0,18,"2020-05-21"
