"","zip","cases","deaths","lat","long"
"134","87521",2,0,36.0173279,-105.6129771
"135","87522",2,0,35.9308258,-105.7897647
"136","87523",0,0,36.0136438,-105.8427383
"137","87524",0,0,36.9324275,-105.6722921
"138","87525",0,0,36.5693169,-105.4568468
"139","87527",5,0,36.1512594,-105.8382963
"140","87528",1,0,36.6715462,-106.9833073
"141","87529",0,0,36.4700565,-105.6228396
"142","87530",0,0,36.3488389,-106.191469
"143","87531",0,0,36.2467108,-105.8395334
"144","87532",6,0,35.9938673,-106.088977
"145","87533",2,0,36.024269,-106.0665835
"146","87535",0,0,35.5287249,-105.7477027
"147","87537",0,0,36.0522266,-106.1888265
"148","87538",0,0,35.494523,-105.5712539
"149","87539",0,0,36.3766821,-106.0431726
"150","87540",3,0,35.4493735,-105.9079023
"151","87543",0,0,36.1070351,-105.6612064
"152","87544",7,0,35.8407208,-106.2881092
"153","87548",0,0,36.1723981,-106.1378088
"154","87549",0,0,36.2370981,-106.0090738
"155","87551",0,0,36.6945983,-106.669448
"156","87552",0,0,35.6461487,-105.6015787
"157","87553",1,0,36.2148893,-105.6874717
"158","87554",0,0,36.4828978,-106.0186698
"159","87556",2,0,36.7838766,-105.4920117
"160","87557",2,0,36.2910139,-105.6815087
"161","87558",0,0,36.6639356,-105.4416143
"162","87560",0,0,35.2367578,-105.5261966
"163","87562",0,0,35.4168295,-105.6844755
"164","87564",0,0,36.6079724,-105.6278904
"165","87565",0,0,35.413824,-105.4898805
"166","87566",2,0,36.0722326,-106.0686313
"167","87567",1,0,35.9938867,-106.0202009
"168","87569",0,0,35.3463772,-105.3006332
"169","87571",11,0,36.3914503,-105.4676238
"170","87573",0,0,35.7893905,-105.6856412
"171","87574",3,0,35.82166,-105.8991045
"172","87575",0,0,36.7400949,-106.3708234
"173","87577",0,0,36.6692458,-106.0141579
"174","87578",0,0,36.0474406,-105.770114
"175","87579",1,0,36.0944834,-105.5634096
"176","87580",0,0,36.570074,-105.5657829
"177","87581",0,0,36.5134795,-106.1396319
"178","87582",0,0,36.1563521,-106.0160921
"179","87583",0,0,35.2313735,-105.3363044
"180","87701",10,0,35.5421132,-104.9334872
"181","87710",4,0,36.382459,-105.236309
"182","87711",5,0,35.2293519,-105.1038282
"183","87712",0,0,35.8504817,-105.1828565
"184","87713",0,0,36.1671253,-105.3648714
"185","87714",0,0,36.38948,-104.9129883
"186","87715",0,0,36.0170583,-105.4290418
