"","status","message","data.zip","data.cases","data.deaths","data.lat","data.long"
"125","ok","","87512",0,0,36.9236166,-105.3436069
"126","ok","","87513",0,0,36.5795825,-105.6873296
"127","ok","","87514",1,0,36.5412371,-105.5251999
"128","ok","","87515",0,0,36.4972332,-106.3933955
"129","ok","","87516",0,0,36.1535538,-106.4630522
"130","ok","","87517",0,0,36.3948463,-105.7875824
"131","ok","","87518",0,0,36.5082204,-106.5620673
"132","ok","","87519",0,0,36.7699117,-105.6279381
"133","ok","","87520",0,0,36.8743644,-106.633097
"134","ok","","87521",2,0,36.0173279,-105.6129771
"135","ok","","87522",2,0,35.9308258,-105.7897647
"136","ok","","87523",0,0,36.0136438,-105.8427383
"137","ok","","87524",0,0,36.9324275,-105.6722921
"138","ok","","87525",0,0,36.5693169,-105.4568468
"139","ok","","87527",5,0,36.1512594,-105.8382963
"140","ok","","87528",1,0,36.6715462,-106.9833073
"141","ok","","87529",0,0,36.4700565,-105.6228396
"142","ok","","87530",0,0,36.3488389,-106.191469
"143","ok","","87531",0,0,36.2467108,-105.8395334
"144","ok","","87532",6,0,35.9938673,-106.088977
"145","ok","","87533",2,0,36.024269,-106.0665835
"146","ok","","87535",0,0,35.5287249,-105.7477027
"147","ok","","87537",0,0,36.0522266,-106.1888265
"148","ok","","87538",0,0,35.494523,-105.5712539
"149","ok","","87539",0,0,36.3766821,-106.0431726
"150","ok","","87540",3,0,35.4493735,-105.9079023
"151","ok","","87543",0,0,36.1070351,-105.6612064
"152","ok","","87544",7,0,35.8407208,-106.2881092
"153","ok","","87548",0,0,36.1723981,-106.1378088
"154","ok","","87549",0,0,36.2370981,-106.0090738
"155","ok","","87551",0,0,36.6945983,-106.669448
"156","ok","","87552",0,0,35.6461487,-105.6015787
"157","ok","","87553",1,0,36.2148893,-105.6874717
"158","ok","","87554",0,0,36.4828978,-106.0186698
"159","ok","","87556",2,0,36.7838766,-105.4920117
"160","ok","","87557",2,0,36.2910139,-105.6815087
"161","ok","","87558",0,0,36.6639356,-105.4416143
"162","ok","","87560",0,0,35.2367578,-105.5261966
"163","ok","","87562",0,0,35.4168295,-105.6844755
"164","ok","","87564",0,0,36.6079724,-105.6278904
"165","ok","","87565",0,0,35.413824,-105.4898805
"166","ok","","87566",2,0,36.0722326,-106.0686313
"167","ok","","87567",1,0,35.9938867,-106.0202009
"168","ok","","87569",0,0,35.3463772,-105.3006332
"169","ok","","87571",11,0,36.3914503,-105.4676238
"170","ok","","87573",0,0,35.7893905,-105.6856412
"171","ok","","87574",3,0,35.82166,-105.8991045
"172","ok","","87575",0,0,36.7400949,-106.3708234
"173","ok","","87577",0,0,36.6692458,-106.0141579
"174","ok","","87578",0,0,36.0474406,-105.770114
"175","ok","","87579",1,0,36.0944834,-105.5634096
"176","ok","","87580",0,0,36.570074,-105.5657829
"177","ok","","87581",0,0,36.5134795,-106.1396319
"178","ok","","87582",0,0,36.1563521,-106.0160921
"179","ok","","87583",0,0,35.2313735,-105.3363044
"180","ok","","87701",10,0,35.5421132,-104.9334872
"181","ok","","87710",4,0,36.382459,-105.236309
"182","ok","","87711",5,0,35.2293519,-105.1038282
"183","ok","","87712",0,0,35.8504817,-105.1828565
"184","ok","","87713",0,0,36.1671253,-105.3648714
"185","ok","","87714",0,0,36.38948,-104.9129883
"186","ok","","87715",0,0,36.0170583,-105.4290418
"187","ok","","87718",0,0,36.5998081,-105.2918854
"188","ok","","87722",0,0,36.1919317,-105.2612191
"189","ok","","87723",0,0,36.0587523,-105.375577
"190","ok","","87724",0,0,35.1733632,-105.0774848
"191","ok","","87728",0,0,36.596537,-104.6190842
"192","ok","","87729",0,0,36.3034755,-104.8179673
"193","ok","","87730",0,0,36.153001,-104.2144467
"194","ok","","87731",0,0,35.7598581,-105.4127304
"195","ok","","87732",0,0,35.9580022,-105.3642864
"196","ok","","87733",0,0,35.8154318,-103.8391262
"197","ok","","87734",0,0,36.1665439,-105.0858842
"198","ok","","87735",0,0,36.0694612,-105.1531622
"199","ok","","87736",0,0,35.9804486,-105.1970765
"200","ok","","87740",1,0,36.746631,-104.4153217
"201","ok","","87742",0,0,35.9023507,-105.5109377
"202","ok","","87743",1,0,35.9735652,-104.0908141
"203","ok","","87745",0,0,35.8109259,-105.2136456
"204","ok","","87746",0,0,35.7760681,-104.0468941
"205","ok","","87747",0,0,36.3561943,-104.4717715
"206","ok","","87749",0,0,36.5444334,-105.1033649
"207","ok","","87750",0,0,35.8253339,-104.9272017
"208","ok","","87752",0,0,36.0215935,-104.6499865
"209","ok","","87753",0,0,35.8633134,-104.9542979
"210","ok","","87801",2,0,34.1272107,-106.8261874
"211","ok","","87820",0,0,33.9376528,-108.5868204
"212","ok","","87821",0,0,33.979952,-108.0625003
"213","ok","","87823",1,0,34.2066928,-106.9859483
"214","ok","","87824",0,0,33.8285111,-108.981932
"215","ok","","87825",41,0,33.8773166,-107.6562263
"216","ok","","87827",0,0,34.4068254,-108.0967484
"217","ok","","87828",0,0,34.2058531,-106.9167187
"218","ok","","87829",1,0,34.3577033,-108.6427674
"219","ok","","87830",0,0,33.7280552,-108.743608
"220","ok","","87831",0,0,34.2648033,-106.9329232
"221","ok","","87832",2,0,33.7668962,-106.8212171
"222","ok","","87901",1,0,33.2167951,-107.1005847
"223","ok","","87930",1,0,32.8506812,-107.4435672
"224","ok","","87931",0,0,32.9534685,-107.4268402
"225","ok","","87933",0,0,32.790195,-107.2779131
"226","ok","","87935",0,0,33.2548025,-107.2292737
"227","ok","","87936",0,0,32.7528274,-107.2636137
"228","ok","","87937",4,0,32.5931815,-107.1843197
"229","ok","","87939",0,0,33.4126811,-107.488561
"230","ok","","87940",1,0,32.6215161,-107.0065409
"231","ok","","87941",0,0,32.7206909,-107.2196117
"232","ok","","87942",0,0,33.0609878,-107.3489203
"233","ok","","87943",0,0,33.3830921,-107.7361425
"234","ok","","88001",14,0,32.2900515,-106.7538933
"235","ok","","88002",0,0,32.4629474,-106.4861578
"236","ok","","88003",0,0,32.280653,-106.7459437
"237","ok","","88004",1,0,32.2230961,-106.9874309
"238","ok","","88005",17,0,32.2583484,-106.8231261
"239","ok","","88007",5,0,32.4410918,-106.9212747
"240","ok","","88008",25,0,31.8393778,-106.6820844
"241","ok","","88009",0,0,31.9960242,-108.5747734
"242","ok","","88011",14,0,32.3222342,-106.6556843
"243","ok","","88012",16,0,32.5833842,-106.7713777
"244","ok","","88020",0,0,31.7724101,-108.8394234
"245","ok","","88021",34,0,31.9518869,-107.0162715
"246","ok","","88022",2,0,32.8080018,-108.1764684
"247","ok","","88023",2,0,32.7325737,-108.1444264
"248","ok","","88024",4,0,32.0705552,-106.6394111
"249","ok","","88025",0,0,33.0468066,-108.743434
"250","ok","","88026",0,0,32.7525075,-108.1628842
"251","ok","","88027",2,0,32.0441277,-106.7895818
"252","ok","","88028",0,0,32.9328195,-108.6359465
"253","ok","","88029",0,0,31.8448787,-107.6947225
"254","ok","","88030",7,0,32.1916339,-107.7294305
"255","ok","","88032",0,0,32.3995623,-106.81876
"256","ok","","88033",0,0,32.3196189,-107.0288538
"257","ok","","88034",0,0,32.613183,-107.9380615
"258","ok","","88038",0,0,33.1219696,-108.3830365
"259","ok","","88039",0,0,33.2984506,-108.8026914
"260","ok","","88040",0,0,31.5973365,-108.3549011
"261","ok","","88041",0,0,32.7901186,-107.9125381
"262","ok","","88042",1,0,32.8124784,-107.5783829
"263","ok","","88043",1,0,32.6103563,-108.10017
"264","ok","","88044",3,0,32.1479778,-106.8058499
"265","ok","","88045",1,0,32.3850889,-108.7560934
"266","ok","","88046",0,0,32.2500179,-106.8022615
"267","ok","","88047",2,0,32.2100413,-106.7146901
"268","ok","","88048",19,0,32.1634472,-106.6600857
"269","ok","","88049",0,0,33.0355824,-107.918696
"270","ok","","88051",0,0,32.9991547,-108.9203354
"271","ok","","88052",0,0,32.4253612,-106.5994275
"272","ok","","88053",0,0,32.9025164,-108.2059295
"273","ok","","88055",0,0,32.7278173,-108.7409904
"274","ok","","88056",0,0,31.8441992,-108.9825253
"275","ok","","88061",9,0,32.654439,-108.3335459
"276","ok","","88063",36,0,31.8179636,-106.5991073
