"","OBJECTID","POSTCODE","ConfirmedCaseCategory","ConfirmedCaseCount","Shape__Area","Shape__Length"
"255",255,"85747","11-25","22",240809754.765625,130553.872050963
"256",256,"85618","1-5","1-5",239246953.542969,87134.7694953868
"257",257,"85745","Greater Than 40","82",180019017.253906,87684.1962153123
"258",258,"85614","Greater Than 40","96",175124026,149610.752111408
"259",259,"85757","Greater Than 40","47",162824960.445313,59669.1282943456
"260",260,"85750","11-25","21",137446130.195313,48300.547167418
"261",261,"85622","6-10","6-10",126965473.992188,64388.1332253572
"262",262,"85552","1-5","1-5",129960279.382813,66392.0327586045
"263",263,"85718","Greater Than 40","52",118787727.34375,49458.4275853626
"264",264,"85742","26-40","26",114698685.363281,94589.8248633025
"265",265,"85755","6-10","6-10",112654284.527344,56963.8509880558
"266",266,"85730","Greater Than 40","51",97022816.4453125,58895.9618415177
"267",267,"85713","Greater Than 40","87",75492787.28125,73160.8343381763
"268",268,"85704","Greater Than 40","54",68170383.0429688,50609.794639639
"269",269,"85737","11-25","13",65717186.6132813,51781.6972847697
"270",270,"85748","26-40","34",60544717.921875,46152.1432066396
"271",271,"85135","0","0",57300416.9023438,32841.1986384923
"272",272,"85707","0","0",49610666.2851563,54925.4298230417
"273",273,"85705","Greater Than 40","78",49594278.0234375,42208.020242985
"274",274,"85706","Greater Than 40","144",48043346.7304688,51103.3973329046
"275",275,"85710","Greater Than 40","91",43600136.1367188,32416.651594339
"276",276,"85741","Greater Than 40","64",33800376.4882813,30435.5364995806
"277",277,"85711","Greater Than 40","94",31984910.8867188,25259.5970351113
"278",278,"85719","Greater Than 40","64",28982086.6679688,31799.4117487425
"279",279,"85540","0","0",27198635.6171875,25164.8979962921
"280",280,"85716","Greater Than 40","54",25355224.9023438,30031.2914730932
"281",281,"85712","Greater Than 40","97",25275218.5351563,24242.2001637979
"282",282,"85715","11-25","24",23064297.4765625,30879.9938372442
"283",283,"85714","Greater Than 40","123",22760999.3398438,37273.6791198418
"284",284,"85701","11-25","15",5005362.765625,11123.3952257983
"285",285,"85708","0","0",2637233.15234375,7761.63542578252
"286",286,"85531","0","0",1399676.18359375,6542.74424185803
"287",287,"85901","11-25","23",6712330505.14844,894699.885216839
"288",288,"85550","Data Suppressed","Data Suppressed",5311259120.45313,473374.121430523
"289",289,"85542","Data Suppressed","Data Suppressed",4873911002.39844,621158.455919595
"290",290,"85501","6-10","6-10",3306737060.77734,435986.122997362
"291",291,"85911","Data Suppressed","Data Suppressed",2041015983.24609,194497.724750066
"292",292,"85545","0","0",1596647274.29297,463300.701948525
"293",293,"85137","1-5","1-5",652690050.914063,164121.052121511
"294",294,"85539","0","0",587604820.933594,165476.107571612
"295",295,"85929","1-5","1-5",237174211.652344,129561.721599247
"296",296,"85935","11-25","11",73529103.7070313,60430.9910638002
"297",297,"85941","Data Suppressed","Data Suppressed",52246911.0664063,33977.8080251714
"298",298,"85923","0","0",23323343.578125,30447.9166394234
"299",299,"85934","0","0",7062382.56640625,14062.7299330873
"300",300,"85554","0","0",4458695.84375,11653.7088471904
"301",301,"85926","Data Suppressed","Data Suppressed",4257479.94140625,9421.05775825906
"302",302,"85532","1-5","1-5",89434.609375,2108.04159213562
"303",303,"85533","1-5","1-5",4914071386.55469,515446.40454149
"304",304,"85938","0","0",2244469129.90625,371570.610055421
"305",305,"85925","1-5","1-5",2117399431.52344,376317.283674303
"306",306,"85536","1-5","1-5",950636883.679688,215777.395011204
"307",307,"85922","0","0",591472965.480469,136549.130283247
"308",308,"85920","0","0",311111534.078125,139709.981409147
"309",309,"85927","0","0",69926943.703125,58114.4924516862
"310",310,"85932","0","0",4426542.23828125,8813.09880899045
"311",311,"85940","1-5","1-5",4050427.16796875,8612.32973644407
"312",312,"85930","Data Suppressed","Data Suppressed",880036.44140625,5157.64574423799
"313",313,"86046","1-5","1-5",10491604043.7539,596280.55631317
"314",314,"86337","0","0",5140732278.09766,414696.975840602
"315",315,"86301","26-40","33",3547862078.125,698172.195518644
"316",316,"86320","1-5","1-5",1047250612.54688,222669.020244198
"317",317,"86334","1-5","1-5",987772995.585938,219272.023730332
"318",318,"86305","11-25","14",928448451.757813,193516.277678281
"319",319,"86321","0","0",901451827.582031,151552.74948044
"320",320,"86303","1-5","1-5",812220426.960938,154783.586032204
"321",321,"86338","0","0",790934448.257813,265209.222817304
"322",322,"86323","6-10","6-10",584496789.953125,193748.548246926
"323",323,"86437","1-5","1-5",300573050.773438,103252.918096861
"324",324,"86024","0","0",5847704880.95703,573836.65011213
"325",325,"86004","Greater Than 40","118",3751559438.39844,402661.811196954
"326",326,"86001","Greater Than 40","73",2477278799.11719,296668.734104755
"327",327,"86336","11-25","13",2307156522.41797,494545.64538125
"328",328,"86018","0","0",955363928.464844,246324.634886883
"329",329,"86017","1-5","1-5",730420436.585938,158310.933828266
"330",330,"86326","Greater Than 40","83",589077561.660156,176008.45043065
"331",331,"86322","6-10","6-10",533591726.496094,146736.403550448
"332",332,"86327","6-10","6-10",497654735.472656,151410.581933637
"333",333,"86331","0","0",466491974.050781,152083.81948198
"334",334,"86005","11-25","24",421503325.265625,153915.98564542
"335",335,"86324","1-5","1-5",404718430.761719,182053.740143714
"336",336,"86038","0","0",358051230.207031,149789.217193795
"337",337,"86325","1-5","1-5",294509212.035156,88158.0890794874
"338",338,"86315","11-25","12",177883262.964844,82713.9713507247
"339",339,"86335","1-5","1-5",167627096.546875,76275.7664435078
"340",340,"86314","Greater Than 40","44",127058491.375,66944.4414777263
"341",341,"86351","6-10","6-10",122249470.808594,55816.5034198664
"342",342,"86015","1-5","1-5",96080599.8007813,60056.2770490906
"343",343,"86329","0","0",378380.33203125,2975.50362395298
"344",344,"86021","1-5","1-5",6734628833.80078,475455.943098307
"345",345,"86434","Data Suppressed","Data Suppressed",6315370766.74609,688394.230407326
"346",346,"86052","0","0",6091452022.80859,712693.204989564
"347",347,"86045","Data Suppressed","Data Suppressed",5641459275.5,395613.296866372
"348",348,"86020","Data Suppressed","Data Suppressed",5414901619.93359,846329.07578804
"349",349,"86023","1-5","1-5",4304345677.53125,365509.626458917
"350",350,"86022","0","0",3804088069.28906,482311.76044044
"351",351,"86036","0","0",3025232474.32422,386387.336688
"352",352,"86040","Greater Than 40","147",2980004753.01172,508299.06601761
"353",353,"86435","Data Suppressed","Data Suppressed",1744819534.5,254157.771713256
"354",354,"86016","Data Suppressed","Data Suppressed",795248819.644531,165246.398363271
"355",355,"86047","Greater Than 40","89",11251120217.25,732449.00507605
"356",356,"86505","Data Suppressed","Data Suppressed",8288674598.76953,712065.893168864
"357",357,"86502","Data Suppressed","Data Suppressed",6161521129.86328,399782.980183681
"358",358,"86035","Data Suppressed","Data Suppressed",3269682792.26563,339804.146285556
"359",359,"85936","0","0",3107304323.94141,355599.47984471
"360",360,"86025","11-25","14",2329314709.12891,442016.42532622
"361",361,"85924","0","0",1875875848.20313,275896.705742848
"362",362,"85937","11-25","11",1590862413.80859,270921.165977926
"363",363,"85933","1-5","1-5",1028739251.5625,229798.412781282
"364",364,"86511","Data Suppressed","Data Suppressed",1044025644.67969,172886.084792575
"365",365,"85928","0","0",920802650.972656,228350.990065166
"366",366,"85931","0","0",918880809.878906,225942.650072005
"367",367,"86029","1-5","1-5",505894217.375,207043.25180593
"368",368,"86032","1-5","1-5",238424107.054688,102796.543062784
"369",369,"85939","1-5","1-5",217539456.292969,133923.967819261
"370",370,"86515","Data Suppressed","Data Suppressed",52175663.21875,48283.4795680853
"371",371,"85942","1-5","1-5",35427534.3242188,25133.0925897891
"372",372,"86514","Data Suppressed","Data Suppressed",6492198393.8125,445331.993103239
"373",373,"86503","Data Suppressed","Data Suppressed",5089518612.5625,479151.1884532
"374",374,"86510","Data Suppressed","Data Suppressed",4387842641.35156,489483.154794395
"375",375,"86033","Data Suppressed","Data Suppressed",3897987107.39063,392162.558973415
"376",376,"86044","Data Suppressed","Data Suppressed",3705572471.83203,495748.098901526
"377",377,"86034","Data Suppressed","Data Suppressed",2995554948.66797,390195.085458023
"378",378,"86538","Data Suppressed","Data Suppressed",2546504876.24609,334042.925400479
"379",379,"86054","Data Suppressed","Data Suppressed",2528492832.19531,239979.217893599
"380",380,"86053","Data Suppressed","Data Suppressed",2398359170.82031,246400.221877922
"381",381,"86042","Data Suppressed","Data Suppressed",866670166.203125,202137.413729349
"382",382,"86030","Data Suppressed","Data Suppressed",821874244.859375,204014.612803269
"383",383,"86507","Data Suppressed","Data Suppressed",810787949.152344,161363.04593329
"384",384,"86043","Data Suppressed","Data Suppressed",668836380.210938,116145.290724401
"385",385,"86556","Data Suppressed","Data Suppressed",281305156.460938,93970.3614887544
