"","Town_No","Town","LastUpdateDate","ConfirmedCases","Deaths","CaseRate","PeopleTested"
"155",156,"West Haven","2020-05-16",946,53,1724,3079
"156",154,"Westbrook","2020-05-16",22,1,318,181
"157",157,"Weston","2020-05-16",62,1,605,389
"158",158,"Westport","2020-05-16",267,20,950,1293
"159",159,"Wethersfield","2020-05-16",220,8,843,724
"160",160,"Willington","2020-05-16",11,0,187,81
"161",161,"Wilton","2020-05-16",200,37,1087,703
"162",162,"Winchester","2020-05-16",49,3,460,264
"163",163,"Windham","2020-05-16",133,10,538,504
"164",164,"Windsor","2020-05-16",445,92,1547,919
"165",165,"Windsor Locks","2020-05-16",94,14,730,301
"166",166,"Wolcott","2020-05-16",93,8,559,397
"167",167,"Woodbridge","2020-05-16",109,28,1238,349
"168",168,"Woodbury","2020-05-16",39,2,409,260
"169",169,"Woodstock","2020-05-16",13,0,165,169
