zip,cases,rate,tests,positive
53142,9,27.33153148,73,12.32876712
53143,6,25.56890821,43,13.95348837
60002,47,195.2962686,356,13.20224719
60004,113,221.938525,1396,8.094555874
60005,66,223.433427,397,16.62468514
60007,94,281.2687014,459,20.47930283
60008,100,458.0222599,332,30.12048193
60010,40,86.79237095,381,10.49868766
60012,47,428.9103851,128,36.71875
60013,39,151.0047625,211,18.48341232
60014,70,144.4997213,518,13.51351351
60015,95,346.058575,563,16.87388988
60016,519,870.2651039,1537,33.76707872
60018,220,724.0176397,703,31.29445235
60020,13,132.2885927,129,10.07751938
60021,9,162.22062,66,13.63636364
60022,21,247.7291495,173,12.13872832
60025,183,446.1891062,962,19.02286902
60026,82,580.8188129,323,25.3869969
60030,65,176.5488769,476,13.65546218
60031,128,344.3452061,625,20.48
60033,49,358.1609531,181,27.0718232
60035,142,477.5677675,737,19.26729986
60040,38,708.1625047,111,34.23423423
60041,18,202.3153872,107,16.82242991
60042,10,118.7648456,74,13.51351351
60043,14,557.3248408,89,15.73033708
60044,49,489.8530441,234,20.94017094
60045,85,402.2526146,422,20.14218009
60046,79,223.8848268,463,17.06263499
60047,71,166.5220349,371,19.13746631
60048,56,192.7180123,356,15.73033708
60050,87,265.7949407,387,22.48062016
60051,36,154.5197013,270,13.33333333
60053,141,606.2951496,599,23.53923205
60056,246,445.2488688,977,25.17911975
60060,142,381.6383573,506,28.06324111
60061,77,285.1429418,345,22.31884058
60062,152,375.6889691,1019,14.91658489
60064,265,1687.360713,510,51.96078431
60067,56,146.6851769,463,12.0950324
60068,155,410.748357,713,21.73913043
60069,31,378.6953335,166,18.6746988
60070,76,473.5497539,288,26.38888889
60071,6,167.5509634,42,14.28571429
60073,237,384.079344,841,28.18073722
60074,124,314.0989918,501,24.750499
60076,250,784.5106223,1154,21.66377816
60077,202,713.0502312,906,22.29580574
60081,22,227.7432712,100,22
60083,43,430.4304304,157,27.38853503
60084,83,499.6388153,176,47.15909091
60085,987,1393.08398,1836,53.75816993
60087,255,955.8437664,583,43.73927959
60088,25,197.4411625,60,41.66666667
60089,107,258.5040588,539,19.85157699
60090,222,576.9830544,766,28.98172324
60091,97,354.4414806,630,15.3968254
60093,96,493.8017592,512,18.75
60096,16,235.1903572,90,17.77777778
60097,19,175.5034177,139,13.66906475
60098,131,402.7547193,441,29.70521542
60099,229,740.2857697,588,38.94557823
60101,272,693.5944512,794,34.25692695
60102,44,134.3962858,291,15.12027491
60103,83,196.7011091,490,16.93877551
60104,218,1147.428812,686,31.77842566
60106,212,1036.066856,752,28.19148936
60107,179,442.6638969,605,29.58677686
60108,91,399.718879,525,17.33333333
60110,140,355.9352198,389,35.98971722
60112,12,275.4820937,49,24.48979592
60115,39,86.0452289,378,10.31746032
60118,23,145.2386966,132,17.42424242
60119,12,117.1188757,116,10.34482759
60120,215,422.2143671,557,38.59964093
60123,156,318.6795228,556,28.05755396
60124,21,94.01020682,188,11.17021277
60126,131,270.6052468,777,16.85971686
60130,61,434.4419913,428,14.25233645
60131,127,704.5769764,509,24.95088409
60133,219,570.3125,617,35.49432739
60134,72,244.8896296,289,24.91349481
60135,6,86.88097307,69,8.695652174
60136,20,258.3311806,87,22.98850575
60137,60,156.7439066,443,13.54401806
60139,207,602.374578,674,30.71216617
60140,26,147.4006463,207,12.56038647
60141,6,2777.777778,134,4.47761194
60142,33,117.3500231,277,11.9133574
60143,49,445.6165879,186,26.34408602
60148,130,245.4543738,720,18.05555556
60152,21,170.109356,133,15.78947368
60153,209,877.7824444,792,26.38888889
60154,101,609.4249683,524,19.27480916
60155,88,1124.026057,281,31.31672598
60156,43,148.86104,292,14.7260274
60160,231,909.0193609,760,30.39473684
60162,79,967.5443968,275,28.72727273
60163,33,639.4109669,135,24.44444444
60164,188,870.3703704,844,22.27488152
60165,60,1218.769043,138,43.47826087
60169,121,359.4023822,448,27.00892857
60171,51,502.5620812,268,19.02985075
60172,56,228.0966152,273,20.51282051
60173,20,164.4466371,130,15.38461538
60174,44,140.1050788,398,11.05527638
60175,29,112.6913811,286,10.13986014
60176,51,435.7484621,243,20.98765432
60177,49,212.0385997,266,18.42105263
60178,14,62.46374872,189,7.407407407
60181,100,347.2101663,467,21.41327623
60185,175,484.3754325,597,29.31323283
60187,42,141.3760603,373,11.26005362
60188,195,457.7249894,687,28.38427948
60189,47,154.4680711,337,13.94658754
60190,12,107.690927,242,4.958677686
60191,56,395.8436418,251,22.31075697
60192,21,134.1853035,168,12.5
60193,93,231.0673822,473,19.66173362
60194,50,263.9079489,259,19.30501931
60195,6,107.7586207,40,15
60201,174,411.3864195,1175,14.80851064
60202,161,489.942485,997,16.14844534
60203,17,405.921681,114,14.9122807
60301,14,552.0504732,77,18.18181818
60302,114,355.7164254,797,14.30363864
60304,46,260.756193,388,11.8556701
60305,28,253.0730296,235,11.91489362
60401,28,359.9434375,169,16.56804734
60402,521,819.7753092,1913,27.23470988
60403,73,399.912348,484,15.08264463
60404,51,271.3343265,383,13.31592689
60406,172,681.0262908,681,25.25697504
60408,7,123.9157373,77,9.090909091
60409,285,771.2082262,1214,23.47611203
60410,18,140.7239465,202,8.910891089
60411,460,795.8477509,1987,23.15047811
60415,105,736.6353304,343,30.6122449
60417,83,545.1559934,401,20.69825436
60418,51,NA,214,23.8317757
60419,203,896.48472,866,23.44110855
60422,55,563.0630631,320,17.1875
60423,84,271.5107635,508,16.53543307
