zip,cases,rate,tests,positive
53142,6,18.22102098,62,9.677419355
60002,48,199.4515084,317,15.14195584
60004,87,170.8730237,975,8.923076923
60005,61,206.5066522,355,17.18309859
60007,86,257.3309396,405,21.2345679
60008,84,384.7386983,289,29.06574394
60010,39,84.62256168,306,12.74509804
60012,43,392.4073736,115,37.39130435
60013,38,147.1328455,185,20.54054054
60014,67,138.3068761,430,15.58139535
60015,91,331.4876876,508,17.91338583
60016,494,828.3448195,1431,34.52131377
60018,207,681.2347792,643,32.19284603
60020,14,142.4646382,119,11.76470588
60021,6,108.14708,56,10.71428571
60022,17,200.5426448,153,11.11111111
60025,178,433.998147,886,20.09029345
60026,79,559.5693441,305,25.90163934
60030,58,157.5359209,436,13.30275229
60031,121,325.5138276,583,20.75471698
60033,40,292.3762883,154,25.97402597
60035,139,467.4783077,662,20.99697885
60040,37,689.5266493,101,36.63366337
60041,17,191.0756435,96,17.70833333
60042,7,83.13539192,63,11.11111111
60043,14,557.3248408,69,20.28985507
60044,47,469.8590423,219,21.46118721
60045,83,392.7878472,380,21.84210526
60046,68,192.7109902,427,15.92505855
60047,64,150.1043694,312,20.51282051
60048,54,185.8352261,315,17.14285714
60050,79,241.3540266,335,23.58208955
60051,34,145.9352734,242,14.04958678
60053,128,550.3955968,562,22.77580071
60056,221,400,871,25.37313433
60060,124,333.2616642,453,27.37306843
60061,65,240.7050807,304,21.38157895
60062,134,331.1994859,767,17.47066493
60064,250,1591.849729,483,51.75983437
60067,53,138.8270425,395,13.41772152
60068,149,394.8484206,652,22.85276074
60069,30,366.479355,151,19.86754967
60070,67,417.4714936,253,26.48221344
60073,210,340.3234694,749,28.03738318
60074,114,288.768428,454,25.11013216
60076,235,737.4399849,1083,21.6989843
60077,193,681.2806665,842,22.9216152
60081,23,238.0952381,93,24.7311828
60083,36,360.3603604,142,25.35211268
60084,77,463.5203467,153,50.32679739
60085,869,1226.534933,1635,53.14984709
60087,228,854.6367794,521,43.76199616
60088,22,173.748223,57,38.59649123
60089,101,244.0085041,488,20.69672131
60090,198,514.606508,699,28.32618026
60091,91,332.5172653,562,16.19217082
60093,95,488.6579908,455,20.87912088
60096,15,220.4909599,86,17.44186047
60097,18,166.2663957,120,15
60098,105,322.8186681,388,27.06185567
60099,218,704.7261912,547,39.85374771
60101,242,617.0950632,717,33.75174338
60102,43,131.3418247,251,17.1314741
60103,77,182.4817518,430,17.90697674
60104,206,1084.267593,623,33.06581059
60106,202,987.1957775,615,32.84552846
60107,168,415.4610876,535,31.40186916
60108,78,342.616182,479,16.28392484
60110,116,294.9177535,322,36.02484472
60112,10,229.5684114,40,25
60115,34,75.0137893,326,10.42944785
60118,22,138.9239707,112,19.64285714
