"","FID","COMTY_NAME","CERT","Shape_Leng","Shape_Area","location","cases","case_rate","deaths","death_rate","Date","Shape__Area","Shape__Length"
"76",76,"CRESTVIEW"," ",21361.741998,21376801.2471,"CRESTVIEW",80,703.73,14,123.15,"2020-05-22",2900202.54296875,7863.68767074418
"77",77,"PICO-UNION","yes",27511.0713724,37208167.7693,"PICO-UNION",461,1101.76,51,121.89,"2020-05-22",5047611.90625,10129.7659211352
"78",78,"LITTLE TOKYO","yes",11664.9527483,6286183.13771,"LITTLE TOKYO",13,414.94,1,31.92,"2020-05-22",852800.546875,4299.22640097664
"79",79,"WEST LOS ANGELES"," ",36739.2514519,61773495.3135,"WEST LOS ANGELES",69,183.34,4,10.63,"2020-05-22",8379144.890625,13525.9176083251
"80",80,"VICTORIA PARK"," ",15968.962691,11167318.0447,"VICTORIA PARK",51,607.22,2,23.81,"2020-05-22",1514878.90625,5876.9270176588
"81",81,"HARVARD HEIGHTS"," ",21243.2545291,21355822.9774,"HARVARD HEIGHTS",114,632.1,11,60.99,"2020-05-22",2896956.7265625,7815.18668372446
"82",82,"LAFAYETTE SQUARE"," ",11792.383539,7428376.86412,"LAFAYETTE SQUARE",16,350.95,0,0,"2020-05-22",1007666.109375,4340.46993215363
"83",83,"CADILLAC-CORNING"," ",10618.9960704,6620027.05502,"CADILLAC-CORNING",27,379.16,0,0,"2020-05-22",897991.6953125,3910.14190742481
"84",84,"ST ELMO VILLAGE"," ",8692.25329963,4200717.42855,"ST ELMO VILLAGE",42,916.23,4,87.26,"2020-05-22",569820.26953125,3201.49732939436
"85",85,"CLOVERDALE/COCHRAN"," ",23087.3907268,26344948.7595,"CLOVERDALE/COCHRAN",53,364.19,3,20.61,"2020-05-22",3573294.46484375,8497.33805979553
"86",86,"RANCHO PARK","yes",22366.9193508,23457011.1142,"RANCHO PARK",13,198.17,0,0,"2020-05-22",3181398.9296875,8235.56435094442
"87",87,"FAIRCREST HEIGHTS"," ",16543.9996637,13206615.9434,"FAIRCREST HEIGHTS",4,111.11,1,27.78,"2020-05-22",1791284.7109375,6093.39889883646
"88",88,"REYNIER VILLAGE"," ",14774.8394437,10005786.6893,"REYNIER VILLAGE",10,236.52,0,0,"2020-05-22",1357063.06640625,5438.65634399767
"89",89,"WEST ADAMS","yes",36691.2665484,41503423.2811,"WEST ADAMS",177,640.61,16,57.91,"2020-05-22",5628947.875,13493.0753599832
"90",90,"WELLINGTON SQUARE"," ",13134.62972,8688491.46965,"WELLINGTON SQUARE",21,427.26,0,0,"2020-05-22",1178387.38671875,4836.59523239766
"91",91,"LONGWOOD"," ",11185.0853735,7238514.20584,"LONGWOOD",20,464.68,0,0,"2020-05-22",981739.52734375,4118.04671043093
"92",92,"UNIVERSITY PARK"," ",29653.7584997,41825677.5331,"UNIVERSITY PARK",143,520.83,1,3.64,"2020-05-22",5671629.21875,10914.1819931891
"93",93,"REGENT SQUARE"," ",10436.0640263,5307139.23823,"REGENT SQUARE",3,107.91,0,0,"2020-05-22",719735.078125,3841.21290162081
"94",94,"MAR VISTA","yes",50520.8960629,97600117.1467,"MAR VISTA",77,181.3,4,9.42,"2020-05-22",13230013.2890625,18600.2588180105
"95",95,"ADAMS-NORMANDIE"," ",13229.1910681,10427640.4108,"ADAMS-NORMANDIE",41,499.88,2,24.38,"2020-05-22",1414040.29296875,4869.28484453087
"96",96,"PALMS","yes",38707.1219246,49146441.6337,"PALMS",176,401.12,19,43.3,"2020-05-22",6663597.015625,14246.9659347707
"97",97,"CRENSHAW DISTRICT","yes",26051.7293897,33233216.8219,"CRENSHAW DISTRICT",67,484.49,2,14.46,"2020-05-22",4505926.1796875,9596.04331492536
"98",98,"ALSACE"," ",19230.0880573,16324695.6721,"ALSACE",45,361.59,0,0,"2020-05-22",2213707.12109375,7072.85524633774
"99",99,"EXPOSITION"," ",13735.5176321,9716981.47497,"EXPOSITION",7,210.46,0,0,"2020-05-22",1317584.32421875,5059.33759650618
"100",100,"EXPOSITION PARK"," ",39842.9083566,70669196.3877,"EXPOSITION PARK",214,476.43,11,24.49,"2020-05-22",9580693.14453125,14658.7294712162
"101",101,"JEFFERSON PARK"," ",14248.7652259,12502475.0563,"JEFFERSON PARK",35,433.54,1,12.39,"2020-05-22",1695201.26171875,5248.08790588759
"102",102,"CENTRAL","yes",32464.8388493,42653277.9786,"CENTRAL",298,764.26,13,33.34,"2020-05-22",5782235.7265625,11949.5418666592
"103",103,"BALDWIN HILLS","yes",54062.3538759,72471319.9307,"BALDWIN HILLS",144,462.65,9,28.92,"2020-05-22",9824086.30078125,19900.4105363918
"104",104,"LEIMERT PARK","yes",28521.7793615,37025259.1124,"LEIMERT PARK",50,328.19,2,13.13,"2020-05-22",5018034.78515625,10505.4535950099
"105",105,"VERNON CENTRAL"," ",40253.5070928,63745613.7719,"VERNON CENTRAL",472,907.73,9,17.31,"2020-05-22",8638355.71484375,14821.3946244036
"106",106,"WEST VERNON"," ",51127.2388366,70717942.6642,"WEST VERNON",384,715.83,15,27.96,"2020-05-22",9583048.4140625,18815.4345317636
"107",107,"SOUTH PARK"," ",27812.8824739,40272283.545,"SOUTH PARK",278,732.33,6,15.81,"2020-05-22",5457278.69921875,10241.8136399657
"108",108,"VENICE","yes",42487.4367832,77365656.5986,"VENICE",62,182.97,2,5.9,"2020-05-22",10482155.6953125,15635.067337808
"109",109,"DEL REY","yes",44901.1444683,65056174.1909,"DEL REY",66,220.47,3,10.02,"2020-05-22",8813664.37109375,16524.7246286933
"110",110,"VERMONT SQUARE"," ",14247.9891508,12464816.7283,"VERMONT SQUARE",76,992.56,2,26.12,"2020-05-22",1689092.83203125,5243.49945985987
"111",111,"HYDE PARK"," ",38453.657366,58282033.6572,"HYDE PARK",127,444.97,2,7.01,"2020-05-22",7894674.46875,14157.244607959
"112",112,"HYDE PARK"," ",10307.121585,1920946.17371,"HYDE PARK",127,444.97,2,7.01,"2020-05-22",260213.43359375,3793.9402438639
"113",113,"PLAYA VISTA"," ",38808.2010587,38198628.6997,"PLAYA VISTA",22,200.97,0,0,"2020-05-22",5173797.765625,14278.8859334631
"114",114,"FLORENCE-FIRESTONE"," ",34531.8735943,70624286.1531,"FLORENCE-FIRESTONE",289,609.13,9,18.97,"2020-05-22",9564578.30078125,12714.6391308427
"115",115,"HARVARD PARK"," ",34413.7998157,62620642.102,"HARVARD PARK",245,645.84,2,5.27,"2020-05-22",8482086.625,12654.3784892757
"116",116,"WESTCHESTER"," ",115126.335809,359230016.259,"WESTCHESTER",88,170.53,7,13.57,"2020-05-22",48624700.0195313,42351.3298435082
"117",117,"MARINA PENINSULA"," ",17719.2044901,10162597.2237,"MARINA PENINSULA",11,252.29,0,0,"2020-05-22",1376244.48828125,6523.62155023338
"118",118,"PLAYA DEL REY"," ",28610.7023918,18978789.3932,"PLAYA DEL REY",3,93.87,0,0,"2020-05-22",2569350.80859375,10526.1681969565
"119",119,"VERMONT KNOLLS"," ",26864.296763,31417368.125,"VERMONT KNOLLS",119,691.86,2,11.63,"2020-05-22",4254199.01953125,9881.32037643
"120",120,"MANCHESTER SQUARE"," ",18622.4685377,21250865.4565,"MANCHESTER SQUARE",19,222.59,0,0,"2020-05-22",2877470.3515625,6854.84899980013
"121",121,"VERMONT VISTA"," ",30925.3989435,51077275.6077,"VERMONT VISTA",260,631.28,5,12.14,"2020-05-22",6913927.03515625,11383.7556990319
"122",122,"GREEN MEADOWS"," ",23931.6689816,34117649.2309,"GREEN MEADOWS",132,613.81,3,13.95,"2020-05-22",4617890.578125,8806.6669728253
"123",123,"GRAMERCY PLACE"," ",26306.7455158,31593783.1129,"GRAMERCY PLACE",52,483.09,2,18.58,"2020-05-22",4276335.1953125,9682.67830737259
"124",124,"WATTS","yes",35531.7880924,56253062.7208,"WATTS",215,503.82,7,16.4,"2020-05-22",7612083.48046875,13071.3925594521
"125",125,"FIGUEROA PARK SQUARE"," ",19131.8089662,18891834.8279,"FIGUEROA PARK SQUARE",33,378.4,0,0,"2020-05-22",2555966.3125,7043.98819567208
"126",126,"CENTURY PALMS/COVE"," ",31249.864195,58653988.875,"CENTURY PALMS/COVE",178,527.16,2,5.92,"2020-05-22",7935577.6484375,11491.0711372773
"127",127,"HARBOR GATEWAY","yes",114051.615367,140485563.013,"HARBOR GATEWAY",111,254.59,3,6.88,"2020-05-22",18977018.8632813,41974.8699455594
"128",128,"WILMINGTON","yes",125282.464126,212113189.938,"WILMINGTON",182,322.2,3,5.31,"2020-05-22",28596729.328125,46028.6032355151
"129",129,"HARBOR CITY","yes",70151.4724096,141800340.203,"HARBOR CITY",72,247.68,4,13.76,"2020-05-22",19115385.3554688,25771.1483104959
"130",130,"LITTLE BANGLADESH","yes",15828.7081789,13915649.7771,"LITTLE BANGLADESH",111,391.63,2,7.06,"2020-05-22",1888617.0625,5826.91952789859
"131",131,"VALLEY GLEN","yes",31796.9271206,63082497.4344,"VALLEY GLEN",111,369.8,2,6.66,"2020-05-22",8585677.09765625,11730.5239707226
"132",132,"RESEDA RANCH","yes",18708.7315689,14513752.6926,"RESEDA RANCH",29,625.54,0,0,"2020-05-22",1976855.6171875,6902.33896757667
"133",133,"HARBOR PINES","yes",10876.8104413,6269908.06545,"HARBOR PINES",9,373.6,0,0,"2020-05-22",845258.8671875,3991.75024523689
"134",134,"SYCAMORE SQUARE","yes",6644.15195776,2623157.81391,"SYCAMORE SQUARE",1,154.56,0,0,"2020-05-22",355971.84765625,2447.86536517227
"135",135,"BROOKSIDE","yes",10335.5434463,5858064.39628,"BROOKSIDE",0,0,0,0,"2020-05-22",794948.15234375,3805.23801237291
"136",136,"VIEW HEIGHTS","Yes",9976.48640597,6366350.33974,"VIEW HEIGHTS",8,216.57,2,54.14,"2020-05-22",862412.26953125,3672.72757862406
