"","OBJECTID","ZIPCODE1","ZIPName","ProtectedCount"
"181",181,"21045","Columbia",203
"182",182,"21046","Columbia",54
"183",183,"21047","Fallston",15
"184",184,"21048","Finksburg",13
"185",185,"21050","Forest Hill",139
"186",186,"21051","Fork",NA
"187",187,"21053","Freeland",8
"188",188,"21054","Gambrills",73
"189",189,"21056","Gibson Island",NA
"190",190,"21057","Glen Arm",NA
"191",191,"21060","Glen Burnie",141
"192",192,"21061","Glen Burnie",238
"193",193,"21071","Glyndon",NA
"194",194,"21074","Hampstead",21
"195",195,"21075","Elkridge",136
"196",196,"21076","Hanover",75
"197",197,"21077","Harmans",NA
"198",198,"21078","Havre De Grace",19
"199",199,"21082","Hydes",NA
"200",200,"21084","Jarrettsville",13
"201",201,"21085","Joppa",40
"202",202,"21087","Kingsville",11
"203",203,"21090","Linthicum Heights",51
"204",204,"21093","Lutherville Timonium",84
"205",205,"21102","Manchester",18
"206",206,"21104","Marriottsville",12
"207",207,"21108","Millersville",51
"208",208,"21111","Monkton",NA
"209",209,"21113","Odenton",67
"210",210,"21114","Crofton",82
"211",211,"21117","Owings Mills",267
"212",212,"21120","Parkton",NA
"213",213,"21122","Pasadena",146
"214",214,"21128","Perry Hall",26
"215",215,"21131","Phoenix",10
"216",216,"21132","Pylesville",NA
"217",217,"21133","Randallstown",295
"218",218,"21136","Reisterstown",126
"219",219,"21140","Riva",NA
"220",220,"21144","Severn",110
"221",221,"21146","Severna Park",64
"222",222,"21152","Sparks Glencoe",NA
"223",223,"21153","Stevenson",NA
"224",224,"21154","Street",10
"225",225,"21155","Upperco",NA
"226",226,"21156","Upper Falls",NA
"227",227,"21157","Westminster",148
"228",228,"21158","Westminster",70
"229",229,"21160","Whiteford",NA
"230",230,"21161","White Hall",10
"231",231,"21162","White Marsh",NA
"232",232,"21163","Woodstock",12
"233",233,"21201","Baltimore",49
"234",234,"21202","Baltimore",103
"235",235,"21204","Towson",72
"236",236,"21205","Baltimore",83
"237",237,"21206","Raspeburg",249
"238",238,"21207","Gwynn Oak",299
"239",239,"21208","Pikesville",233
"240",240,"21209","Mt Washington",102
"241",241,"21210","Roland Park",18
"242",242,"21211","Baltimore",25
"243",243,"21212","Govans",76
"244",244,"21213","Clifton",136
"245",245,"21214","Baltimore",82
"246",246,"21215","Arlington",444
"247",247,"21216","Baltimore",107
"248",248,"21217","Druid",109
"249",249,"21218","Baltimore",215
"250",250,"21219","Sparrows Point",20
"251",251,"21220","Middle River",176
"252",252,"21221","Essex",137
"253",253,"21222","Dundalk",235
"254",254,"21223","Franklin",96
"255",255,"21224","Highlandtown",428
"256",256,"21225","Brooklyn",168
"257",257,"21226","Curtis Bay",20
