"","Town_No","Town","LastUpdateDate","ConfirmedCases","Deaths","CaseRate","PeopleTested"
"1",1,"Andover","2020-05-18",9,0,279,52
"2",2,"Ansonia","2020-05-18",241,5,1287,889
"3",3,"Ashford","2020-05-18",14,0,329,85
"4",4,"Avon","2020-05-18",101,15,552,422
"5",5,"Barkhamsted","2020-05-18",24,0,662,84
"6",6,"Beacon Falls","2020-05-18",45,0,728,207
"7",7,"Berlin","2020-05-18",135,16,661,561
"8",8,"Bethany","2020-05-18",30,0,548,200
"9",9,"Bethel","2020-05-18",222,21,1126,991
"10",10,"Bethlehem","2020-05-18",9,1,263,85
"11",11,"Bloomfield","2020-05-18",424,71,1991,957
"12",12,"Bolton","2020-05-18",19,3,389,89
"13",13,"Bozrah","2020-05-18",8,0,315,74
"14",14,"Branford","2020-05-18",311,38,1111,1394
"15",15,"Bridgeport","2020-05-18",2962,134,2044,8206
"16",16,"Bridgewater","2020-05-18",6,0,366,56
"17",17,"Bristol","2020-05-18",508,62,846,2077
"18",18,"Brookfield","2020-05-18",148,7,870,789
"19",19,"Brooklyn","2020-05-18",18,0,217,202
"20",20,"Burlington","2020-05-18",21,1,217,192
"21",21,"Canaan","2020-05-18",0,0,0,19
"22",22,"Canterbury","2020-05-18",11,0,216,123
"23",23,"Canton","2020-05-18",77,23,750,223
"24",24,"Chaplin","2020-05-18",3,0,133,54
"25",25,"Cheshire","2020-05-18",168,21,576,848
"26",26,"Chester","2020-05-18",45,12,1064,124
"27",27,"Clinton","2020-05-18",49,2,378,377
"28",28,"Colchester","2020-05-18",32,1,201,494
"29",29,"Colebrook","2020-05-18",2,0,142,19
"30",30,"Columbia","2020-05-18",17,0,316,106
"31",31,"Cornwall","2020-05-18",3,0,219,49
"32",32,"Coventry","2020-05-18",34,1,274,226
"33",33,"Cromwell","2020-05-18",96,19,690,405
"34",34,"Danbury","2020-05-18",1609,106,1899,4602
"35",35,"Darien","2020-05-18",198,6,910,898
"36",36,"Deep River","2020-05-18",8,0,179,108
"37",37,"Derby","2020-05-18",135,2,1079,621
"38",38,"Durham","2020-05-18",29,2,403,202
"39",40,"East Granby","2020-05-18",7,0,136,74
"40",41,"East Haddam","2020-05-18",10,1,111,151
"41",42,"East Hampton","2020-05-18",41,4,319,281
"42",43,"East Hartford","2020-05-18",687,80,1374,1840
"43",44,"East Haven","2020-05-18",369,33,1286,1554
"44",45,"East Lyme","2020-05-18",123,18,660,763
"45",47,"East Windsor","2020-05-18",138,20,1213,403
"46",39,"Eastford","2020-05-18",8,0,447,36
"47",46,"Easton","2020-05-18",30,2,399,229
"48",48,"Ellington","2020-05-18",50,4,307,305
"49",49,"Enfield","2020-05-18",396,24,891,1238
"50",50,"Essex","2020-05-18",20,1,300,160
"51",51,"Fairfield","2020-05-18",531,99,857,1899
