"","Town_No","Town","LastUpdateDate","ConfirmedCases","Deaths","CaseRate","PeopleTested"
"52",52,"Farmington","2020-05-18",187,31,733,666
"53",53,"Franklin","2020-05-18",3,0,155,47
"54",54,"Glastonbury","2020-05-18",248,69,719,925
"55",55,"Goshen","2020-05-18",8,0,278,82
"56",56,"Granby","2020-05-18",19,1,167,198
"57",57,"Greenwich","2020-05-18",755,45,1204,2488
"58",58,"Griswold","2020-05-18",20,2,173,337
"59",59,"Groton","2020-05-18",103,17,266,1429
"60",60,"Guilford","2020-05-18",93,9,419,640
"61",61,"Haddam","2020-05-18",26,1,316,181
"62",62,"Hamden","2020-05-18",873,90,1433,3139
"63",63,"Hampton","2020-05-18",1,0,54,45
"64",64,"Hartford","2020-05-18",1977,134,1613,4690
"65",65,"Hartland","2020-05-18",6,0,283,26
"66",66,"Harwinton","2020-05-18",27,2,497,136
"67",67,"Hebron","2020-05-18",19,2,200,178
"68",68,"Kent","2020-05-18",7,0,251,81
"69",69,"Killingly","2020-05-18",25,0,145,503
"70",70,"Killingworth","2020-05-18",12,3,188,165
"71",71,"Lebanon","2020-05-18",20,1,278,158
"72",72,"Ledyard","2020-05-18",19,1,129,675
"73",73,"Lisbon","2020-05-18",5,0,118,105
"74",74,"Litchfield","2020-05-18",35,3,431,237
"75",75,"Lyme","2020-05-18",3,0,128,47
"76",76,"Madison","2020-05-18",129,19,712,597
"77",77,"Manchester","2020-05-18",555,60,962,1897
"78",78,"Mansfield","2020-05-18",26,2,101,205
"79",79,"Marlborough","2020-05-18",49,2,771,174
"80",80,"Meriden","2020-05-18",667,55,1120,2536
"81",81,"Middlebury","2020-05-18",40,3,517,219
"82",82,"Middlefield","2020-05-18",15,0,342,108
"83",83,"Middletown","2020-05-18",490,71,1062,1780
"84",84,"Milford","2020-05-18",573,68,1048,2319
"85",85,"Monroe","2020-05-18",104,6,534,563
"86",86,"Montville","2020-05-18",106,0,566,686
"87",87,"Morris","2020-05-18",15,0,663,55
"88",88,"Naugatuck","2020-05-18",333,21,1064,1243
"89",89,"New Britain","2020-05-18",793,69,1095,2555
"90",90,"New Canaan","2020-05-18",163,29,806,837
"91",91,"New Fairfield","2020-05-18",106,2,764,533
"92",92,"New Hartford","2020-05-18",23,2,344,124
"93",93,"New Haven","2020-05-18",2236,90,1714,8130
"94",95,"New London","2020-05-18",133,3,494,1026
"95",96,"New Milford","2020-05-18",250,17,927,1248
"96",94,"Newington","2020-05-18",323,42,1073,1123
"97",97,"Newtown","2020-05-18",199,21,716,1145
"98",98,"Norfolk","2020-05-18",9,0,549,27
"99",99,"North Branford","2020-05-18",76,3,537,475
"100",100,"North Canaan","2020-05-18",4,1,123,64
"101",101,"North Haven","2020-05-18",215,19,908,1039
"102",102,"North Stonington","2020-05-18",10,0,191,162
"103",103,"Norwalk","2020-05-18",1907,116,2142,5242
"104",104,"Norwich","2020-05-18",79,3,202,1078
"105",105,"Old Lyme","2020-05-18",16,1,217,231
"106",106,"Old Saybrook","2020-05-18",30,0,297,278
"107",107,"Orange","2020-05-18",110,6,789,553
"108",108,"Oxford","2020-05-18",76,6,575,400
"109",109,"Plainfield","2020-05-18",29,1,191,444
"110",110,"Plainville","2020-05-18",131,17,743,599
"111",111,"Plymouth","2020-05-18",62,1,532,330
"112",112,"Pomfret","2020-05-18",11,0,262,106
"113",113,"Portland","2020-05-18",54,14,580,225
"114",114,"Preston","2020-05-18",9,0,194,183
"115",115,"Prospect","2020-05-18",51,0,521,246
"116",116,"Putnam","2020-05-18",23,1,245,286
"117",117,"Redding","2020-05-18",67,8,734,304
"118",118,"Ridgefield","2020-05-18",195,41,780,940
"119",119,"Rocky Hill","2020-05-18",357,74,1772,865
"120",120,"Roxbury","2020-05-18",6,1,278,62
"121",121,"Salem","2020-05-18",4,0,97,146
"122",122,"Salisbury","2020-05-18",10,0,278,58
"123",123,"Scotland","2020-05-18",0,0,0,14
"124",124,"Seymour","2020-05-18",207,37,1254,747
"125",125,"Sharon","2020-05-18",33,1,1221,152
"126",126,"Shelton","2020-05-18",524,126,1275,1680
"127",127,"Sherman","2020-05-18",14,2,387,114
"128",128,"Simsbury","2020-05-18",105,10,420,504
"129",129,"Somers","2020-05-18",270,4,2492,843
"130",132,"South Windsor","2020-05-18",132,27,507,548
"131",130,"Southbury","2020-05-18",151,29,768,1084
"132",131,"Southington","2020-05-18",269,23,614,1244
"133",133,"Sprague","2020-05-18",3,0,104,97
"134",134,"Stafford","2020-05-18",93,17,783,298
"135",135,"Stamford","2020-05-18",3045,175,2346,7292
"136",136,"Sterling","2020-05-18",2,0,53,72
"137",137,"Stonington","2020-05-18",29,2,157,666
"138",138,"Stratford","2020-05-18",724,65,1393,2557
"139",139,"Suffield","2020-05-18",107,18,680,299
"140",140,"Thomaston","2020-05-18",52,0,688,223
"141",141,"Thompson","2020-05-18",29,2,309,190
"142",142,"Tolland","2020-05-18",47,4,321,259
"143",143,"Torrington","2020-05-18",453,75,1323,1356
"144",144,"Trumbull","2020-05-18",489,90,1366,1503
"145",145,"Union","2020-05-18",4,0,476,13
"146",146,"Vernon","2020-05-18",171,17,584,668
"147",147,"Voluntown","2020-05-18",9,1,355,77
"148",148,"Wallingford","2020-05-18",399,50,896,1771
"149",149,"Warren","2020-05-18",4,0,286,13
"150",150,"Washington","2020-05-18",24,2,699,221
"151",151,"Waterbury","2020-05-18",1720,140,1591,4491
"152",152,"Waterford","2020-05-18",146,16,773,914
"153",153,"Watertown","2020-05-18",135,6,624,680
"154",155,"West Hartford","2020-05-18",505,85,802,1802
"155",156,"West Haven","2020-05-18",965,58,1758,3262
"156",154,"Westbrook","2020-05-18",22,1,318,188
"157",157,"Weston","2020-05-18",62,1,605,398
"158",158,"Westport","2020-05-18",268,21,953,1307
"159",159,"Wethersfield","2020-05-18",227,8,870,785
"160",160,"Willington","2020-05-18",11,0,187,91
"161",161,"Wilton","2020-05-18",200,37,1087,718
"162",162,"Winchester","2020-05-18",50,3,469,276
"163",163,"Windham","2020-05-18",139,10,563,552
"164",164,"Windsor","2020-05-18",471,92,1638,1015
"165",165,"Windsor Locks","2020-05-18",95,16,738,342
"166",166,"Wolcott","2020-05-18",93,8,559,430
"167",167,"Woodbridge","2020-05-18",121,28,1374,385
"168",168,"Woodbury","2020-05-18",39,2,409,278
"169",169,"Woodstock","2020-05-18",13,0,165,178
